time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface
660,1.95343333,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999992,2.5499999449,2.5499973636,2.5499158391,2.5482261577,2.5279154548,2.3934480037,1.9036725897,,1.4170425739
720,1.94920000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999967,2.5499998065,2.5499926827,2.5498177051,2.5468608315,2.5182093766,2.3573904325,1.8347947073,,1.3897508270
780,1.94496667,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999997,2.5499999877,2.5499994186,2.5499822366,2.5496438928,2.5448897011,2.5065681832,2.3193685351,1.7686224982,,1.3648472688
840,1.94073333,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999989,2.5499999604,2.5499984632,2.5499613165,2.5493581647,2.5422072307,2.4930522557,2.2781581865,1.7045184895,,1.3419802727
900,1.93650000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999961,2.5499998803,2.5499963487,2.5499229673,2.5488650666,2.5387233967,2.4767154322,2.2362425141,1.6425440980,,1.3208109193
960,1.93226667,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999997,2.5499999881,2.5499996635,2.5499920706,2.5498576413,2.5481389204,2.5343656951,2.4583564534,2.1939113024,1.5827240529,,1.3013165128
1020,1.92803333,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999991,2.5499999672,2.5499991604,2.5499840484,2.5497512486,2.5471245274,2.5286701692,2.4383804742,2.1512553673,1.5249719106,,1.2832017066
1080,1.92380000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999972,2.5499999174,2.5499980978,2.5499683676,2.5495694919,2.5457668234,2.5217706726,2.4169507581,2.1066707999,1.4691595184,,1.2665291476
1140,1.91956667,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999998,2.5499999922,2.5499998077,2.5499960213,2.5499407011,2.5492997458,2.5440121816,2.5137688941,2.3942069242,2.0623742743,1.4156072370,,1.2510841799
1200,1.91533333,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999994,2.5499999801,2.5499995821,2.5499922216,2.5498958428,2.5489170050,2.5418098082,2.5046642275,2.3698914012,2.0185102666,1.3638099460,,1.2366595565
1260,1.91110000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999984,2.5499999529,2.5499991450,2.5499856492,2.5498266582,2.5483940064,2.5391133932,2.4944702793,2.3433415722,1.9746975824,1.3138956403,,1.2230457887
1320,1.90686667,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999998,2.5499999960,2.5499998959,2.5499983420,2.5499748215,2.5497243922,2.5477018757,2.5358820552,2.4832132905,2.3159385891,1.9303510125,1.2657776419,,1.2103708252
1380,1.90263333,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999995,2.5499999902,2.5499997829,2.5499969349,2.5499577281,2.5495786396,2.5468106400,2.5318836386,2.4709215834,2.2878007977,1.8867937806,1.2195467075,,1.1985984567
1440,1.89840000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999989,2.5499999774,2.5499995702,2.5499945706,2.5499317332,2.5493773421,2.5456896986,2.5270463200,2.4567402084,2.2590554316,1.8440902080,,,1.1874119550
1500,1.89416667,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999975,2.5499999510,2.5499991877,2.5499902282,2.5498934882,2.5491069049,2.5443087600,2.5215150171,2.4414333675,2.2297048772,1.8012239554,,,1.1766782203
1560,1.88993333,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999997,2.5499999947,2.5499998996,2.5499985276,2.5499832251,2.5498388626,2.5487523862,2.5426386393,2.5152775435,2.4252024276,2.1985646722,1.7591010294,,,1.1665212531
1620,1.88570000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999993,2.5499999890,2.5499998040,2.5499974298,2.5499723815,2.5497628909,2.5482976860,2.5406068383,2.5083268477,2.4081094914,2.1672204642,1.7179683036,,,1.1568788730
1680,1.88146667,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999986,2.5499999780,2.5499996334,2.5499956646,2.5499561495,2.5496597281,2.5477257063,2.5380451014,2.5006620886,2.3902218782,2.1357631928,1.6772016479,,,1.1477061879
1740,1.87723333,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999998,2.5499999970,2.5499999565,2.5499993406,2.5499929116,2.5499325682,2.5495095925,2.5470064321,2.5350706459,2.4922869280,2.3715996117,2.1042474488,1.6370025134,,,1.1392004086
1800,1.87300000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999996,2.5499999941,2.5499999153,2.5499988548,2.5499887363,2.5498992099,2.5493082657,2.5460553618,2.5316605932,2.4832056566,2.3517634027,2.0723591621,1.5978235701,,,1.1312379015
1860,1.87036667,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999992,2.5499999887,2.5499998461,2.5499981091,2.5499828064,2.5498558914,2.5490684104,2.5450095711,2.5281617620,2.4742711965,2.3336003485,2.0452513096,1.5680918920,,,1.1236012309
1920,1.86773333,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999984,2.5499999790,2.5499997296,2.5499969626,2.5499743581,2.5497982201,2.5487686314,2.5437812995,2.5242779711,2.4644761168,2.3150885002,2.0184263176,1.5389994081,,,1.1161289688
1980,1.86510000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999998,2.5499999970,2.5499999623,2.5499995395,2.5499952429,2.5499625688,2.5497228190,2.5483996829,2.5423558012,2.5200029891,2.4541605737,2.2962896117,1.9919375654,1.5107977131,,,1.1088514129
2040,1.86246667,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999996,2.5499999944,2.5499999342,2.5499992376,2.5499927216,2.5499464304,2.5496258738,2.5479519952,2.5407194658,2.5153335346,2.4433524064,2.2772486076,1.9657906554,1.4833905675,,,1.1019173996
2100,1.85983333,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999992,2.5499999898,2.5499998880,2.5499987703,2.5499891025,2.5499247289,2.5495031320,2.5474157008,2.5388594392,2.5102674428,2.4320769597,2.2580042273,1.9399931536,1.4567118520,,,1.0952151673
2160,1.85720000,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999985,2.5499999820,2.5499998141,2.5499980638,2.5499840089,2.5498947756,2.5493499092,2.5467807473,2.5367639798,2.5048052718,2.4203631401,2.2386008066,1.9145640206,1.4304591510,,,1.0887300188
2220,1.85456667,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999998,2.5499999972,2.5499999689,2.5499996964,2.5499970190,2.5499769695,2.5498545894,2.5491611236,2.5460370730,2.5344227087,2.4989498836,2.4082391936,2.2190723904,1.8893647497,1.4049295002,,,1.0826131684
2280,1.85193333,2.5500000000,2.5500000000,2.5500000000,2.5500000000,2.5499999996,2.5499999950,2.5499999476,2.5499995071,2.5499955049,2.5499674050,2.5498025488,2.5489313145,2.5451746136,2.5318261060,2.4927043367,2.3957287175,2.1994425835,1.8640462807,1.3801292802,,,1.0767255474
2340,1.84930000,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999992,2.5499999913,2.5499999136,2.5499992182,2.5499933517,2.5499546133,2.5497361581,2.5486546598,2.5441833709,2.5289657774,2.4860737900,2.3828588086,2.1797005794,1.8391396542,1.3559478702,,,1.0710800187
2400,1.84666667,2.5500000000,2.5500000000,2.5500000000,2.5499999999,2.5499999986,2.5499999851,2.5499998606,2.5499987870,2.5499903431,2.5499377558,2.5496526185,2.5483250311,2.5430535797,2.5258345481,2.4789272056,2.3696524113,2.1592976186,1.8146321109,1.3322269525,,,1.0656687829
2460,1.84403333,2.5500000000,2.5500000000,2.5500000000,2.5499999998,2.5499999975,2.5499999751,2.5499997794,2.5499981556,2.5499862078,2.5499158435,2.5495488249,2.5479360158,2.5417756970,2.5224263243,2.4711936552,2.3561355632,2.1389038925,1.7905351324,1.3091705177,,,1.0604975593
2520,1.84140000,2.5500000000,2.5500000000,2.5500000000,2.5499999996,2.5499999957,2.5499999593,2.5499996573,2.5499972481,2.5499806103,2.5498877243,2.5494213724,2.5474809886,2.5403405999,2.5187363256,2.4630845002,2.3423303965,2.1185347573,1.7668360836,1.2867712238,,,1.0555304763
2580,1.83876667,2.5500000000,2.5500000000,2.5499999999,2.5499999993,2.5499999927,2.5499999346,2.5499994768,2.5499959658,2.5499731416,2.5498520719,2.5492665611,2.5469531354,2.5387395324,2.5147608332,2.4546118191,2.3280495234,2.0982195050,1.7435567837,1.2648303248,,,1.0505920624
2640,1.83613333,2.5500000000,2.5500000000,2.5499999999,2.5499999987,2.5499999879,2.5499998967,2.5499992144,2.5499941828,2.5499633095,2.5498073759,2.5490804199,2.5463455767,2.5369645323,2.5104983867,2.4457913278,2.3132106284,2.0779855462,1.7204565934,1.2433726952,,,1.0458663031
2700,1.83350000,2.5500000000,2.5500000000,2.5499999997,2.5499999978,2.5499999803,2.5499998398,2.5499988304,2.5499917406,2.5499505296,2.5497519389,2.5488587375,2.5456309022,2.5350082605,2.5059481131,2.4366357917,2.2981668082,2.0578341424,1.6975419046,1.2225055988,,,1.0413572618
2760,1.83086667,2.5500000000,2.5499999999,2.5499999995,2.5499999963,2.5499999684,2.5499997554,2.5499982725,2.5499884426,2.5499341156,2.5496838667,2.5485970573,2.5447987957,2.5328636354,2.5009515420,2.4271579425,2.2829404622,2.0377866180,1.6750590997,1.2020834258,,,1.0368646346
2820,1.82823333,2.5500000000,2.5499999999,2.5499999992,2.5499999939,2.5499999503,2.5499996324,2.5499974891,2.5499840479,2.5499132699,2.5496010651,2.5482907140,2.5438583444,2.5305245713,2.4955834123,2.4173755119,2.2675618963,2.0178716559,1.6530188588,1.1820550767,,,1.0324048910
2880,1.82560000,2.5499999999,2.5499999998,2.5499999986,2.5499999901,2.5499999229,2.5499994557,2.5499964052,2.5499782647,2.5498870768,2.5495012482,2.5479349053,2.5428026329,2.5278926046,2.4899198848,2.4073059094,2.2520540623,1.9980636091,1.6313886416,1.1624920804,,,1.0281454390
2940,1.82296667,2.5499999999,2.5499999996,2.5499999977,2.5499999840,2.5499998823,2.5499992054,2.5499949262,2.5499707449,2.5498544962,2.5493819429,2.5475247056,2.5416249719,2.5250131671,2.4839651274,2.3969622397,2.2364308858,1.9779196776,1.6101483163,1.1433171643,,,1.0239695500
3000,1.82033333,2.5499999998,2.5499999994,2.5499999962,2.5499999747,2.5499998229,2.5499988553,2.5499929345,2.5499610767,2.5498143566,2.5492404859,2.5470550656,2.5403188883,2.5219137755,2.4777247458,2.3863617113,2.2207183389,1.9579700395,1.5892072481,1.1244979298,,,1.0197754577
3060,1.81770000,2.5499999997,2.5499999990,2.5499999939,2.5499999604,2.5499997372,2.5499983584,2.5499902854,2.5499487784,2.5497653510,2.5490667130,2.5465209111,2.5388784262,2.5185922990,2.4712061618,2.3755216744,2.2049352371,1.9382165967,1.5684226270,1.1060420634,,,1.0157108498
3120,1.81506667,2.5499999995,2.5499999983,2.5499999902,2.5499999391,2.5499996154,2.5499976703,2.5499868035,2.5499332929,2.5497060365,2.5488617739,2.5459171657,2.5372980225,2.5150472206,2.4644165936,2.3644572706,2.1890964963,1.9186585802,1.5480113769,1.0879751327,,,1.0118741470
3180,1.81243333,2.5499999991,2.5499999972,2.5499999847,2.5499999077,2.5499994423,2.5499967364,2.5499822780,2.5499139817,2.5496348314,2.5486232134,2.5452387407,2.5355723648,2.5112770887,2.4573615008,2.3531773012,2.1732032342,1.8992753836,1.5279418019,1.0704238529,,,1.0082620006
3240,1.80980000,2.5499999985,2.5499999956,2.5499999763,2.5499998620,2.5499991969,2.5499954844,2.5499764583,2.5498901188,2.5495500089,2.5483474673,2.5444804702,2.5336961943,2.5072804040,2.4500463534,2.3414218368,2.1571399282,1.8800822113,1.5082479721,1.0532141545,,,1.0046817439
3300,1.80716667,2.5499999975,2.5499999930,2.5499999638,2.5499997965,2.5499988582,2.5499938247,2.5499690492,2.5498608843,2.5494496966,2.5480308352,2.5436372438,2.5316648209,2.5030571126,2.4424792962,2.3293406678,2.1407176227,1.8610855653,1.4889232214,1.0363364711,,,1.0011825987
3360,1.80453333,2.5499999959,2.5499999890,2.5499999454,2.5499997038,2.5499983965,2.5499916486,2.5499597064,2.5498253608,2.5493318833,2.5476695213,2.5427040817,2.5294741061,2.4986079536,2.4346687117,2.3170912504,2.1243031627,1.8422926446,1.4698127181,1.0197163479,,,0.9976603233
3420,1.80190000,2.5499999935,2.5499999830,2.5499999188,2.5499995742,2.5499977741,2.5499888248,2.5499480316,2.5497825305,2.5491944251,2.5472596582,2.5416761635,2.5271204984,2.4939346991,2.4266245136,2.3046910869,2.1079148843,1.8234541610,1.4509598429,1.0033331478,,,0.9941676826
3480,1.79926667,2.5499999898,2.5499999742,2.5499998807,2.5499993951,2.5499969444,2.5499851965,2.5499335683,2.5497312736,2.5490350567,2.5467973501,2.5405489162,2.5246011452,2.4890400530,2.4183568341,2.2921551991,2.0915636195,1.8047196690,1.4324552800,,,,0.9906549878
3540,1.79663333,2.5499999843,2.5499999612,2.5499998268,2.5499991503,2.5499958496,2.5499805782,2.5499157984,2.5496703679,2.5488514014,2.5462786931,2.5393179960,2.5219137339,2.4839273668,2.4098764992,2.2795005337,2.0752666392,1.7862335385,1.4142929918,,,,0.9871391388
3600,1.79400000,2.5499999760,2.5499999424,2.5499997514,2.5499988193,2.5499944196,2.5499747528,2.5498941384,2.5495984902,2.5486409852,2.5456998194,2.5379793866,2.5190566988,2.4786009101,2.4011944695,2.2667408850,2.0590298004,1.7679794727,1.3964223157,,,,0.9838034138
3660,1.79096667,2.5499999637,2.5499999154,2.5499996468,2.5499983742,2.5499925559,2.5499674026,2.5498676706,2.5495132865,2.5483984119,2.5450456935,2.5365038705,2.5159602909,2.4729120314,2.3920302525,2.2533463253,2.0420146564,1.7487456279,1.3772162959,,,,0.9806139679
3720,1.78793333,2.5499999459,2.5499998772,2.5499995035,2.5499977835,2.5499901623,2.5499582681,2.5498358185,2.5494138098,2.5481229501,2.5443210125,2.5348804418,2.5126815325,2.4670003266,2.3823181889,2.2398432905,2.0250521823,1.7297327369,1.3581962043,,,,0.9774571786
3780,1.78490000,2.5499999202,2.5499998237,2.5499993090,2.5499970072,2.5499871152,2.5499470057,2.5497977517,2.5492983564,2.5478117004,2.5435216636,2.5330793466,2.5092192127,2.4608699709,2.3723843207,2.2262441487,2.0081489506,1.7109355404,1.3394959229,,,,0.9744252442
3840,1.78186667,2.5499998837,2.5499997493,2.5499990479,2.5499959964,2.5499832688,2.5499332247,2.5497525579,2.5491651184,2.5474616911,2.5426436146,2.5311428668,2.5055724879,2.4545250052,2.3622638828,2.2125578533,1.9911143626,1.6922134235,1.3211161374,,,,0.9714071267
3900,1.77883333,2.5499998323,2.5499996472,2.5499987004,2.5499946917,2.5499784525,2.5499164837,2.5496992412,2.5490121858,2.5470554599,2.5416829051,2.5290677176,2.5017409122,2.4479700186,2.3519672301,2.1987967733,1.9739185535,1.6735110003,1.3030259434,,,,0.9683723947
3960,1.77580000,2.5499997608,2.5499995084,2.5499982423,2.5499930219,2.5499724686,2.5498962872,2.5496367204,2.5488375533,2.5465986676,2.5406357167,2.5268510749,2.4976561232,2.4409585996,2.3415058701,2.1846833406,1.9568240245,1.6550495604,1.2850632997,,,,0.9653809331
4020,1.77276667,2.5499996622,2.5499993213,2.5499976434,2.5499909020,2.5499650891,2.5498720834,2.5495638309,2.5486391318,2.5460907389,2.5394984111,2.5244905560,2.4932785077,2.4337256224,2.3308904510,2.1703862096,1.9398363701,1.6368264539,1.2673935845,,,,0.9623496702
4080,1.76973333,2.5499995276,2.5499990715,2.5499968672,2.5499882320,2.5499560534,2.5498432621,2.5494793257,2.5484147570,2.5455284188,2.5382675318,2.5219841856,2.4887117573,2.4262979055,2.3201325668,2.1560633808,1.9229666324,1.6188471180,1.2500016178,,,,0.9592498593
4140,1.76670000,2.5499993457,2.5499987409,2.5499958693,2.5499848942,2.5499450659,2.5498091525,2.5493818784,2.5481622021,2.5449084977,2.5369398735,2.5193305504,2.4839586967,2.4186837400,2.3092444573,2.1417269189,1.9062199397,1.6011003033,1.2327967517,,,,0.9562755337
4200,1.76366667,2.5499991021,2.5499983070,2.5499945964,2.5499807521,2.5499317934,2.5497690231,2.5492700881,2.5478791939,2.5442278368,2.5355124732,2.5165285913,2.4790221305,2.4108898814,2.2982335403,2.1273789820,1.8895867695,1.5835437645,1.2157199653,,,,0.9533585542
4260,1.76063333,2.5499987787,2.5499977422,2.5499929852,2.5499756481,2.5499158635,2.5497220804,2.5491424808,2.5475634097,2.5434833300,2.5339824565,2.5135772456,2.4739044549,2.4029223352,2.2871077131,2.1130272932,1.8730730602,1.5659397556,1.1989005472,,,,0.9504619573
4320,1.75760000,2.5499983531,2.5499970130,2.5499909607,2.5499694013,2.5498968617,2.5496674674,2.5489975101,2.5472124809,2.5426719217,2.5323471361,2.5104758250,2.4686086255,2.3947877498,2.2758748344,2.0986760642,1.8566622147,1.5485427014,1.1823159559,,,,0.9477392237
4380,1.75456667,2.5499977978,2.5499960786,2.5499884348,2.5499618058,2.5498743295,2.5496042636,2.5488335614,2.5468240047,2.5417906164,2.5306039586,2.5072236831,2.4631370515,2.3864909139,2.2645392375,2.0843257103,1.8400189139,1.5313514451,1.1659063656,,,,0.9449562290
4440,1.75153333,2.5499970791,2.5499948905,2.5499853052,2.5499526286,2.5498477624,2.5495314835,2.5486489517,2.5463955376,2.5408364536,2.5287504764,2.5038203946,2.4574927960,2.3780389992,2.2530725792,2.0699925099,1.8235221529,1.5143978962,1.1496961847,,,,0.9420378935
4500,1.74850000,2.5499961561,2.5499933903,2.5499814529,2.5499416070,2.5498166083,2.5494480776,2.5484419393,2.5459246345,2.5398066427,2.5267847343,2.5002666445,2.4516809332,2.3694418819,2.2412102776,2.0556871505,1.8071728769,1.4976632726,1.1336645426,,,,0.9391917043
4560,1.74546667,2.5499949798,2.5499915094,2.5499767412,2.5499284476,2.5497802666,2.5493529383,2.5482107441,2.5454088906,2.5386986056,2.5247051579,2.4965634399,2.4457060022,2.3607065430,2.2292828884,2.0412922878,1.7909603946,1.4810815592,1.1177751304,,,,0.9364339361
4620,1.74243333,2.5499934915,2.5499891672,2.5499710139,2.5499128241,2.5497380890,2.5492449028,2.5479535490,2.5448458154,2.5375098612,2.5225065494,2.4927115460,2.4395716354,2.3518384282,2.2172953169,2.0266832585,1.7748808316,1.4644990928,1.1020492806,,,,0.9337551472
4680,1.73940000,2.5499916220,2.5499862693,2.5499640936,2.5498943761,2.5496893777,2.5491227518,2.5476684964,2.5442118667,2.5362379995,2.5201083321,2.4887116998,2.4332811716,2.3428422779,2.2052510742,2.0121146272,1.7589261575,1.4481038636,1.0865679716,,,,0.9311530502
4740,1.73636667,2.5499892896,2.5499827069,2.5499557799,2.5498727074,2.5496333849,2.5489852103,2.5473536882,2.5435232638,2.5348806721,2.5175868216,2.4845646310,2.4268379034,2.3337232705,2.1931560284,1.9975915593,1.7431013361,1.4319060594,1.0712376918,,,,0.9285759605
4800,1.73333333,2.5499863993,2.5499783542,2.5499458477,2.5498473836,2.5495693112,2.5488309481,2.5470071922,2.5427775714,2.5334356564,2.5149410737,2.4802715028,2.4202457675,2.3244757635,2.1810158677,1.9831161824,1.7273514486,1.4159008675,1.0560859211,,,,0.9259829114
4860,1.73030000,2.5499828404,2.5499730674,2.5499340452,2.5498179311,2.5494963066,2.5486585852,2.5466270538,2.5419724060,2.5319008732,2.5121703714,2.4758336918,2.4135088316,2.3148336629,2.1688376082,1.9686953636,1.7115061296,1.4000990804,1.0410915103,,,,0.9233108296
4920,1.72726667,2.5499784853,2.5499666824,2.5499200923,2.5497838363,2.5494134707,2.5484666956,2.5462113064,2.5411054578,2.5302744413,2.5092743845,2.4712532381,2.4066323055,2.3050921883,2.1566304081,1.9543367296,1.6958113372,1.3843524217,1.0261636027,,,,0.9207186521
4980,1.72423333,2.5499731877,2.5499590136,2.5499036789,2.5497445441,2.5493198556,2.5482538167,2.5457579925,2.5401745295,2.5285547235,2.5062531403,2.4664521157,2.3996209389,2.2952571795,2.1443975252,1.9400377878,1.6802577457,1.3687317731,1.0114419468,,,,0.9180797913
5040,1.72120000,2.5499667810,2.5499498519,2.5498844638,2.5496994590,2.5492144681,2.5480184542,2.5452651634,2.5391775059,2.5267402052,2.5031067481,2.4614269643,2.3922662703,2.2853361922,2.1321489976,1.9258126721,1.6648644337,1.3533185519,0.9967137646,,,,0.9153023915
5100,1.71816667,2.5499590763,2.5499389631,2.5498620733,2.5496479438,2.5490962715,2.5477590869,2.5447308943,2.5381124064,2.5248296856,2.4998359650,2.4562640697,2.3847682655,2.2753388248,2.1198942714,1.9116661372,1.6496246361,1.3380792695,0.9820877844,,,,0.9125647433
5160,1.71513333,2.5499498610,2.5499260866,2.5498361006,2.5495893217,2.5489641921,2.5474741844,2.5441533185,2.5369774329,2.5228222649,2.4964418436,2.4509670989,2.3771527357,2.2652705061,2.1075716301,1.8973916319,1.6345201845,1.3229796105,0.9676071255,,,,0.9099932432
5220,1.71210000,2.5499388973,2.5499109341,2.5498061049,2.5495228772,2.5488171229,2.5471622084,2.5435306084,2.5357708745,2.5207170651,2.4929251238,2.4455385690,2.3694227541,2.2551321870,2.0949918437,1.8830848305,1.6195324578,1.3079114206,0.9533500758,,,,0.9074764895
5280,1.70906667,2.5499259206,2.5498931880,2.5497716111,2.5494478557,2.5486539209,2.5468215996,2.5428609324,2.5344910031,2.5185130649,2.4892861397,2.4399803550,2.3615812436,2.2449273403,2.0824168713,1.8688581108,1.6044768173,1.2929664730,0.9391037098,,,,0.9048280930
5340,1.70603333,2.5499106380,2.5498725001,2.5497321076,2.5493634615,2.5484734040,2.5464507746,2.5421424650,2.5331361627,2.5162094488,2.4855258067,2.4342957806,2.3536341323,2.2346641590,2.0698560034,1.8547189050,1.5895313741,1.2781864927,0.9249599943,,,,0.9022493429
5400,1.70300000,2.5498927258,2.5498484893,2.5496870456,2.5492688592,2.5482743589,2.5460481505,2.5413734509,2.5317048993,2.5138057704,2.4816455454,2.4284884870,2.3455865550,2.2243471950,2.0573099344,1.8406609341,1.5747182558,1.2635527933,0.9109025490,,,,0.8996393880
