xi_center,z_center_m,r_center_m,temperature_K,moisture_kg_kg
0.4945068359,0.0091796875,0.0059340820,323.14591667,0.1374749936
0.5164794922,0.0091796875,0.0061977539,323.14591667,0.1362607059
0.5379638672,0.0091796875,0.0064555664,323.14591667,0.1350061075
0.5589599609,0.0091796875,0.0067075195,323.14591667,0.1337128223
0.5794677734,0.0091796875,0.0069536133,323.14591667,0.1323823833
0.5994873047,0.0091796875,0.0071938477,323.14591667,0.1310162340
0.6190185547,0.0091796875,0.0074282227,323.14591667,0.1296157283
0.6380615234,0.0091796875,0.0076567383,323.14591667,0.1281821306
0.6566162109,0.0091796875,0.0078793945,323.14591667,0.1267166160
0.6746826172,0.0091796875,0.0080961914,323.14591667,0.1252202690
0.6922607422,0.0091796875,0.0083071289,323.14591667,0.1236940829
0.7093505859,0.0091796875,0.0085122070,323.14591667,0.1221389584
0.7259521484,0.0091796875,0.0087114258,323.14591667,0.1205557015
0.7420654297,0.0091796875,0.0089047852,323.14591667,0.1189450211
0.7576904297,0.0091796875,0.0090922852,323.14591667,0.1173075264
0.7728271484,0.0091796875,0.0092739258,323.14591667,0.1156437230
0.7874755859,0.0091796875,0.0094497070,323.14591667,0.1139540088
0.8016357422,0.0091796875,0.0096196289,323.14591667,0.1122386687
0.8153076172,0.0091796875,0.0097836914,323.14591667,0.1104978689
0.8284912109,0.0091796875,0.0099418945,323.14591667,0.1087316495
0.8411865234,0.0091796875,0.0100942383,323.14591667,0.1069399162
0.8533935547,0.0091796875,0.0102407227,323.14591667,0.1051224304
0.8651123047,0.0091796875,0.0103813477,323.14591667,0.1032787982
0.8763427734,0.0091796875,0.0105161133,323.14591667,0.1014084562
0.8870849609,0.0091796875,0.0106450195,323.14591667,0.0995106567
0.8973388672,0.0091796875,0.0107680664,323.14591667,0.0975844489
0.9071044922,0.0091796875,0.0108852539,323.14591667,0.0956286582
0.9163818359,0.0091796875,0.0109965820,323.14591667,0.0936418620
0.9251708984,0.0091796875,0.0111020508,323.14591667,0.0916223618
0.9334716797,0.0091796875,0.0112016602,323.14591667,0.0895681533
0.9412841797,0.0091796875,0.0112954102,323.14591667,0.0874768924
0.9486083984,0.0091796875,0.0113833008,323.14591667,0.0853458616
0.9554443359,0.0091796875,0.0114653320,323.14591667,0.0831719399
0.9617919922,0.0091796875,0.0115415039,323.14591667,0.0809515842
0.9676513672,0.0091796875,0.0116118164,323.14591667,0.0786808409
0.9730224609,0.0091796875,0.0116762695,323.14591667,0.0763554216
0.9779052734,0.0091796875,0.0117348633,323.14591667,0.0739709113
0.9822998047,0.0091796875,0.0117875977,323.14591667,0.0715232528
0.9862060547,0.0091796875,0.0118344727,323.14591667,0.0690097965
0.9896240234,0.0091796875,0.0118754883,323.14591667,0.0664315324
0.9925537109,0.0091796875,0.0119106445,323.14591667,0.0637978146
0.9949951172,0.0091796875,0.0119399414,323.14591667,0.0611363324
0.9969482422,0.0091796875,0.0119633789,323.14591667,0.0585135869
0.9984130859,0.0091796875,0.0119809570,323.14591667,0.0560726795
0.9993896484,0.0091796875,0.0119926758,323.14591667,0.0540816837
0.9998779297,0.0091796875,0.0119985352,323.14591667,0.0529254994
0.0155029297,0.0151171875,0.0001860352,323.14591667,0.1499877588
0.0462646484,0.0151171875,0.0005551758,323.14591667,0.1498950668
0.0765380859,0.0151171875,0.0009184570,323.14591667,0.1497138726
0.1063232422,0.0151171875,0.0012758789,323.14591667,0.1494481300
0.1356201172,0.0151171875,0.0016274414,323.14591667,0.1491015798
0.1644287109,0.0151171875,0.0019731445,323.14591667,0.1486777689
0.1927490234,0.0151171875,0.0023129883,323.14591667,0.1481800668
0.2205810547,0.0151171875,0.0026469727,323.14591667,0.1476116791
0.2479248047,0.0151171875,0.0029750977,323.14591667,0.1469756591
0.2747802734,0.0151171875,0.0032973633,323.14591667,0.1462749180
0.3011474609,0.0151171875,0.0036137695,323.14591667,0.1455122335
0.3270263672,0.0151171875,0.0039243164,323.14591667,0.1446902567
0.3524169922,0.0151171875,0.0042290039,323.14591667,0.1438115191
0.3773193359,0.0151171875,0.0045278320,323.14591667,0.1428784375
0.4017333984,0.0151171875,0.0048208008,323.14591667,0.1418933190
0.4256591797,0.0151171875,0.0051079102,323.14591667,0.1408583648
0.4490966797,0.0151171875,0.0053891602,323.14591667,0.1397756740
0.4720458984,0.0151171875,0.0056645508,323.14591667,0.1386472463
0.4945068359,0.0151171875,0.0059340820,323.14591667,0.1374749845
0.5164794922,0.0151171875,0.0061977539,323.14591667,0.1362606968
0.5379638672,0.0151171875,0.0064555664,323.14591667,0.1350060986
0.5589599609,0.0151171875,0.0067075195,323.14591667,0.1337128136
0.5794677734,0.0151171875,0.0069536133,323.14591667,0.1323823748
0.5994873047,0.0151171875,0.0071938477,323.14591667,0.1310162256
0.6190185547,0.0151171875,0.0074282227,323.14591667,0.1296157201
0.6380615234,0.0151171875,0.0076567383,323.14591667,0.1281821226
0.6566162109,0.0151171875,0.0078793945,323.14591667,0.1267166081
0.6746826172,0.0151171875,0.0080961914,323.14591667,0.1252202613
0.6922607422,0.0151171875,0.0083071289,323.14591667,0.1236940754
0.7093505859,0.0151171875,0.0085122070,323.14591667,0.1221389510
0.7259521484,0.0151171875,0.0087114258,323.14591667,0.1205556942
0.7420654297,0.0151171875,0.0089047852,323.14591667,0.1189450140
0.7576904297,0.0151171875,0.0090922852,323.14591667,0.1173075195
0.7728271484,0.0151171875,0.0092739258,323.14591667,0.1156437163
0.7874755859,0.0151171875,0.0094497070,323.14591667,0.1139540022
0.8016357422,0.0151171875,0.0096196289,323.14591667,0.1122386624
0.8153076172,0.0151171875,0.0097836914,323.14591667,0.1104978628
0.8284912109,0.0151171875,0.0099418945,323.14591667,0.1087316435
0.8411865234,0.0151171875,0.0100942383,323.14591667,0.1069399103
0.8533935547,0.0151171875,0.0102407227,323.14591667,0.1051224248
0.8651123047,0.0151171875,0.0103813477,323.14591667,0.1032787927
0.8763427734,0.0151171875,0.0105161133,323.14591667,0.1014084509
0.8870849609,0.0151171875,0.0106450195,323.14591667,0.0995106516
0.8973388672,0.0151171875,0.0107680664,323.14591667,0.0975844440
0.9071044922,0.0151171875,0.0108852539,323.14591667,0.0956286535
0.9163818359,0.0151171875,0.0109965820,323.14591667,0.0936418574
0.9251708984,0.0151171875,0.0111020508,323.14591667,0.0916223575
0.9334716797,0.0151171875,0.0112016602,323.14591667,0.0895681491
0.9412841797,0.0151171875,0.0112954102,323.14591667,0.0874768884
0.9486083984,0.0151171875,0.0113833008,323.14591667,0.0853458578
0.9554443359,0.0151171875,0.0114653320,323.14591667,0.0831719362
0.9617919922,0.0151171875,0.0115415039,323.14591667,0.0809515807
0.9676513672,0.0151171875,0.0116118164,323.14591667,0.0786808377
0.9730224609,0.0151171875,0.0116762695,323.14591667,0.0763554185
0.9779052734,0.0151171875,0.0117348633,323.14591667,0.0739709084
0.9822998047,0.0151171875,0.0117875977,323.14591667,0.0715232501
0.9862060547,0.0151171875,0.0118344727,323.14591667,0.0690097941
0.9896240234,0.0151171875,0.0118754883,323.14591667,0.0664315301
0.9925537109,0.0151171875,0.0119106445,323.14591667,0.0637978126
0.9949951172,0.0151171875,0.0119399414,323.14591667,0.0611363307
0.9969482422,0.0151171875,0.0119633789,323.14591667,0.0585135854
0.9984130859,0.0151171875,0.0119809570,323.14591667,0.0560726783
0.9993896484,0.0151171875,0.0119926758,323.14591667,0.0540816828
0.9998779297,0.0151171875,0.0119985352,323.14591667,0.0529254987
0.0155029297,0.0208984375,0.0001860352,323.14591667,0.1499877392
0.0462646484,0.0208984375,0.0005551758,323.14591667,0.1498950473
0.0765380859,0.0208984375,0.0009184570,323.14591667,0.1497138531
0.1063232422,0.0208984375,0.0012758789,323.14591667,0.1494481106
0.1356201172,0.0208984375,0.0016274414,323.14591667,0.1491015604
0.1644287109,0.0208984375,0.0019731445,323.14591667,0.1486777497
0.1927490234,0.0208984375,0.0023129883,323.14591667,0.1481800477
0.2205810547,0.0208984375,0.0026469727,323.14591667,0.1476116601
0.2479248047,0.0208984375,0.0029750977,323.14591667,0.1469756403
0.2747802734,0.0208984375,0.0032973633,323.14591667,0.1462748994
0.3011474609,0.0208984375,0.0036137695,323.14591667,0.1455122150
0.3270263672,0.0208984375,0.0039243164,323.14591667,0.1446902384
0.3524169922,0.0208984375,0.0042290039,323.14591667,0.1438115011
0.3773193359,0.0208984375,0.0045278320,323.14591667,0.1428784197
0.4017333984,0.0208984375,0.0048208008,323.14591667,0.1418933014
0.4256591797,0.0208984375,0.0051079102,323.14591667,0.1408583475
0.4490966797,0.0208984375,0.0053891602,323.14591667,0.1397756569
0.4720458984,0.0208984375,0.0056645508,323.14591667,0.1386472294
0.4945068359,0.0208984375,0.0059340820,323.14591667,0.1374749679
0.5164794922,0.0208984375,0.0061977539,323.14591667,0.1362606805
0.5379638672,0.0208984375,0.0064555664,323.14591667,0.1350060826
0.5589599609,0.0208984375,0.0067075195,323.14591667,0.1337127978
0.5794677734,0.0208984375,0.0069536133,323.14591667,0.1323823593
0.5994873047,0.0208984375,0.0071938477,323.14591667,0.1310162105
0.6190185547,0.0208984375,0.0074282227,323.14591667,0.1296157052
0.6380615234,0.0208984375,0.0076567383,323.14591667,0.1281821080
0.6566162109,0.0208984375,0.0078793945,323.14591667,0.1267165938
0.6746826172,0.0208984375,0.0080961914,323.14591667,0.1252202473
0.6922607422,0.0208984375,0.0083071289,323.14591667,0.1236940617
0.7093505859,0.0208984375,0.0085122070,323.14591667,0.1221389377
0.7259521484,0.0208984375,0.0087114258,323.14591667,0.1205556812
0.7420654297,0.0208984375,0.0089047852,323.14591667,0.1189450013
0.7576904297,0.0208984375,0.0090922852,323.14591667,0.1173075071
0.7728271484,0.0208984375,0.0092739258,323.14591667,0.1156437042
0.7874755859,0.0208984375,0.0094497070,323.14591667,0.1139539905
0.8016357422,0.0208984375,0.0096196289,323.14591667,0.1122386509
0.8153076172,0.0208984375,0.0097836914,323.14591667,0.1104978516
0.8284912109,0.0208984375,0.0099418945,323.14591667,0.1087316327
0.8411865234,0.0208984375,0.0100942383,323.14591667,0.1069398999
0.8533935547,0.0208984375,0.0102407227,323.14591667,0.1051224146
0.8651123047,0.0208984375,0.0103813477,323.14591667,0.1032787829
0.8763427734,0.0208984375,0.0105161133,323.14591667,0.1014084414
0.8870849609,0.0208984375,0.0106450195,323.14591667,0.0995106424
0.8973388672,0.0208984375,0.0107680664,323.14591667,0.0975844351
0.9071044922,0.0208984375,0.0108852539,323.14591667,0.0956286449
0.9163818359,0.0208984375,0.0109965820,323.14591667,0.0936418492
0.9251708984,0.0208984375,0.0111020508,323.14591667,0.0916223496
0.9334716797,0.0208984375,0.0112016602,323.14591667,0.0895681416
0.9412841797,0.0208984375,0.0112954102,323.14591667,0.0874768811
0.9486083984,0.0208984375,0.0113833008,323.14591667,0.0853458509
0.9554443359,0.0208984375,0.0114653320,323.14591667,0.0831719296
0.9617919922,0.0208984375,0.0115415039,323.14591667,0.0809515745
0.9676513672,0.0208984375,0.0116118164,323.14591667,0.0786808318
0.9730224609,0.0208984375,0.0116762695,323.14591667,0.0763554129
0.9779052734,0.0208984375,0.0117348633,323.14591667,0.0739709032
0.9822998047,0.0208984375,0.0117875977,323.14591667,0.0715232453
0.9862060547,0.0208984375,0.0118344727,323.14591667,0.0690097896
0.9896240234,0.0208984375,0.0118754883,323.14591667,0.0664315261
0.9925537109,0.0208984375,0.0119106445,323.14591667,0.0637978090
0.9949951172,0.0208984375,0.0119399414,323.14591667,0.0611363276
0.9969482422,0.0208984375,0.0119633789,323.14591667,0.0585135828
0.9984130859,0.0208984375,0.0119809570,323.14591667,0.0560726763
0.9993896484,0.0208984375,0.0119926758,323.14591667,0.0540816813
0.9998779297,0.0208984375,0.0119985352,323.14591667,0.0529254975
0.0155029297,0.0265234375,0.0001860352,323.14591667,0.1499877052
0.0462646484,0.0265234375,0.0005551758,323.14591667,0.1498950133
0.0765380859,0.0265234375,0.0009184570,323.14591667,0.1497138192
0.1063232422,0.0265234375,0.0012758789,323.14591667,0.1494480768
0.1356201172,0.0265234375,0.0016274414,323.14591667,0.1491015268
0.1644287109,0.0265234375,0.0019731445,323.14591667,0.1486777162
0.1927490234,0.0265234375,0.0023129883,323.14591667,0.1481800145
0.2205810547,0.0265234375,0.0026469727,323.14591667,0.1476116271
0.2479248047,0.0265234375,0.0029750977,323.14591667,0.1469756076
0.2747802734,0.0265234375,0.0032973633,323.14591667,0.1462748670
0.3011474609,0.0265234375,0.0036137695,323.14591667,0.1455121829
0.3270263672,0.0265234375,0.0039243164,323.14591667,0.1446902067
0.3524169922,0.0265234375,0.0042290039,323.14591667,0.1438114697
0.3773193359,0.0265234375,0.0045278320,323.14591667,0.1428783887
0.4017333984,0.0265234375,0.0048208008,323.14591667,0.1418932708
0.4256591797,0.0265234375,0.0051079102,323.14591667,0.1408583173
0.4490966797,0.0265234375,0.0053891602,323.14591667,0.1397756272
0.4720458984,0.0265234375,0.0056645508,323.14591667,0.1386472002
0.4945068359,0.0265234375,0.0059340820,323.14591667,0.1374749391
0.5164794922,0.0265234375,0.0061977539,323.14591667,0.1362606522
0.5379638672,0.0265234375,0.0064555664,323.14591667,0.1350060548
0.5589599609,0.0265234375,0.0067075195,323.14591667,0.1337127705
0.5794677734,0.0265234375,0.0069536133,323.14591667,0.1323823325
0.5994873047,0.0265234375,0.0071938477,323.14591667,0.1310161842
0.6190185547,0.0265234375,0.0074282227,323.14591667,0.1296156795
0.6380615234,0.0265234375,0.0076567383,323.14591667,0.1281820828
0.6566162109,0.0265234375,0.0078793945,323.14591667,0.1267165692
0.6746826172,0.0265234375,0.0080961914,323.14591667,0.1252202232
0.6922607422,0.0265234375,0.0083071289,323.14591667,0.1236940381
0.7093505859,0.0265234375,0.0085122070,323.14591667,0.1221389147
0.7259521484,0.0265234375,0.0087114258,323.14591667,0.1205556587
0.7420654297,0.0265234375,0.0089047852,323.14591667,0.1189449794
0.7576904297,0.0265234375,0.0090922852,323.14591667,0.1173074858
0.7728271484,0.0265234375,0.0092739258,323.14591667,0.1156436834
0.7874755859,0.0265234375,0.0094497070,323.14591667,0.1139539702
0.8016357422,0.0265234375,0.0096196289,323.14591667,0.1122386312
0.8153076172,0.0265234375,0.0097836914,323.14591667,0.1104978325
0.8284912109,0.0265234375,0.0099418945,323.14591667,0.1087316141
0.8411865234,0.0265234375,0.0100942383,323.14591667,0.1069398818
0.8533935547,0.0265234375,0.0102407227,323.14591667,0.1051223972
0.8651123047,0.0265234375,0.0103813477,323.14591667,0.1032787660
0.8763427734,0.0265234375,0.0105161133,323.14591667,0.1014084251
0.8870849609,0.0265234375,0.0106450195,323.14591667,0.0995106266
0.8973388672,0.0265234375,0.0107680664,323.14591667,0.0975844199
0.9071044922,0.0265234375,0.0108852539,323.14591667,0.0956286303
0.9163818359,0.0265234375,0.0109965820,323.14591667,0.0936418350
0.9251708984,0.0265234375,0.0111020508,323.14591667,0.0916223360
0.9334716797,0.0265234375,0.0112016602,323.14591667,0.0895681285
0.9412841797,0.0265234375,0.0112954102,323.14591667,0.0874768687
0.9486083984,0.0265234375,0.0113833008,323.14591667,0.0853458390
0.9554443359,0.0265234375,0.0114653320,323.14591667,0.0831719183
0.9617919922,0.0265234375,0.0115415039,323.14591667,0.0809515637
0.9676513672,0.0265234375,0.0116118164,323.14591667,0.0786808216
0.9730224609,0.0265234375,0.0116762695,323.14591667,0.0763554034
0.9779052734,0.0265234375,0.0117348633,323.14591667,0.0739708943
0.9822998047,0.0265234375,0.0117875977,323.14591667,0.0715232370
0.9862060547,0.0265234375,0.0118344727,323.14591667,0.0690097820
0.9896240234,0.0265234375,0.0118754883,323.14591667,0.0664315192
0.9925537109,0.0265234375,0.0119106445,323.14591667,0.0637978029
0.9949951172,0.0265234375,0.0119399414,323.14591667,0.0611363222
0.9969482422,0.0265234375,0.0119633789,323.14591667,0.0585135784
0.9984130859,0.0265234375,0.0119809570,323.14591667,0.0560726727
0.9993896484,0.0265234375,0.0119926758,323.14591667,0.0540816786
0.9998779297,0.0265234375,0.0119985352,323.14591667,0.0529254953
0.0155029297,0.0319921875,0.0001860352,323.14591667,0.1499876450
0.0462646484,0.0319921875,0.0005551758,323.14591667,0.1498949532
0.0765380859,0.0319921875,0.0009184570,323.14591667,0.1497137592
0.1063232422,0.0319921875,0.0012758789,323.14591667,0.1494480170
0.1356201172,0.0319921875,0.0016274414,323.14591667,0.1491014673
0.1644287109,0.0319921875,0.0019731445,323.14591667,0.1486776571
0.1927490234,0.0319921875,0.0023129883,323.14591667,0.1481799557
0.2205810547,0.0319921875,0.0026469727,323.14591667,0.1476115689
0.2479248047,0.0319921875,0.0029750977,323.14591667,0.1469755498
0.2747802734,0.0319921875,0.0032973633,323.14591667,0.1462748097
0.3011474609,0.0319921875,0.0036137695,323.14591667,0.1455121263
0.3270263672,0.0319921875,0.0039243164,323.14591667,0.1446901507
0.3524169922,0.0319921875,0.0042290039,323.14591667,0.1438114144
0.3773193359,0.0319921875,0.0045278320,323.14591667,0.1428783341
0.4017333984,0.0319921875,0.0048208008,323.14591667,0.1418932170
0.4256591797,0.0319921875,0.0051079102,323.14591667,0.1408582643
0.4490966797,0.0319921875,0.0053891602,323.14591667,0.1397755749
0.4720458984,0.0319921875,0.0056645508,323.14591667,0.1386471487
0.4945068359,0.0319921875,0.0059340820,323.14591667,0.1374748885
0.5164794922,0.0319921875,0.0061977539,323.14591667,0.1362606025
0.5379638672,0.0319921875,0.0064555664,323.14591667,0.1350060060
0.5589599609,0.0319921875,0.0067075195,323.14591667,0.1337127226
0.5794677734,0.0319921875,0.0069536133,323.14591667,0.1323822855
0.5994873047,0.0319921875,0.0071938477,323.14591667,0.1310161382
0.6190185547,0.0319921875,0.0074282227,323.14591667,0.1296156343
0.6380615234,0.0319921875,0.0076567383,323.14591667,0.1281820386
0.6566162109,0.0319921875,0.0078793945,323.14591667,0.1267165260
0.6746826172,0.0319921875,0.0080961914,323.14591667,0.1252201809
0.6922607422,0.0319921875,0.0083071289,323.14591667,0.1236939969
0.7093505859,0.0319921875,0.0085122070,323.14591667,0.1221388744
0.7259521484,0.0319921875,0.0087114258,323.14591667,0.1205556195
0.7420654297,0.0319921875,0.0089047852,323.14591667,0.1189449411
0.7576904297,0.0319921875,0.0090922852,323.14591667,0.1173074484
0.7728271484,0.0319921875,0.0092739258,323.14591667,0.1156436471
0.7874755859,0.0319921875,0.0094497070,323.14591667,0.1139539349
0.8016357422,0.0319921875,0.0096196289,323.14591667,0.1122385969
0.8153076172,0.0319921875,0.0097836914,323.14591667,0.1104977991
0.8284912109,0.0319921875,0.0099418945,323.14591667,0.1087315817
0.8411865234,0.0319921875,0.0100942383,323.14591667,0.1069398504
0.8533935547,0.0319921875,0.0102407227,323.14591667,0.1051223667
0.8651123047,0.0319921875,0.0103813477,323.14591667,0.1032787365
0.8763427734,0.0319921875,0.0105161133,323.14591667,0.1014083966
0.8870849609,0.0319921875,0.0106450195,323.14591667,0.0995105991
0.8973388672,0.0319921875,0.0107680664,323.14591667,0.0975843934
0.9071044922,0.0319921875,0.0108852539,323.14591667,0.0956286047
0.9163818359,0.0319921875,0.0109965820,323.14591667,0.0936418105
0.9251708984,0.0319921875,0.0111020508,323.14591667,0.0916223124
0.9334716797,0.0319921875,0.0112016602,323.14591667,0.0895681059
0.9412841797,0.0319921875,0.0112954102,323.14591667,0.0874768471
0.9486083984,0.0319921875,0.0113833008,323.14591667,0.0853458184
0.9554443359,0.0319921875,0.0114653320,323.14591667,0.0831718987
0.9617919922,0.0319921875,0.0115415039,323.14591667,0.0809515451
0.9676513672,0.0319921875,0.0116118164,323.14591667,0.0786808041
0.9730224609,0.0319921875,0.0116762695,323.14591667,0.0763553869
0.9779052734,0.0319921875,0.0117348633,323.14591667,0.0739708788
0.9822998047,0.0319921875,0.0117875977,323.14591667,0.0715232227
0.9862060547,0.0319921875,0.0118344727,323.14591667,0.0690097688
0.9896240234,0.0319921875,0.0118754883,323.14591667,0.0664315072
0.9925537109,0.0319921875,0.0119106445,323.14591667,0.0637977922
0.9949951172,0.0319921875,0.0119399414,323.14591667,0.0611363130
0.9969482422,0.0319921875,0.0119633789,323.14591667,0.0585135706
0.9984130859,0.0319921875,0.0119809570,323.14591667,0.0560726666
0.9993896484,0.0319921875,0.0119926758,323.14591667,0.0540816740
0.9998779297,0.0319921875,0.0119985352,323.14591667,0.0529254917
0.0155029297,0.0373046875,0.0001860352,323.14591667,0.1499875329
0.0462646484,0.0373046875,0.0005551758,323.14591667,0.1498948412
0.0765380859,0.0373046875,0.0009184570,323.14591667,0.1497136476
0.1063232422,0.0373046875,0.0012758789,323.14591667,0.1494479058
0.1356201172,0.0373046875,0.0016274414,323.14591667,0.1491013566
0.1644287109,0.0373046875,0.0019731445,323.14591667,0.1486775471
0.1927490234,0.0373046875,0.0023129883,323.14591667,0.1481798465
0.2205810547,0.0373046875,0.0026469727,323.14591667,0.1476114605
0.2479248047,0.0373046875,0.0029750977,323.14591667,0.1469754424
0.2747802734,0.0373046875,0.0032973633,323.14591667,0.1462747034
0.3011474609,0.0373046875,0.0036137695,323.14591667,0.1455120211
0.3270263672,0.0373046875,0.0039243164,323.14591667,0.1446900468
0.3524169922,0.0373046875,0.0042290039,323.14591667,0.1438113118
0.3773193359,0.0373046875,0.0045278320,323.14591667,0.1428782329
0.4017333984,0.0373046875,0.0048208008,323.14591667,0.1418931172
0.4256591797,0.0373046875,0.0051079102,323.14591667,0.1408581660
0.4490966797,0.0373046875,0.0053891602,323.14591667,0.1397754782
0.4720458984,0.0373046875,0.0056645508,323.14591667,0.1386470536
0.4945068359,0.0373046875,0.0059340820,323.14591667,0.1374747950
0.5164794922,0.0373046875,0.0061977539,323.14591667,0.1362605107
0.5379638672,0.0373046875,0.0064555664,323.14591667,0.1350059159
0.5589599609,0.0373046875,0.0067075195,323.14591667,0.1337126342
0.5794677734,0.0373046875,0.0069536133,323.14591667,0.1323821989
0.5994873047,0.0373046875,0.0071938477,323.14591667,0.1310160533
0.6190185547,0.0373046875,0.0074282227,323.14591667,0.1296155513
