scenario_id,parameter,factor,time_s,average_temperature_c,average_moisture_kg_kg,center_temperature_c,surface_temperature_c,center_moisture_kg_kg,surface_moisture_kg_kg
baseline,baseline,1.0,2820,38.56421351,2.156137639,36.97910198,40.11463548,2.545313364,1.534558304
baseline,baseline,1.0,2880,38.82778933,2.148974351,37.25898449,40.37446588,2.544509091,1.529207381
baseline,baseline,1.0,2940,39.08586366,2.141838221,37.53621504,40.59663966,2.543607004,1.523945708
baseline,baseline,1.0,3000,39.33635227,2.13472866,37.81042002,40.82136953,2.542600804,1.518713206
baseline,baseline,1.0,3060,39.58262664,2.127645514,38.0815509,41.03772432,2.541484357,1.513576504
baseline,baseline,1.0,3120,39.83311619,2.120588127,38.34898793,41.29955721,2.540251753,1.508581753
baseline,baseline,1.0,3180,40.08595451,2.11355555,38.61236178,41.54228796,2.53889737,1.503738657
baseline,baseline,1.0,3240,40.33346622,2.106548166,38.87223958,41.77349493,2.537415888,1.498950268
baseline,baseline,1.0,3300,40.57814515,2.09956501,39.12987676,42.00309321,2.535802242,1.494234412
baseline,baseline,1.0,3360,40.8156154,2.092605543,39.38563805,42.20649032,2.534051636,1.489540898
baseline,baseline,1.0,3420,41.04734297,2.085669569,39.63932157,42.41502121,2.532159618,1.484884484
baseline,baseline,1.0,3480,41.27150575,2.07875686,39.89033683,42.59675302,2.530122131,1.480244116
baseline,baseline,1.0,3540,41.48767683,2.071867587,40.13786623,42.77882201,2.52793558,1.475618208
baseline,baseline,1.0,3600,41.70712087,2.065000892,40.38116535,42.9977272,2.525596868,1.471094821
baseline,baseline,1.0,3660,41.92571387,2.0581565,40.6194742,43.19470433,2.523103438,1.466657501
baseline,baseline,1.0,3720,42.13896619,2.051334808,40.85313158,43.38826658,2.520453239,1.462250323
baseline,baseline,1.0,3780,42.35148123,2.044535474,41.08312188,43.58940216,2.517644597,1.457917963
baseline,baseline,1.0,3840,42.55999973,2.037757777,41.30976656,43.77372765,2.514676206,1.453612772
baseline,baseline,1.0,3900,42.7618371,2.031001226,41.53328874,43.94712478,2.511547161,1.449314174
baseline,baseline,1.0,3960,42.95894224,2.024266373,41.75379815,44.11888334,2.508256944,1.445047253
baseline,baseline,1.0,4020,43.14907298,2.017552766,41.97091007,44.27227038,2.504805461,1.440774606
baseline,baseline,1.0,4080,43.32961124,2.0108601,42.18415063,44.40943224,2.501193086,1.43647663
baseline,baseline,1.0,4140,43.50925133,2.004189087,42.39299988,44.5768583,2.497420663,1.432239786
baseline,baseline,1.0,4200,43.68686269,1.997539393,42.59668754,44.72664432,2.493489542,1.428043387
baseline,baseline,1.0,4260,43.86067082,1.990910384,42.79507842,44.8835442,2.489401555,1.42386456
baseline,baseline,1.0,4320,44.03826378,1.984301983,42.98876714,45.06408106,2.485158851,1.41977692
baseline,baseline,1.0,4380,44.20825896,1.977714069,43.17820522,45.19256081,2.48076382,1.415678494
baseline,baseline,1.0,4440,44.36553724,1.971146714,43.36427926,45.30801912,2.47621903,1.411518986
baseline,baseline,1.0,4500,44.52096019,1.964600023,43.54728282,45.44507258,2.471527162,1.407392583
baseline,baseline,1.0,4560,44.675685,1.958074112,43.72608651,45.58109945,2.466691239,1.403313639
baseline,baseline,1.0,4620,44.83147724,1.951568255,43.90006578,45.7345943,2.46171474,1.399278865
baseline,baseline,1.0,4680,44.98578355,1.945082604,44.06964321,45.8715509,2.456601374,1.395290166
baseline,baseline,1.0,4740,45.13758268,1.9386174,44.2356833,46.01427674,2.451354897,1.391320845
baseline,baseline,1.0,4800,45.28621977,1.9321713,44.39898245,46.14213154,2.445979008,1.387353561
baseline,baseline,1.0,4860,45.42632372,1.925744277,44.55982947,46.2478307,2.44047741,1.383353611
baseline,baseline,1.0,4920,45.56552501,1.919337076,44.71822211,46.38078412,2.434853862,1.379389594
baseline,baseline,1.0,4980,45.6973544,1.912950006,44.873539,46.46727076,2.429112287,1.3754111
baseline,baseline,1.0,5040,45.81722029,1.906582925,45.02538085,46.54631522,2.423256835,1.371364122
baseline,baseline,1.0,5100,45.93436383,1.900235745,45.17341758,46.63934821,2.417291784,1.367330093
baseline,baseline,1.0,5160,46.05790998,1.893908152,45.31649191,46.77425167,2.411221686,1.363373165
baseline,baseline,1.0,5220,46.18138309,1.887599716,45.45416894,46.88014693,2.4050514,1.359451761
baseline,baseline,1.0,5280,46.2943441,1.881310423,45.58759773,46.95782349,2.39878573,1.355472128
baseline,baseline,1.0,5340,46.40576945,1.875040817,45.71818968,47.06132241,2.392429084,1.351519884
baseline,baseline,1.0,5400,46.51358492,1.868790478,45.84578167,47.1394716,2.385985684,1.347557633
baseline,baseline,1.0,5460,46.62173587,1.862559549,45.96997018,47.25138518,2.379459861,1.343635227
baseline,baseline,1.0,5520,46.72958449,1.856348472,46.09080339,47.34070601,2.372855951,1.339742645
baseline,baseline,1.0,5580,46.83047809,1.850155967,46.20857186,47.41906966,2.366178223,1.335804326
baseline,baseline,1.0,5640,46.92700543,1.843982517,46.32389432,47.49304542,2.359430733,1.331869187
baseline,baseline,1.0,5700,47.02445824,1.837828236,46.43656436,47.58869936,2.352617416,1.327954945
baseline,baseline,1.0,5760,47.11919582,1.831693171,46.5461525,47.66099392,2.345742263,1.324058159
baseline,baseline,1.0,5820,47.20458899,1.825577257,46.6528004,47.71249088,2.338809258,1.320100341
baseline,baseline,1.0,5880,47.28549853,1.819481,46.7567922,47.77198983,2.331822212,1.316148137
baseline,baseline,1.0,5940,47.37603192,1.81340392,46.85750625,47.88951886,2.324784914,1.312269264
baseline,baseline,1.0,6000,47.47199285,1.807345583,46.95439165,47.98826788,2.317701307,1.308469934
baseline,baseline,1.0,6060,47.56062276,1.801306607,47.04861048,48.05731481,2.310575181,1.30463465
baseline,baseline,1.0,6120,47.63830761,1.795286075,47.14207732,48.09584404,2.303409676,1.300730885
baseline,baseline,1.0,6180,47.71858332,1.789284545,47.23494237,48.18769115,2.296207486,1.296867314
baseline,baseline,1.0,6240,47.80181682,1.783301909,47.32587329,48.26112705,2.288971443,1.293045146
baseline,baseline,1.0,6300,47.87897314,1.777338174,47.41433718,48.32114132,2.281704658,1.289199484
baseline,baseline,1.0,6360,47.9495728,1.771392587,47.5010799,48.36332487,2.274410057,1.285307518
baseline,baseline,1.0,6420,48.01304358,1.765465619,47.58605762,48.39769534,2.267090343,1.28139013
baseline,baseline,1.0,6480,48.07096037,1.759557576,47.66850559,48.42707766,2.25974828,1.277440417
baseline,baseline,1.0,6540,48.13657284,1.753668661,47.74743028,48.51585196,2.252386849,1.273571972
baseline,baseline,1.0,6600,48.20311635,1.747798462,47.82224191,48.56484662,2.245009221,1.26971855
baseline,baseline,1.0,6660,48.25863894,1.741947105,47.89386609,48.59014276,2.237618456,1.265811563
baseline,baseline,1.0,6720,48.31152456,1.736115197,47.96367089,48.63001565,2.230217061,1.261900021
baseline,baseline,1.0,6780,48.36807645,1.730302057,48.03119575,48.69049465,2.22280732,1.258023725
baseline,baseline,1.0,6840,48.42043936,1.724507656,48.09581923,48.7181046,2.215391677,1.254134601
baseline,baseline,1.0,6900,48.47575537,1.718732465,48.15801022,48.79157629,2.207972512,1.25028377
baseline,baseline,1.0,6960,48.53554278,1.712976085,48.21818769,48.85129379,2.200551941,1.246477235
baseline,baseline,1.0,7020,48.59095931,1.707237891,48.27683401,48.89747789,2.193131902,1.242646116
baseline,baseline,1.0,7080,48.64007845,1.701518102,48.33503852,48.92253743,2.185713962,1.238787946
baseline,baseline,1.0,7140,48.68718558,1.69581753,48.39287191,48.96400746,2.17829941,1.234935436
baseline,baseline,1.0,7200,48.73464359,1.690135001,48.44952091,49.00292371,2.170889612,1.231078276
baseline,baseline,1.0,7260,48.78088104,1.684470218,48.50432503,49.04349632,2.163486143,1.227226216
baseline,baseline,1.0,7320,48.81868973,1.678824074,48.55735624,49.04432989,2.156090595,1.223333271
baseline,baseline,1.0,7380,48.85379001,1.673197453,48.60871883,49.07516044,2.148704451,1.219446191
baseline,baseline,1.0,7440,48.88708142,1.667589956,48.65779944,49.08446984,2.141329194,1.215551772
baseline,baseline,1.0,7500,48.92144888,1.662001465,48.70393333,49.12686241,2.133966511,1.211680741
baseline,baseline,1.0,7560,48.95788716,1.65643187,48.74719609,49.15611402,2.126618094,1.207831452
baseline,baseline,1.0,7620,48.98844029,1.650880429,48.78804526,49.16838024,2.119285505,1.203945411
baseline,baseline,1.0,7680,49.01559815,1.645348061,48.82734035,49.18202148,2.111970001,1.200060852
baseline,baseline,1.0,7740,49.04843948,1.639834867,48.86500796,49.23199117,2.104672649,1.196219649
baseline,baseline,1.0,7800,49.07987705,1.634339441,48.90067635,49.24650361,2.097394574,1.192367706
baseline,baseline,1.0,7860,49.1155218,1.628862146,48.93494778,49.30994332,2.090136833,1.188556556
baseline,baseline,1.0,7920,49.15362061,1.623403133,48.96854253,49.34130538,2.082900169,1.184773921
baseline,baseline,1.0,7980,49.1824579,1.617962269,49.00206808,49.34890793,2.075685125,1.180939523
baseline,baseline,1.0,8040,49.21122606,1.612539728,49.03623547,49.37890733,2.068491938,1.177114564
baseline,baseline,1.0,8100,49.23416435,1.607136543,49.07018982,49.36993922,2.06132085,1.173281412
baseline,baseline,1.0,8160,49.26295735,1.601752174,49.10311307,49.43049053,2.054172384,1.169479627
baseline,baseline,1.0,8220,49.29503687,1.596385324,49.13444736,49.45125584,2.047047213,1.165706536
baseline,baseline,1.0,8280,49.32391969,1.591037087,49.16453183,49.48517775,2.039946068,1.161932462
baseline,baseline,1.0,8340,49.34558192,1.585707264,49.19451053,49.47027954,2.032869331,1.158118807
baseline,baseline,1.0,8400,49.36419089,1.580396189,49.22433861,49.48997433,2.0258172,1.154301689
baseline,baseline,1.0,8460,49.38753625,1.575103638,49.25314115,49.51404582,2.018789981,1.150518742
baseline,baseline,1.0,8520,49.41612126,1.56982871,49.28002585,49.56363228,2.011788292,1.146769981
baseline,baseline,1.0,8580,49.44332667,1.564571315,49.30559284,49.57846692,2.004812745,1.143022807
baseline,baseline,1.0,8640,49.46345237,1.559332666,49.33101408,49.58356947,1.997863639,1.139257356
baseline,baseline,1.0,8700,49.47917859,1.554112595,49.35678594,49.58004121,1.990940949,1.135466604
baseline,baseline,1.0,8760,49.49330461,1.548910776,49.38199622,49.58693991,1.984044731,1.131677961
baseline,baseline,1.0,8820,49.51077859,1.543726441,49.40560607,49.61008379,1.977175338,1.127900237
baseline,baseline,1.0,8880,49.52869279,1.538560125,49.42719671,49.62419852,1.970333338,1.124153471
baseline,baseline,1.0,8940,49.53899596,1.533412505,49.44731888,49.60742794,1.963519245,1.120367309
baseline,baseline,1.0,9000,49.55719367,1.528282905,49.46655356,49.66098332,1.956733347,1.116636211
baseline,baseline,1.0,9060,49.5862332,1.523171599,49.4845027,49.71011985,1.949975892,1.112991426
baseline,baseline,1.0,9120,49.60299386,1.518078551,49.50179313,49.68989904,1.943247156,1.109283535
baseline,baseline,1.0,9180,49.61598927,1.513002769,49.52033577,49.70590229,1.936546939,1.10554277
baseline,baseline,1.0,9240,49.62757943,1.507944626,49.53959447,49.69531753,1.929874795,1.101814388
baseline,baseline,1.0,9300,49.6414995,1.502905323,49.55806265,49.72670235,1.923230675,1.098117693
baseline,baseline,1.0,9360,49.65613562,1.49788348,49.57523035,49.72794691,1.916614787,1.094420468
baseline,baseline,1.0,9420,49.67060553,1.492879003,49.59127528,49.75336494,1.910027395,1.090734459
baseline,baseline,1.0,9480,49.68993288,1.487892258,49.60679249,49.78115277,1.903468591,1.087088133
baseline,baseline,1.0,9540,49.70929599,1.482922802,49.62201914,49.80390182,1.896938367,1.083448638
baseline,baseline,1.0,9600,49.71858325,1.477971456,49.63769234,49.77647354,1.89043656,1.0797751
baseline,baseline,1.0,9660,49.73148361,1.473038331,49.65403698,49.81501698,1.883962844,1.076125499
baseline,baseline,1.0,9720,49.74394812,1.468121672,49.66992938,49.80243045,1.877517016,1.072466477
baseline,baseline,1.0,9780,49.74466728,1.463223018,49.68487146,49.77661999,1.871099177,1.068771057
baseline,baseline,1.0,9840,49.75139504,1.458342922,49.69905855,49.80051393,1.864709371,1.0651159
baseline,baseline,1.0,9900,49.7615946,1.453479415,49.71126309,49.80822129,1.858347812,1.061473831
baseline,baseline,1.0,9960,49.7754006,1.448633313,49.72162511,49.8434524,1.852014903,1.057876911
baseline,baseline,1.0,10020,49.79350357,1.443804135,49.73136748,49.86979509,1.84571079,1.054299488
baseline,baseline,1.0,10080,49.80279378,1.438992393,49.7415373,49.85296766,1.839435312,1.050703616
baseline,baseline,1.0,10140,49.81504732,1.434198569,49.75298476,49.88707988,1.83318802,1.047125531
baseline,baseline,1.0,10200,49.82494393,1.429421454,49.76493127,49.8709373,1.826968457,1.043542135
baseline,baseline,1.0,10260,49.82951325,1.42466099,49.77682099,49.87260281,1.820776419,1.039926009
baseline,baseline,1.0,10320,49.83343461,1.419918117,49.78845366,49.86187512,1.814611737,1.036336843
baseline,baseline,1.0,10380,49.84409234,1.415192312,49.79893196,49.90194755,1.808474427,1.032774721
baseline,baseline,1.0,10440,49.85116917,1.410482769,49.80805388,49.87959344,1.802364648,1.029209197
baseline,baseline,1.0,10500,49.84662169,1.405790649,49.81663429,49.85140802,1.79628248,1.025589533
baseline,baseline,1.0,10560,49.84753438,1.401116473,49.82491253,49.86521257,1.790227781,1.022024075
baseline,baseline,1.0,10620,49.86151009,1.396459284,49.83138719,49.91627288,1.784200633,1.018525972
baseline,baseline,1.0,10680,49.87931205,1.391818939,49.83622287,49.94365319,1.778201339,1.01507582
baseline,baseline,1.0,10740,49.89201065,1.387195729,49.84168399,49.9498508,1.772229834,1.011601764
baseline,baseline,1.0,10800,49.90424342,1.382588174,49.84939976,49.96637598,1.766285491,1.008118327
h_0.8,h,0.8,0,28,2.55,28,28,2.55,2.55
h_0.8,h,0.8,60,28.00901004,2.538583932,28.00000009,28.04767969,2.55,2.327309049
h_0.8,h,0.8,120,28.03706907,2.527731556,28.00006238,28.14562983,2.55,2.242097497
h_0.8,h,0.8,180,28.08220275,2.517227608,28.00103393,28.26173332,2.55,2.179645201
h_0.8,h,0.8,240,28.13851523,2.506994763,28.00535739,28.37814875,2.55,2.128902917
h_0.8,h,0.8,300,28.21133451,2.496988107,28.0160715,28.53923381,2.55,2.08575058
h_0.8,h,0.8,360,28.30098184,2.487176594,28.03535002,28.70712494,2.55,2.048014806
h_0.8,h,0.8,420,28.40264097,2.477538024,28.06473307,28.88388904,2.55,2.014335291
h_0.8,h,0.8,480,28.51312179,2.468055256,28.10573648,29.05173239,2.55,1.983828109
h_0.8,h,0.8,540,28.6342694,2.458714741,28.15915841,29.24335613,2.55,1.955963072
h_0.8,h,0.8,600,28.76822357,2.449504761,28.22494828,29.44465906,2.55,1.93035277
h_0.8,h,0.8,660,28.91600352,2.440415,28.30265619,29.67145427,2.55,1.90668889
h_0.8,h,0.8,720,29.07514808,2.431436495,28.39216271,29.89344164,2.55,1.884683433
h_0.8,h,0.8,780,29.24345153,2.422562172,28.49362377,30.12576737,2.55,1.864114302
h_0.8,h,0.8,840,29.41949092,2.413785941,28.60719295,30.35155541,2.549999999,1.844810557
h_0.8,h,0.8,900,29.60074723,2.405102255,28.73256239,30.57716447,2.549999997,1.826597734
h_0.8,h,0.8,960,29.79145361,2.396505237,28.86910713,30.82413204,2.549999991,1.809427739
h_0.8,h,0.8,1020,29.9885822,2.387990035,29.01586415,31.05905219,2.549999975,1.793173915
h_0.8,h,0.8,1080,30.19546092,2.379553271,29.17209717,31.32762742,2.549999936,1.777825418
h_0.8,h,0.8,1140,30.41230282,2.371190305,29.33734675,31.59124278,2.549999847,1.763294456
h_0.8,h,0.8,1200,30.63485629,2.36289773,29.51131298,31.85853421,2.549999663,1.749477186
h_0.8,h,0.8,1260,30.86103145,2.354672169,29.69411908,32.11305733,2.549999304,1.736272838
h_0.8,h,0.8,1320,31.09463435,2.346510201,29.88554109,32.39551102,2.549998645,1.723703005
h_0.8,h,0.8,1380,31.33644057,2.338409574,30.08493848,32.67556694,2.549997496,1.711756938
h_0.8,h,0.8,1440,31.58104935,2.330367229,30.29171984,32.94835367,2.549995576,1.700290318
h_0.8,h,0.8,1500,31.82453236,2.322380551,30.5057834,33.200178,2.549992496,1.689234251
h_0.8,h,0.8,1560,32.07032616,2.314448001,30.72670349,33.47001361,2.549987723,1.67861205
h_0.8,h,0.8,1620,32.31834238,2.306567315,30.95341701,33.72777564,2.54998056,1.66839859
h_0.8,h,0.8,1680,32.56763691,2.298736746,31.1847698,33.99373238,2.549970108,1.658558112
h_0.8,h,0.8,1740,32.82484617,2.290954342,31.42005941,34.2853224,2.549955243,1.64916219
h_0.8,h,0.8,1800,33.08823936,2.283218123,31.65871954,34.57496335,2.549934587,1.640166443
h_0.8,h,0.8,1860,33.35530945,2.275526239,31.90085652,34.8675206,2.549906484,1.631513631
h_0.8,h,0.8,1920,33.61984698,2.267877501,32.14704289,35.12813725,2.549868977,1.623117967
h_0.8,h,0.8,1980,33.88147621,2.260270992,32.3975164,35.39252654,2.549819785,1.61495279
h_0.8,h,0.8,2040,34.14557575,2.252704734,32.65173476,35.66582972,2.549756297,1.607066306
h_0.8,h,0.8,2100,34.40879788,2.245177322,32.90849687,35.92612438,2.549675554,1.599410905
h_0.8,h,0.8,2160,34.67005945,2.237688124,33.16705569,36.18469861,2.54957426,1.591967885
h_0.8,h,0.8,2220,34.9343139,2.230236338,33.42696681,36.46082554,2.549448771,1.584790266
h_0.8,h,0.8,2280,35.19884785,2.222820533,33.68767943,36.72250072,2.549295118,1.577824963
h_0.8,h,0.8,2340,35.46492856,2.21543876,33.94902438,37.00109024,2.549109011,1.571061244
h_0.8,h,0.8,2400,35.73153921,2.208090071,34.21110819,37.26475287,2.54888586,1.564501716
h_0.8,h,0.8,2460,35.99875831,2.200774307,34.47396906,37.54135828,2.548620794,1.558136799
h_0.8,h,0.8,2520,36.26646828,2.193490328,34.73770469,37.80668865,2.548308688,1.551953813
h_0.8,h,0.8,2580,36.52806011,2.186237706,35.00224828,38.04842946,2.547944187,1.545874547
h_0.8,h,0.8,2640,36.79003447,2.179015704,35.26753951,38.31549499,2.547521742,1.539956347
h_0.8,h,0.8,2700,37.05410324,2.171822742,35.53294064,38.57748647,2.547035645,1.534208378
h_0.8,h,0.8,2760,37.31191275,2.164658658,35.79786408,38.81223457,2.546480082,1.528547593
h_0.8,h,0.8,2820,37.56369038,2.157523537,36.06239716,39.04285612,2.545849161,1.52296607
h_0.8,h,0.8,2880,37.81664455,2.150416111,36.32617624,39.29470412,2.545136953,1.517524247
h_0.8,h,0.8,2940,38.06545923,2.143336259,36.5882989,39.51621525,2.544337549,1.512186144
h_0.8,h,0.8,3000,38.30825784,2.136283293,36.84841304,39.73940886,2.543445118,1.506892948
h_0.8,h,0.8,3060,38.54778964,2.129257013,37.10644019,39.955802,2.542453924,1.501705994
h_0.8,h,0.8,3120,38.790901,2.122256731,37.36183612,40.20931098,2.541358387,1.496656252
h_0.8,h,0.8,3180,39.03625947,2.115281535,37.61425468,40.44799623,2.540153125,1.491758932
h_0.8,h,0.8,3240,39.27750658,2.108331759,37.86411674,40.67722579,2.538832978,1.486928841
h_0.8,h,0.8,3300,39.51661951,2.101406391,38.1124263,40.9051497,2.537392979,1.482179081
h_0.8,h,0.8,3360,39.74999964,2.094504847,38.35947543,41.11163735,2.535828369,1.47746608
h_0.8,h,0.8,3420,39.97871961,2.087626853,38.60508827,41.32191697,2.534134657,1.472801234
h_0.8,h,0.8,3480,40.20129806,2.080772139,38.84876434,41.51020128,2.532307662,1.468166121
h_0.8,h,0.8,3540,40.41725959,2.073940798,39.08980584,41.69818262,2.530343573,1.463558843
h_0.8,h,0.8,3600,40.63581029,2.067131949,39.32756724,41.91612678,2.52823898,1.459049467
h_0.8,h,0.8,3660,40.85373938,2.060345338,39.56138303,42.11654508,2.525990912,1.454629646
h_0.8,h,0.8,3720,41.06728263,2.053581316,39.79148239,42.31385815,2.523596823,1.450249472
h_0.8,h,0.8,3780,41.28018485,2.046839514,40.01864233,42.5172753,2.521054498,1.445946534
h_0.8,h,0.8,3840,41.48980987,2.040119196,40.24311194,42.70693951,2.518362052,1.441677916
h_0.8,h,0.8,3900,41.69388472,2.03341982,40.4650586,42.88730355,2.515517954,1.437426585
h_0.8,h,0.8,3960,41.89394873,2.026741897,40.68455959,43.06597232,2.512521026,1.433214419
h_0.8,h,0.8,4020,42.08815531,2.020084935,40.90128578,43.22930888,2.509370466,1.429006742
h_0.8,h,0.8,4080,42.2742774,2.013448568,41.11482654,43.37877378,2.506065893,1.42478716
h_0.8,h,0.8,4140,42.45935175,2.006833468,41.32472936,43.55241288,2.502607347,1.420629147
h_0.8,h,0.8,4200,42.64258929,2.000239311,41.53033102,43.71171002,2.49899532,1.416514261
h_0.8,h,0.8,4260,42.82246759,1.993665431,41.73147879,43.87633838,2.495230747,1.412421656
h_0.8,h,0.8,4320,43.0052298,1.987111756,41.92862726,44.06022919,2.491314881,1.4084146
h_0.8,h,0.8,4380,43.18167417,1.980578168,42.12212585,44.20165072,2.487249234,1.40440782
h_0.8,h,0.8,4440,43.34738093,1.974064652,42.31268569,44.33140424,2.483035529,1.400356552
h_0.8,h,0.8,4500,43.51117013,1.967571272,42.50054919,44.47821345,2.478675646,1.396339279
h_0.8,h,0.8,4560,43.6740874,1.961098152,42.6847862,44.62404354,2.474171796,1.392369427
h_0.8,h,0.8,4620,43.83758376,1.954644565,42.86485454,44.78387965,2.469526608,1.388441058
h_0.8,h,0.8,4680,43.99965756,1.948210675,43.0410695,44.9302218,2.464742964,1.384560596
h_0.8,h,0.8,4740,44.15940643,1.941796701,43.21412163,45.08085118,2.459823849,1.38070203
h_0.8,h,0.8,4800,44.3163234,1.935401297,43.38466147,45.21915212,2.454772275,1.376848831
h_0.8,h,0.8,4860,44.46594882,1.929024398,43.55292982,45.33877803,2.449591311,1.372973269
h_0.8,h,0.8,4920,44.61442679,1.922666716,43.71892808,45.48002612,2.444284125,1.369133162
h_0.8,h,0.8,4980,44.7565898,1.916328563,43.88214578,45.5831981,2.438854063,1.365287381
h_0.8,h,0.8,5040,44.88847441,1.910009721,44.04223916,45.67913421,2.433304703,1.36138642
h_0.8,h,0.8,5100,45.01760722,1.903710075,44.19892373,45.78584942,2.427639771,1.35749926
h_0.8,h,0.8,5160,45.15152808,1.89742933,44.35123144,45.92653838,2.421863257,1.353678347
h_0.8,h,0.8,5220,45.28514708,1.891167105,44.49876691,46.04379757,2.415979443,1.349892053
h_0.8,h,0.8,5280,45.40980292,1.884923344,44.64243601,46.13728362,2.409992622,1.346059377
h_0.8,h,0.8,5340,45.53271316,1.878698558,44.78339274,46.2511265,2.403906819,1.342253716
h_0.8,h,0.8,5400,45.65230258,1.872492338,44.92151787,46.34411585,2.397725948,1.338440642
h_0.8,h,0.8,5460,45.77169428,1.866304807,45.05647621,46.46399117,2.391454035,1.334664682
