time_s,0.0_cm,0.1_cm,0.2_cm,0.3_cm,0.4_cm,0.5_cm,0.6_cm,0.7_cm,0.8_cm,0.9_cm,1.0_cm,1.1_cm,1.2_cm,1.3_cm,1.4_cm,1.5_cm,1.6_cm,1.7_cm,1.8_cm,1.9_cm,2.0_cm
11,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000002,28.000010,28.000049,28.000208,28.000766,28.002426,28.006642
12,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000003,28.000016,28.000071,28.000281,28.000967,28.002889,28.007553
13,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000005,28.000024,28.000100,28.000368,28.001192,28.003386,28.008502
14,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000002,28.000008,28.000034,28.000135,28.000470,28.001441,28.003917,28.009485
15,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000002,28.000012,28.000048,28.000178,28.000586,28.001715,28.004480,28.010502
16,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000004,28.000017,28.000066,28.000230,28.000718,28.002014,28.005074,28.011551
17,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000006,28.000024,28.000087,28.000289,28.000866,28.002336,28.005698,28.012632
18,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000002,28.000008,28.000032,28.000113,28.000358,28.001030,28.002682,28.006351,28.013743
19,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000003,28.000012,28.000043,28.000143,28.000437,28.001209,28.003051,28.007033,28.014883
20,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000004,28.000016,28.000056,28.000179,28.000525,28.001405,28.003443,28.007743,28.016051
21,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000006,28.000021,28.000071,28.000220,28.000623,28.001618,28.003859,28.008480,28.017247
22,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000002,28.000008,28.000028,28.000090,28.000267,28.000732,28.001847,28.004296,28.009244,28.018470
23,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000003,28.000010,28.000036,28.000111,28.000320,28.000852,28.002093,28.004756,28.010033,28.019718
24,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000004,28.000014,28.000045,28.000136,28.000380,28.000983,28.002355,28.005238,28.010848,28.020993
25,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000005,28.000018,28.000056,28.000164,28.000447,28.001125,28.002634,28.005742,28.011687,28.022292
26,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000002,28.000007,28.000023,28.000069,28.000197,28.000520,28.001279,28.002929,28.006267,28.012551,28.023615
27,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000003,28.000009,28.000028,28.000084,28.000233,28.000601,28.001444,28.003242,28.006813,28.013439,28.024962
28,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000003,28.000011,28.000035,28.000102,28.000274,28.000689,28.001621,28.003570,28.007380,28.014350,28.026332
29,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000005,28.000014,28.000043,28.000122,28.000319,28.000785,28.001810,28.003916,28.007967,28.015284,28.027725
30,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000002,28.000006,28.000018,28.000053,28.000144,28.000369,28.000889,28.002011,28.004277,28.008575,28.016240,28.029140
31,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000002,28.000007,28.000022,28.000063,28.000169,28.000425,28.001001,28.002224,28.004655,28.009203,28.017219,28.030577
32,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000003,28.000009,28.000027,28.000076,28.000197,28.000485,28.001122,28.002449,28.005050,28.009851,28.018219,28.032036
33,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000004,28.000012,28.000033,28.000090,28.000228,28.000550,28.001251,28.002687,28.005461,28.010518,28.019241,28.033515
34,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000002,28.000005,28.000014,28.000040,28.000105,28.000263,28.000621,28.001389,28.002937,28.005888,28.011204,28.020284,28.035015
35,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000002,28.000006,28.000017,28.000047,28.000123,28.000301,28.000698,28.001535,28.003200,28.006331,28.011910,28.021347,28.036536
36,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000002,28.000007,28.000021,28.000056,28.000142,28.000342,28.000781,28.001690,28.003474,28.006790,28.012635,28.022431,28.038076
37,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000003,28.000009,28.000025,28.000066,28.000164,28.000387,28.000869,28.001854,28.003762,28.007265,28.013378,28.023535,28.039636
38,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000004,28.000011,28.000030,28.000077,28.000188,28.000436,28.000964,28.002028,28.004062,28.007756,28.014140,28.024658,28.041215
39,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000002,28.000005,28.000013,28.000035,28.000089,28.000214,28.000489,28.001065,28.002211,28.004374,28.008263,28.014920,28.025801,28.042814
40,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000002,28.000006,28.000016,28.000041,28.000102,28.000242,28.000546,28.001173,28.002403,28.004699,28.008785,28.015718,28.026963,28.044431
41,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000003,28.000007,28.000019,28.000048,28.000118,28.000274,28.000607,28.001287,28.002604,28.005037,28.009323,28.016534,28.028144,28.046066
42,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000003,28.000009,28.000022,28.000056,28.000134,28.000307,28.000673,28.001408,28.002815,28.005387,28.009876,28.017368,28.029344,28.047720
43,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000004,28.000010,28.000026,28.000065,28.000152,28.000344,28.000743,28.001535,28.003036,28.005750,28.010445,28.018219,28.030562,28.049391
44,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000002,28.000005,28.000012,28.000031,28.000074,28.000172,28.000384,28.000818,28.001670,28.003266,28.006126,28.011029,28.019088,28.031799,28.051081
45,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000002,28.000006,28.000014,28.000035,28.000085,28.000194,28.000426,28.000898,28.001811,28.003506,28.006514,28.011629,28.019973,28.033053,28.052787
46,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000002,28.000007,28.000017,28.000041,28.000096,28.000218,28.000472,28.000982,28.001960,28.003756,28.006914,28.012243,28.020876,28.034325,28.054511
47,28.000000,28.000000,28.000000,28.000000,28.000000,28.000001,28.000003,28.000008,28.000020,28.000047,28.000109,28.000244,28.000521,28.001072,28.002116,28.004015,28.007328,28.012873,28.021795,28.035615,28.056252
48,28.000000,28.000000,28.000000,28.000000,28.000001,28.000001,28.000004,28.000009,28.000023,28.000054,28.000123,28.000271,28.000574,28.001166,28.002279,28.004285,28.007753,28.013517,28.022731,28.036922,28.058009
49,28.000000,28.000000,28.000000,28.000000,28.000001,28.000002,28.000004,28.000011,28.000026,28.000061,28.000139,28.000301,28.000630,28.001266,28.002450,28.004564,28.008192,28.014176,28.023684,28.038246,28.059783
50,28.000000,28.000000,28.000000,28.000000,28.000001,28.000002,28.000005,28.000013,28.000030,28.000070,28.000155,28.000333,28.000689,28.001371,28.002628,28.004854,28.008642,28.014850,28.024653,28.039586,28.061574
51,28.000000,28.000000,28.000000,28.000000,28.000001,28.000002,28.000006,28.000015,28.000035,28.000079,28.000173,28.000368,28.000752,28.001482,28.002814,28.005153,28.009105,28.015539,28.025638,28.040944,28.063380
52,28.000000,28.000000,28.000000,28.000000,28.000001,28.000003,28.000007,28.000017,28.000039,28.000089,28.000193,28.000405,28.000819,28.001598,28.003007,28.005462,28.009581,28.016242,28.026638,28.042318,28.065203
53,28.000000,28.000000,28.000000,28.000001,28.000001,28.000003,28.000008,28.000019,28.000045,28.000100,28.000214,28.000444,28.000889,28.001719,28.003208,28.005782,28.010069,28.016960,28.027655,28.043708,28.067041
54,28.000000,28.000000,28.000000,28.000001,28.000002,28.000004,28.000010,28.000022,28.000051,28.000111,28.000237,28.000486,28.000964,28.001846,28.003417,28.006111,28.010570,28.017692,28.028688,28.045115,28.068895
55,28.000000,28.000000,28.000000,28.000001,28.000002,28.000005,28.000011,28.000026,28.000057,28.000124,28.000261,28.000531,28.001042,28.001979,28.003634,28.006451,28.011082,28.018438,28.029736,28.046538,28.070765
56,28.000000,28.000000,28.000000,28.000001,28.000002,28.000005,28.000013,28.000029,28.000064,28.000138,28.000287,28.000578,28.001125,28.002118,28.003858,28.006801,28.011607,28.019198,28.030799,28.047976,28.072649
57,28.000000,28.000000,28.000001,28.000001,28.000003,28.000006,28.000015,28.000033,28.000072,28.000153,28.000315,28.000628,28.001212,28.002263,28.004091,28.007161,28.012145,28.019973,28.031878,28.049430,28.074549
58,28.000000,28.000000,28.000001,28.000001,28.000003,28.000007,28.000017,28.000037,28.000081,28.000169,28.000345,28.000681,28.001303,28.002414,28.004331,28.007531,28.012695,28.020761,28.032972,28.050900,28.076463
59,28.000000,28.000000,28.000001,28.000002,28.000004,28.000008,28.000019,28.000042,28.000090,28.000187,28.000377,28.000737,28.001398,28.002571,28.004580,28.007911,28.013256,28.021564,28.034081,28.052384,28.078393
60,28.000000,28.000000,28.000001,28.000002,28.000004,28.000010,28.000022,28.000047,28.000100,28.000205,28.000410,28.000796,28.001498,28.002734,28.004837,28.008302,28.013831,28.022380,28.035205,28.053884,28.080336
61,28.000000,28.000001,28.000001,28.000002,28.000005,28.000011,28.000025,28.000053,28.000110,28.000225,28.000446,28.000859,28.001603,28.002903,28.005101,28.008702,28.014417,28.023210,28.036343,28.055402,28.082344
62,28.000001,28.000001,28.000001,28.000003,28.000006,28.000013,28.000028,28.000059,28.000122,28.000246,28.000484,28.000924,28.001712,28.003078,28.005374,28.009113,28.015015,28.024054,28.037497,28.056942,28.084405
63,28.000001,28.000001,28.000001,28.000003,28.000007,28.000014,28.000031,28.000065,28.000134,28.000269,28.000524,28.000993,28.001825,28.003260,28.005656,28.009534,28.015625,28.024911,28.038668,28.058508,28.086504
64,28.000001,28.000001,28.000002,28.000004,28.000008,28.000016,28.000035,28.000073,28.000148,28.000293,28.000567,28.001065,28.001944,28.003448,28.005945,28.009965,28.016248,28.025783,28.039855,28.060102,28.088638
65,28.000001,28.000001,28.000002,28.000004,28.000009,28.000019,28.000039,28.000080,28.000162,28.000319,28.000612,28.001140,28.002067,28.003643,28.006243,28.010407,28.016882,28.026668,28.041062,28.061722,28.090802
66,28.000001,28.000001,28.000002,28.000005,28.000010,28.000021,28.000043,28.000089,28.000178,28.000347,28.000659,28.001219,28.002195,28.003844,28.006549,28.010859,28.017529,28.027569,28.042288,28.063369,28.092996
67,28.000001,28.000002,28.000003,28.000005,28.000011,28.000023,28.000048,28.000098,28.000194,28.000375,28.000708,28.001302,28.002328,28.004051,28.006864,28.011321,28.018188,28.028484,28.043533,28.065041,28.095217
68,28.000002,28.000002,28.000003,28.000006,28.000013,28.000026,28.000054,28.000108,28.000212,28.000406,28.000761,28.001388,28.002466,28.004266,28.007186,28.011793,28.018859,28.029415,28.044798,28.066738,28.097465
69,28.000002,28.000002,28.000004,28.000007,28.000014,28.000029,28.000059,28.000118,28.000230,28.000439,28.000815,28.001477,28.002609,28.004487,28.007518,28.012276,28.019544,28.030361,28.046083,28.068459,28.099737
70,28.000002,28.000003,28.000004,28.000008,28.000016,28.000033,28.000065,28.000129,28.000250,28.000473,28.000873,28.001571,28.002757,28.004714,28.007858,28.012769,28.020240,28.031324,28.047389,28.070204,28.102034
71,28.000002,28.000003,28.000005,28.000009,28.000018,28.000036,28.000072,28.000141,28.000271,28.000509,28.000933,28.001668,28.002910,28.004949,28.008206,28.013272,28.020950,28.032302,28.048714,28.071973,28.104354
72,28.000003,28.000003,28.000005,28.000010,28.000020,28.000040,28.000079,28.000154,28.000293,28.000547,28.000996,28.001770,28.003068,28.005190,28.008563,28.013787,28.021673,28.033297,28.050059,28.073764,28.106698
73,28.000003,28.000004,28.000006,28.000012,28.000023,28.000044,28.000087,28.000168,28.000317,28.000587,28.001061,28.001875,28.003232,28.005438,28.008929,28.014312,28.022409,28.034308,28.051424,28.075577,28.109064
74,28.000004,28.000004,28.000007,28.000013,28.000025,28.000049,28.000095,28.000182,28.000342,28.000629,28.001130,28.001984,28.003401,28.005693,28.009303,28.014847,28.023158,28.035335,28.052809,28.077412,28.111451
75,28.000004,28.000005,28.000008,28.000015,28.000028,28.000054,28.000104,28.000198,28.000368,28.000672,28.001201,28.002097,28.003576,28.005955,28.009686,28.015394,28.023921,28.036380,28.054213,28.079269,28.113860
76,28.000005,28.000006,28.000009,28.000016,28.000031,28.000059,28.000114,28.000214,28.000396,28.000719,28.001276,28.002214,28.003756,28.006224,28.010078,28.015952,28.024698,28.037440,28.055637,28.081147,28.116290
77,28.000005,28.000006,28.000010,28.000018,28.000034,28.000065,28.000124,28.000231,28.000425,28.000767,28.001353,28.002336,28.003941,28.006500,28.010479,28.016521,28.025488,28.038517,28.057080,28.083046,28.118741
78,28.000006,28.000007,28.000011,28.000020,28.000038,28.000071,28.000134,28.000250,28.000456,28.000817,28.001434,28.002461,28.004132,28.006784,28.010889,28.017101,28.026292,28.039611,28.058542,28.084966,28.121211
79,28.000007,28.000008,28.000013,28.000023,28.000042,28.000078,28.000146,28.000269,28.000488,28.000870,28.001518,28.002591,28.004329,28.007074,28.011309,28.017693,28.027110,28.040721,28.060022,28.086906,28.123702
80,28.000008,28.000009,28.000014,28.000025,28.000046,28.000085,28.000158,28.000290,28.000522,28.000925,28.001605,28.002726,28.004532,28.007372,28.011737,28.018295,28.027942,28.041848,28.061522,28.088865,28.126212
81,28.000009,28.000010,28.000016,28.000028,28.000050,28.000093,28.000171,28.000311,28.000558,28.000982,28.001695,28.002865,28.004740,28.007677,28.012175,28.018910,28.028787,28.042991,28.063040,28.090845,28.128741
82,28.000010,28.000012,28.000018,28.000030,28.000055,28.000101,28.000185,28.000334,28.000595,28.001042,28.001788,28.003008,28.004954,28.007990,28.012622,28.019536,28.029647,28.044151,28.064577,28.092844,28.131289
83,28.000011,28.000013,28.000020,28.000034,28.000060,28.000110,28.000199,28.000358,28.000634,28.001104,28.001885,28.003155,28.005174,28.008310,28.013078,28.020173,28.030521,28.045327,28.066132,28.094862,28.133856
84,28.000013,28.000015,28.000022,28.000037,28.000066,28.000119,28.000214,28.000383,28.000675,28.001169,28.001986,28.003308,28.005400,28.008638,28.013544,28.020822,28.031408,28.046519,28.067705,28.096898,28.136441
85,28.000014,28.000016,28.000024,28.000040,28.000072,28.000129,28.000231,28.000410,28.000718,28.001236,28.002090,28.003465,28.005632,28.008974,28.014020,28.021483,28.032310,28.047727,28.069296,28.098954,28.139045
86,28.000016,28.000018,28.000027,28.000044,28.000078,28.000139,28.000248,28.000438,28.000762,28.001306,28.002197,28.003626,28.005870,28.009317,28.014505,28.022156,28.033226,28.048952,28.070905,28.101028,28.141666
87,28.000017,28.000020,28.000029,28.000048,28.000085,28.000150,28.000266,28.000467,28.000809,28.001378,28.002308,28.003793,28.006114,28.009668,28.015000,28.022840,28.034155,28.050193,28.072531,28.103121,28.144305
88,28.000019,28.000022,28.000032,28.000053,28.000092,28.000162,28.000285,28.000497,28.000857,28.001454,28.002423,28.003964,28.006365,28.010027,28.015504,28.023537,28.035099,28.051450,28.074175,28.105231,28.146961
89,28.000021,28.000024,28.000035,28.000058,28.000099,28.000174,28.000305,28.000529,28.000907,28.001532,28.002541,28.004140,28.006621,28.010394,28.016019,28.024245,28.036057,28.052723,28.075837,28.107359,28.149635
90,28.000023,28.000027,28.000039,28.000063,28.000107,28.000187,28.000326,28.000563,28.000960,28.001612,28.002663,28.004321,28.006884,28.010769,28.016543,28.024965,28.037029,28.054011,28.077515,28.109506,28.152326
91,28.000026,28.000030,28.000042,28.000068,28.000116,28.000201,28.000348,28.000598,28.001014,28.001696,28.002789,28.004507,28.007154,28.011152,28.017077,28.025697,28.038015,28.055316,28.079211,28.111669,28.155033
92,28.000029,28.000033,28.000046,28.000074,28.000125,28.000215,28.000371,28.000634,28.001071,28.001783,28.002919,28.004698,28.007430,28.011543,28.017621,28.026441,28.039015,28.056636,28.080924,28.113850,28.157757
93,28.000031,28.000036,28.000050,28.000080,28.000135,28.000231,28.000395,28.000672,28.001130,28.001872,28.003053,28.004894,28.007712,28.011942,28.018176,28.027197,28.040028,28.057972,28.082653,28.116048,28.160498
94,28.000034,28.000039,28.000055,28.000087,28.000145,28.000247,28.000420,28.000712,28.001191,28.001965,28.003190,28.005096,28.008001,28.012350,28.018740,28.027965,28.041056,28.059324,28.084399,28.118263,28.163255
95,28.000038,28.000043,28.000060,28.000094,28.000156,28.000264,28.000447,28.000753,28.001254,28.002060,28.003332,28.005302,28.008297,28.012765,28.019314,28.028745,28.042098,28.060691,28.086162,28.120495,28.166029
96,28.000041,28.000047,28.000065,28.000101,28.000167,28.000281,28.000475,28.000796,28.001320,28.002159,28.003478,28.005514,28.008599,28.013189,28.019899,28.029537,28.043153,28.062073,28.087941,28.122744,28.168818
97,28.000045,28.000051,28.000070,28.000109,28.000179,28.000300,28.000504,28.000841,28.001388,28.002261,28.003628,28.005731,28.008908,28.013622,28.020493,28.030342,28.044223,28.063471,28.089737,28.125009,28.171623
98,28.000049,28.000055,28.000076,28.000118,28.000192,28.000320,28.000534,28.000887,28.001458,28.002366,28.003782,28.005954,28.009224,28.014063,28.021098,28.031158,28.045306,28.064884,28.091549,28.127290,28.174444
99,28.000053,28.000060,28.000082,28.000126,28.000205,28.000340,28.000566,28.000935,28.001531,28.002474,28.003941,28.006182,28.009547,28.014512,28.021714,28.031986,28.046403,28.066313,28.093376,28.129588,28.177281
100,28.000058,28.000065,28.000089,28.000136,28.000219,28.000362,28.000599,28.000985,28.001606,28.002585,28.004103,28.006416,28.009877,28.014970,28.022339,28.032827,28.047513,28.067756,28.095220,28.131902,28.180133
101,28.000063,28.000071,28.000096,28.000146,28.000234,28.000384,28.000633,28.001037,28.001684,28.002700,28.004270,28.006655,28.010214,28.015437,28.022975,28.033679,28.048638,28.069214,28.097080,28.134231,28.183000
102,28.000068,28.000076,28.000103,28.000156,28.000250,28.000408,28.000669,28.001091,28.001764,28.002819,28.004442,28.006900,28.010558,28.015912,28.023621,28.034544,28.049776,28.070688,28.098955,28.136577,28.185882
103,28.000074,28.000082,28.000111,28.000167,28.000266,28.000432,28.000706,28.001147,28.001847,28.002940,28.004618,28.007150,28.010908,28.016395,28.024278,28.035420,28.050928,28.072176,28.100846,28.138938,28.188779
104,28.000080,28.000089,28.000119,28.000179,28.000283,28.000458,28.000744,28.001205,28.001933,28.003065,28.004798,28.007406,28.011266,28.016888,28.024944,28.036309,28.052093,28.073679,28.102752,28.141315,28.191692
105,28.000086,28.000096,28.000128,28.000191,28.000301,28.000485,28.000784,28.001265,28.002021,28.003194,28.004983,28.007668,28.011632,28.017389,28.025622,28.037210,28.053272,28.075197,28.104674,28.143707,28.194619
106,28.000093,28.000103,28.000137,28.000204,28.000320,28.000513,28.000826,28.001326,28.002112,28.003327,28.005173,28.007936,28.012004,28.017899,28.026309,28.038123,28.054464,28.076730,28.106611,28.146115,28.197560
107,28.000100,28.000111,28.000147,28.000218,28.000339,28.000542,28.000869,28.001390,28.002206,28.003463,28.005367,28.008210,28.012384,28.018418,28.027007,28.039048,28.055670,28.078277,28.108563,28.148537,28.200516
108,28.000108,28.000119,28.000158,28.000232,28.000360,28.000572,28.000914,28.001457,28.002303,28.003602,28.005566,28.008489,28.012771,28.018946,28.027716,28.039984,28.056890,28.079838,28.110531,28.150975,28.203487
109,28.000116,28.000128,28.000168,28.000247,28.000381,28.000603,28.000961,28.001525,28.002402,28.003746,28.005770,28.008775,28.013165,28.019482,28.028435,28.040933,28.058122,28.081414,28.112513,28.153428,28.206472
110,28.000124,28.000137,28.000180,28.000262,28.000404,28.000636,28.001009,28.001596,28.002505,28.003893,28.005979,28.009066,28.013567,28.020028,28.029165,28.041894,28.059368,28.083005,28.114511,28.155896,28.209471
111,28.000133,28.000147,28.000192,28.000279,28.000427,28.000670,28.001059,28.001668,28.002610,28.004044,28.006192,28.009364,28.013976,28.020582,28.029905,28.042867,28.060628,28.084609,28.116523,28.158378,28.212484
112,28.000143,28.000157,28.000205,28.000296,28.000452,28.000706,28.001110,28.001744,28.002719,28.004199,28.006411,28.009668,28.014393,28.021146,28.030655,28.043852,28.061900,28.086228,28.118549,28.160875,28.215511
113,28.000153,28.000168,28.000218,28.000314,28.000477,28.000742,28.001164,28.001821,28.002830,28.004358,28.006634,28.009978,28.014817,28.021718,28.031416,28.044849,28.063186,28.087861,28.120591,28.163386,28.218552
114,28.000163,28.000180,28.000232,28.000333,28.000503,28.000780,28.001219,28.001901,28.002945,28.004520,28.006863,28.010294,28.015249,28.022299,28.032188,28.045857,28.064485,28.089508,28.122647,28.165912,28.221606
115,28.000174,28.000191,28.000247,28.000352,28.000531,28.000820,28.001276,28.001983,28.003063,28.004687,28.007096,28.010617,28.015688,28.022890,28.032970,28.046878,28.065797,28.091170,28.124717,28.168453,28.224675
116,28.000186,28.000204,28.000262,28.000373,28.000560,28.000861,28.001335,28.002068,28.003184,28.004858,28.007334,28.010945,28.016135,28.023490,28.033763,28.047911,28.067122,28.092845,28.126802,28.171007,28.227757
117,28.000198,28.000217,28.000278,28.000394,28.000589,28.000903,28.001396,28.002155,28.003308,28.005033,28.007578,28.011280,28.016590,28.024098,28.034566,28.048955,28.068461,28.094533,28.128901,28.173576,28.230852
118,28.000211,28.000231,28.000295,28.000416,28.000620,28.000947,28.001459,28.002245,28.003435,28.005212,28.007827,28.011622,28.017053,28.024716,28.035379,28.050012,28.069812,28.096236,28.131014,28.176159,28.233961
119,28.000225,28.000246,28.000313,28.000440,28.000652,28.000993,28.001524,28.002338,28.003566,28.005395,28.008081,28.011970,28.017523,28.025343,28.036204,28.051080,28.071176,28.097953,28.133141,28.178755,28.237083
120,28.000239,28.000261,28.000331,28.000464,28.000686,28.001040,28.001591,28.002433,28.003700,28.005583,28.008341,28.012324,28.018001,28.025979,28.037038,28.052160,28.072553,28.099683,28.135283,28.181366,28.240218
121,28.000254,28.000277,28.000350,28.000489,28.000720,28.001089,28.001660,28.002530,28.003838,28.005775,28.008605,28.012685,28.018487,28.026624,28.037884,28.053252,28.073943,28.101426,28.137438,28.183988,28.243304
122,28.000270,28.000294,28.000370,28.000515,28.000756,28.001139,28.001731,28.002631,28.003979,28.005971,28.008875,28.013053,28.018980,28.027279,28.038739,28.054355,28.075346,28.103184,28.139606,28.186613,28.246354
123,28.000286,28.000311,28.000391,28.000542,28.000794,28.001191,28.001804,28.002734,28.004123,28.006172,28.009151,28.013427,28.019482,28.027942,28.039606,28.055470,28.076762,28.104954,28.141786,28.189236,28.249386
124,28.000303,28.000329,28.000413,28.000571,28.000832,28.001245,28.001880,28.002840,28.004271,28.006377,28.009432,28.013807,28.019991,28.028615,28.040483,28.056598,28.078190,28.106737,28.143975,28.191858,28.252405
125,28.000321,28.000349,28.000436,28.000600,28.000872,28.001300,28.001957,28.002949,28.004423,28.006586,28.009718,28.014195,28.020509,28.029297,28.041370,28.057736,28.079631,28.108533,28.146173,28.194478,28.255415
126,28.000340,28.000368,28.000460,28.000631,28.000913,28.001357,28.002037,28.003060,28.004578,28.006800,28.010010,28.014589,28.021034,28.029989,28.042268,28.058887,28.081084,28.110340,28.148377,28.197096,28.258419
127,28.000359,28.000389,28.000484,28.000663,28.000956,28.001416,28.002120,28.003175,28.004737,28.007019,28.010308,28.014990,28.021567,28.030689,28.043176,28.060049,28.082549,28.112158,28.150588,28.199713,28.261418
