time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface_temperature_K
1500,1.894167,303.0799,303.0906,303.1229,303.1768,303.2528,303.3512,303.4728,303.6183,303.7884,303.9840,304.2063,304.4561,304.7347,305.0430,305.3819,305.7522,306.1551,306.5925,307.0698,,,307.5694
1560,1.889933,303.2862,303.2974,303.3310,303.3873,303.4665,303.5691,303.6956,303.8467,304.0231,304.2256,304.4551,304.7122,304.9979,305.3128,305.6577,306.0334,306.4414,306.8853,307.3730,,,307.8650
1620,1.885700,303.5011,303.5128,303.5477,303.6061,303.6883,303.7946,303.9255,304.0817,304.2636,304.4720,304.7075,304.9710,305.2631,305.5845,305.9360,306.3182,306.7326,307.1817,307.6718,,,308.1372
1680,1.881467,303.7239,303.7359,303.7720,303.8323,303.9172,304.0268,304.1617,304.3222,304.5091,304.7227,304.9638,305.2329,305.5305,305.8572,306.2136,306.6004,307.0192,307.4734,307.9712,,,308.4224
1740,1.877233,303.9536,303.9660,304.0031,304.0652,304.1524,304.2650,304.4033,304.5678,304.7589,304.9772,305.2231,305.4971,305.7999,306.1321,306.4946,306.8887,307.3168,307.7838,308.2996,,,308.7457
1800,1.873000,304.1896,304.2023,304.2403,304.3039,304.3932,304.5084,304.6498,304.8179,305.0130,305.2357,305.4865,305.7661,306.0751,306.4145,306.7853,307.1890,307.6279,308.1062,308.6332,,,309.0606
1860,1.870367,304.4309,304.4439,304.4827,304.5476,304.6386,304.7561,304.9003,305.0717,305.2706,305.4975,305.7532,306.0382,306.3533,306.6993,307.0771,307.4882,307.9350,308.4220,308.9589,,,309.3785
1920,1.867733,304.6770,304.6902,304.7298,304.7960,304.8888,305.0086,305.1556,305.3303,305.5330,305.7644,306.0249,306.3152,306.6360,306.9878,307.3713,307.7872,308.2368,308.7225,309.2513,,,309.6429
1980,1.865100,304.9280,304.9414,304.9818,305.0492,305.1438,305.2659,305.4157,305.5936,305.8000,306.0353,306.2999,306.5943,306.9186,307.2732,307.6583,308.0743,308.5228,309.0075,309.5371,,,309.9160
2040,1.862467,305.1837,305.1974,305.2385,305.3071,305.4034,305.5276,305.6798,305.8605,306.0698,306.3080,306.5756,306.8726,307.1993,307.5559,307.9429,308.3609,308.8119,309.3001,309.8348,,,310.2021
2100,1.859833,305.4437,305.4577,305.4994,305.5691,305.6667,305.7926,305.9469,306.1297,306.3413,306.5820,306.8519,307.1512,307.4802,307.8391,308.2281,308.6479,309.0998,309.5874,310.1188,,,310.4658
2160,1.857200,305.7075,305.7216,305.7638,305.8344,305.9332,306.0604,306.2163,306.4009,306.6145,306.8571,307.1289,307.4300,307.7605,308.1204,308.5097,308.9291,309.3800,309.8661,310.3964,,,310.7276
2220,1.854567,305.9742,305.9884,306.0311,306.1023,306.2021,306.3305,306.4877,306.6737,306.8886,307.1326,307.4057,307.7079,308.0392,308.3997,308.7898,309.2104,309.6637,310.1548,310.6942,,,311.0173
2280,1.851933,306.2433,306.2576,306.3007,306.3724,306.4729,306.6021,306.7603,306.9474,307.1634,307.4085,307.6828,307.9862,308.3190,308.6813,309.0734,309.4962,309.9513,310.4426,310.9785,,,311.2811
2340,1.849300,306.5142,306.5287,306.5720,306.6441,306.7452,306.8751,307.0341,307.2221,307.4392,307.6855,307.9609,308.2655,308.5993,308.9626,309.3556,309.7794,310.2367,310.7326,311.2784,,,311.5732
2400,1.846667,306.7867,306.8012,306.8447,306.9172,307.0188,307.1494,307.3091,307.4979,307.7159,307.9632,308.2397,308.5455,308.8809,309.2460,309.6412,310.0675,310.5267,311.0227,311.5643,,,311.8384
2460,1.844033,307.0605,307.0751,307.1188,307.1916,307.2936,307.4248,307.5852,307.7748,307.9938,308.2421,308.5197,308.8267,309.1631,309.5291,309.9250,310.3520,310.8126,311.3120,311.8617,,,312.1259
2520,1.841400,307.3355,307.3501,307.3940,307.4672,307.5696,307.7013,307.8624,308.0528,308.2725,308.5217,308.8003,309.1084,309.4461,309.8135,310.2112,310.6401,311.1022,311.6017,312.1481,,,312.3930
2580,1.838767,307.6116,307.6263,307.6704,307.7438,307.8467,307.9789,308.1405,308.3316,308.5522,308.8022,309.0817,309.3907,309.7289,310.0964,310.4932,310.9197,311.3769,311.8681,312.4015,,,312.6236
2640,1.836133,307.8888,307.9036,307.9478,308.0215,308.1247,308.2574,308.4195,308.6111,308.8321,309.0824,309.3620,309.6704,310.0075,310.3732,310.7675,311.1915,311.6475,312.1412,312.6846,,,312.8979
2700,1.833500,308.1669,308.1817,308.2260,308.2999,308.4033,308.5362,308.6985,308.8902,309.1112,309.3613,309.6404,309.9483,310.2851,310.6508,311.0457,311.4709,311.9287,312.4235,312.9654,,,313.1612
2760,1.830867,308.4454,308.4603,308.5046,308.5785,308.6820,308.8149,308.9772,309.1688,309.3897,309.6397,309.9187,310.2265,310.5630,310.9279,311.3213,311.7436,312.1959,312.6813,313.2080,,,313.3818
2820,1.828233,308.7241,308.7389,308.7833,308.8572,308.9606,309.0935,309.2557,309.4472,309.6678,309.9173,310.1954,310.5018,310.8360,311.1976,311.5864,312.0024,312.4471,312.9241,313.4428,,,313.5996
2880,1.825600,309.0026,309.0174,309.0618,309.1355,309.2388,309.3714,309.5333,309.7241,309.9438,310.1920,310.4682,310.7722,311.1034,311.4614,311.8464,312.2594,312.7026,313.1815,313.7078,,,313.8530
2940,1.822967,309.2806,309.2954,309.3396,309.4131,309.5160,309.6480,309.8091,309.9989,310.2173,310.4638,310.7382,311.0402,311.3693,311.7252,312.1080,312.5179,312.9560,313.4249,313.9323,,,314.0560
3000,1.820333,309.5575,309.5722,309.6161,309.6893,309.7916,309.9229,310.0830,310.2717,310.4886,310.7335,311.0058,311.3051,311.6308,311.9823,312.3593,312.7621,313.1924,313.6541,314.1574,,,314.2666
3060,1.817700,309.8328,309.8474,309.8911,309.9638,310.0654,310.1958,310.3548,310.5420,310.7571,310.9996,311.2691,311.5650,311.8867,312.2337,312.6057,313.0030,313.4270,313.8812,314.3744,,,314.4672
3120,1.815067,310.1063,310.1208,310.1641,310.2362,310.3370,310.4663,310.6238,310.8092,311.0221,311.2620,311.5284,311.8207,312.1385,312.4814,312.8499,313.2453,313.6709,314.1333,314.6463,,,314.7295
3180,1.812433,310.3774,310.3917,310.4347,310.5061,310.6059,310.7339,310.8898,311.0733,311.2840,311.5216,311.7857,312.0760,312.3923,312.7349,313.1043,313.5016,313.9290,314.3909,314.8969,,,314.9639
3240,1.809800,310.6458,310.6601,310.7026,310.7733,310.8722,310.9990,311.1535,311.3355,311.5447,311.7808,312.0435,312.3325,312.6476,312.9888,313.3562,313.7508,314.1746,314.6318,315.1329,,,315.1851
3300,1.807167,310.9119,310.9260,310.9681,311.0383,311.1364,311.2623,311.4158,311.5966,311.8045,312.0391,312.3002,312.5875,312.9006,313.2394,313.6043,313.9959,314.4163,314.8702,315.3679,,,315.4058
3360,1.804533,311.1759,311.1899,311.2318,311.3015,311.3989,311.5240,311.6764,311.8560,312.0626,312.2956,312.5550,312.8402,313.1508,313.4867,313.8477,314.2341,314.6471,315.0897,315.5703,,,315.5932
3420,1.801900,311.4381,311.4520,311.4936,311.5629,311.6597,311.7839,311.9352,312.1135,312.3184,312.5496,312.8064,313.0886,313.3953,313.7263,314.0814,314.4610,314.8670,315.3036,315.7812,,,315.7908
3480,1.799267,311.6985,311.7124,311.7536,311.8224,311.9184,312.0416,312.1916,312.3682,312.5710,312.7996,313.0535,313.3319,313.6345,313.9605,314.3098,314.6821,315.0784,315.5011,,,,315.9543
3540,1.796633,311.9568,311.9705,312.0114,312.0795,312.1746,312.2965,312.4449,312.6195,312.8198,313.0454,313.2954,313.5693,313.8662,314.1854,314.5265,314.8895,315.2757,315.6887,,,,316.1221
3600,1.794000,312.2125,312.2260,312.2664,312.3337,312.4276,312.5480,312.6944,312.8665,313.0638,313.2856,313.5313,313.8002,314.0916,314.4052,314.7412,315.1008,315.4868,315.9054,,,,316.3397
3660,1.790967,312.4649,312.4783,312.5181,312.5845,312.6771,312.7957,312.9400,313.1095,313.3037,313.5222,313.7645,314.0300,314.3184,314.6297,314.9641,315.3223,315.7059,316.1186,,,,316.5266
3720,1.787933,312.7138,312.7270,312.7662,312.8316,312.9229,313.0398,313.1821,313.3493,313.5410,313.7569,313.9963,314.2588,314.5440,314.8516,315.1817,315.5349,315.9132,316.3209,,,,316.7116
3780,1.784900,312.9592,312.9721,313.0109,313.0754,313.1655,313.2808,313.4213,313.5864,313.7757,313.9889,314.2254,314.4847,314.7665,315.0707,315.3974,315.7476,316.1237,316.5304,,,,316.9076
3840,1.781867,313.2013,313.2141,313.2523,313.3160,313.4050,313.5189,313.6576,313.8207,314.0077,314.2184,314.4522,314.7088,314.9877,315.2889,315.6123,315.9587,316.3295,316.7284,,,,317.0820
3900,1.778833,313.4404,313.4530,313.4908,313.5537,313.6416,313.7541,313.8912,314.0524,314.2373,314.4455,314.6765,314.9299,315.2052,315.5019,315.8200,316.1599,316.5228,316.9126,,,,317.2445
3960,1.775800,313.6766,313.6891,313.7264,313.7886,313.8754,313.9866,314.1220,314.2811,314.4637,314.6691,314.8968,315.1464,315.4171,315.7087,316.0210,316.3544,316.7106,317.0934,,,,317.4069
4020,1.772767,313.9099,313.9223,313.9591,314.0205,314.1062,314.2159,314.3495,314.5064,314.6863,314.8886,315.1127,315.3581,315.6241,315.9102,316.2161,316.5419,316.8883,317.2584,,,,317.5468
4080,1.769733,314.1402,314.1524,314.1887,314.2492,314.3337,314.4418,314.5733,314.7278,314.9047,315.1035,315.3234,315.5638,315.8239,316.1029,316.4001,316.7154,317.0493,317.4045,,,,317.6685
4140,1.766700,314.3671,314.3791,314.4148,314.4744,314.5574,314.6638,314.7929,314.9445,315.1180,315.3126,315.5275,315.7621,316.0155,316.2872,316.5772,316.8862,317.2167,317.5741,,,,317.8329
4200,1.763667,314.5901,314.6019,314.6370,314.6954,314.7769,314.8811,315.0077,315.1561,315.3258,315.5163,315.7267,315.9565,316.2053,316.4727,316.7585,317.0633,317.3881,317.7361,,,,317.9731
4260,1.760633,314.8089,314.8204,314.8548,314.9120,314.9918,315.0939,315.2179,315.3633,315.5297,315.7163,315.9226,316.1481,316.3920,316.6541,316.9344,317.2335,317.5536,317.8992,,,,318.1252
4320,1.757600,315.0232,315.0344,315.0682,315.1242,315.2024,315.3025,315.4240,315.5666,315.7296,315.9127,316.1152,316.3367,316.5769,316.8357,317.1139,317.4127,317.7354,318.0878,,,,318.3086
4380,1.754567,315.2332,315.2442,315.2773,315.3323,315.4090,315.5071,315.6264,315.7664,315.9267,316.1070,316.3068,316.5257,316.7636,317.0201,317.2951,317.5885,317.9002,318.2317,,,,318.4226
4440,1.751533,315.4392,315.4501,315.4825,315.5366,315.6120,315.7085,315.8258,315.9637,316.1216,316.2990,316.4955,316.7102,316.9425,317.1916,317.4568,317.7378,318.0353,318.3519,,,,318.5247
4500,1.748500,315.6418,315.6524,315.6844,315.7375,315.8117,315.9065,316.0218,316.1571,316.3118,316.4854,316.6770,316.8861,317.1117,317.3535,317.6111,317.8853,318.1779,318.4935,,,,318.6577
4560,1.745467,315.8408,315.8513,315.8827,315.9348,316.0074,316.1004,316.2132,316.3455,316.4966,316.6661,316.8532,317.0573,317.2781,317.5150,317.7683,318.0384,318.3271,318.6382,,,,318.7893
4620,1.742433,316.0359,316.0461,316.0768,316.1278,316.1989,316.2898,316.4001,316.5294,316.6772,316.8430,317.0262,317.2264,317.4431,317.6763,317.9266,318.1950,318.4844,318.8003,,,,318.9448
4680,1.739400,316.2267,316.2367,316.2667,316.3166,316.3861,316.4751,316.5831,316.7098,316.8548,317.0176,317.1978,317.3952,317.6094,317.8406,318.0889,318.3551,318.6404,318.9486,,,,319.0778
4740,1.736367,316.4134,316.4232,316.4526,316.5015,316.5697,316.6570,316.7631,316.8876,317.0302,317.1905,317.3681,317.5627,317.7740,318.0019,318.2467,318.5094,318.7923,319.1003,,,,319.2203
4800,1.733333,316.5966,316.6063,316.6352,316.6832,316.7502,316.8361,316.9404,317.0630,317.2034,317.3614,317.5365,317.7284,317.9370,318.1620,318.4036,318.6622,318.9392,319.2378,,,,319.3434
4860,1.730300,316.7768,316.7862,316.8147,316.8620,316.9279,317.0124,317.1152,317.2359,317.3743,317.5298,317.7022,317.8909,318.0955,318.3155,318.5505,318.8004,319.0659,319.3492,,,,319.4395
4920,1.727267,316.9541,316.9634,316.9914,317.0380,317.1029,317.1861,317.2871,317.4058,317.5417,317.6942,317.8629,318.0473,318.2467,318.4611,318.6906,318.9362,319.2008,319.4898,,,,319.5742
4980,1.724233,317.1285,317.1377,317.1652,317.2110,317.2748,317.3564,317.4556,317.5719,317.7051,317.8545,318.0199,318.2006,318.3964,318.6065,318.8305,319.0678,319.3177,319.5808,,,,319.6469
5040,1.721200,317.2999,317.3089,317.3359,317.3807,317.4433,317.5233,317.6205,317.7345,317.8647,318.0107,318.1718,318.3471,318.5358,318.7369,318.9497,319.1737,319.4094,319.6595,,,,319.7149
5100,1.718167,317.4678,317.4766,317.5030,317.5469,317.6081,317.6863,317.7811,317.8920,318.0186,318.1600,318.3155,318.4843,318.6657,318.8588,319.0635,319.2799,319.5095,319.7560,,,,319.8032
5160,1.715133,317.6318,317.6404,317.6661,317.7089,317.7683,317.8443,317.9363,318.0438,318.1662,318.3030,318.4535,318.6171,318.7934,318.9825,319.1852,319.4034,319.6407,319.9040,,,,319.9468
5220,1.712100,317.7912,317.7996,317.8245,317.8660,317.9237,317.9973,318.0866,318.1910,318.3102,318.4436,318.5911,318.7523,318.9272,319.1158,319.3184,319.5354,319.7677,320.0178,,,,320.0495
5280,1.709067,317.9460,317.9541,317.9783,318.0186,318.0748,318.1466,318.2338,318.3359,318.4527,318.5837,318.7286,318.8868,319.0580,319.2416,319.4372,319.6443,319.8633,320.0959,,,,320.1178
5340,1.706033,318.0968,318.1047,318.1284,318.1678,318.2227,318.2929,318.3782,318.4780,318.5922,318.7200,318.8611,319.0148,319.1807,319.3584,319.5481,319.7508,319.9689,320.2077,,,,320.2230
5400,1.703000,318.2441,318.2519,318.2750,318.3135,318.3672,318.4357,318.5189,318.6163,318.7276,318.8522,318.9898,319.1399,319.3021,319.4760,319.6614,319.8579,320.0660,320.2871,,,,320.2939
5460,1.700400,318.3880,318.3956,318.4182,318.4557,318.5080,318.5749,318.6559,318.7509,318.8593,318.9807,319.1146,319.2605,319.4181,319.5873,319.7687,319.9637,320.1758,320.4111,,,,320.4121
5520,1.697800,318.5283,318.5357,318.5577,318.5943,318.6452,318.7104,318.7894,318.8820,318.9878,319.1064,319.2376,319.3810,319.5367,319.7045,319.8845,320.0769,320.2825,,,,,320.4985
5580,1.695200,318.6651,318.6722,318.6937,318.7294,318.7792,318.8428,318.9201,319.0107,319.1143,319.2306,319.3592,319.4997,319.6516,319.8147,319.9887,320.1739,320.3712,,,,,320.5729
5640,1.692600,318.7986,318.8057,318.8267,318.8616,318.9103,318.9725,319.0481,319.1367,319.2379,319.3514,319.4767,319.6133,319.7607,319.9186,320.0867,320.2651,320.4549,,,,,320.6431
5700,1.690000,318.9293,318.9361,318.9567,318.9908,319.0383,319.0991,319.1728,319.2592,319.3578,319.4682,319.5899,319.7226,319.8659,320.0198,320.1846,320.3617,320.5534,,,,,320.7429
5760,1.687400,319.0568,319.0635,319.0835,319.1168,319.1631,319.2223,319.2942,319.3783,319.4744,319.5822,319.7012,319.8313,319.9721,320.1235,320.2854,320.4576,320.6407,,,,,320.8110
5820,1.684800,319.1811,319.1876,319.2072,319.2396,319.2848,319.3426,319.4127,319.4949,319.5887,319.6939,319.8099,319.9363,320.0724,320.2177,320.3714,320.5332,320.7030,,,,,320.8543
5880,1.682200,319.3024,319.3088,319.3278,319.3594,319.4035,319.4598,319.5281,319.6080,319.6990,319.8008,319.9126,320.0339,320.1640,320.3023,320.4486,320.6031,320.7669,,,,,320.9106
5940,1.679600,319.4205,319.4267,319.4452,319.4760,319.5187,319.5733,319.6394,319.7166,319.8045,319.9026,320.0104,320.1276,320.2543,320.3909,320.5387,320.7004,320.8809,,,,,321.0433
6000,1.677000,319.5351,319.5411,319.5590,319.5888,319.6302,319.6830,319.7471,319.8221,319.9077,320.0040,320.1107,320.2281,320.3565,320.4965,320.6489,320.8147,320.9955,,,,,321.1468
6060,1.674400,319.6462,319.6520,319.6694,319.6984,319.7388,319.7906,319.8535,319.9274,320.0123,320.1080,320.2145,320.3317,320.4596,320.5981,320.7472,320.9068,321.0774,,,,,321.2126
6120,1.671800,319.7548,319.7606,319.7777,319.8063,319.8461,319.8972,319.9594,320.0325,320.1165,320.2109,320.3157,320.4303,320.5542,320.6867,320.8270,320.9740,321.1270,,,,,321.2408
6180,1.669200,319.8620,319.8676,319.8846,319.9127,319.9520,320.0023,320.0634,320.1351,320.2171,320.3089,320.4100,320.5202,320.6389,320.7663,320.9032,321.0517,321.2157,,,,,321.3421
6240,1.666600,319.9674,319.9730,319.9896,320.0172,320.0556,320.1047,320.1643,320.2342,320.3140,320.4036,320.5028,320.6114,320.7297,320.8576,320.9955,321.1436,321.3027,,,,,321.4158
6300,1.664000,320.0706,320.0760,320.0922,320.1191,320.1567,320.2047,320.2631,320.3316,320.4100,320.4982,320.5957,320.7025,320.8183,320.9429,321.0761,321.2182,321.3702,,,,,321.4737
6360,1.661400,320.1714,320.1767,320.1926,320.2190,320.2558,320.3030,320.3602,320.4273,320.5041,320.5902,320.6854,320.7891,320.9010,321.0205,321.1471,321.2802,321.4200,,,,,321.5095
6420,1.658800,320.2703,320.2755,320.2910,320.3169,320.3529,320.3989,320.4548,320.5201,320.5947,320.6780,320.7696,320.8688,320.9750,321.0876,321.2058,321.3293,321.4584,,,,,321.5374
6480,1.656200,320.3669,320.3719,320.3871,320.4122,320.4472,320.4918,320.5458,320.6088,320.6804,320.7601,320.8473,320.9413,321.0414,321.1469,321.2571,321.3718,321.4910,,,,,321.5605
6540,1.653600,320.4605,320.4654,320.4800,320.5042,320.5379,320.5807,320.6325,320.6927,320.7610,320.8368,320.9196,321.0090,321.1050,321.2080,321.3193,321.4415,321.5795,,,,,321.6626
6600,1.651000,320.5505,320.5552,320.5692,320.5923,320.6246,320.6656,320.7152,320.7730,320.8389,320.9125,320.9939,321.0829,321.1796,321.2841,321.3962,321.5155,321.6415,,,,,321.7082
6660,1.648400,320.6368,320.6413,320.6548,320.6771,320.7082,320.7480,320.7961,320.8525,320.9168,320.9889,321.0683,321.1546,321.2474,321.3460,321.4496,321.5578,321.6701,,,,,321.7261
6720,1.645800,320.7202,320.7246,320.7377,320.7594,320.7896,320.8282,320.8749,320.9295,320.9917,321.0609,321.1367,321.2187,321.3063,321.3991,321.4972,321.6008,321.7115,,,,,321.7653
6780,1.643200,320.8012,320.8055,320.8181,320.8391,320.8683,320.9055,320.9504,321.0029,321.0624,321.1287,321.2014,321.2803,321.3652,321.4563,321.5542,321.6601,321.7766,,,,,321.8312
6840,1.640600,320.8793,320.8834,320.8956,320.9158,320.9438,320.9796,321.0229,321.0735,321.1311,321.1954,321.2663,321.3436,321.4268,321.5158,321.6099,321.7084,321.8105,,,,,321.8529
6900,1.638000,320.9546,320.9585,320.9702,320.9897,321.0169,321.0515,321.0934,321.1424,321.1981,321.2603,321.3287,321.4031,321.4834,321.5701,321.6644,321.7687,321.8871,,,,,321.9373
6960,1.635400,321.0273,321.0311,321.0424,321.0613,321.0875,321.1211,321.1617,321.2092,321.2636,321.3247,321.3925,321.4673,321.5492,321.6385,321.7359,321.8416,321.9568,,,,,322.0001
7020,1.632800,321.0977,321.1014,321.1125,321.1309,321.1565,321.1893,321.2293,321.2762,321.3301,321.3909,321.4585,321.5329,321.6140,321.7019,321.7966,321.8984,322.0082,,,,,322.0463
7080,1.630200,321.1667,321.1703,321.1812,321.1993,321.2246,321.2570,321.2965,321.3429,321.3961,321.4560,321.5224,321.5950,321.6735,321.7574,321.8462,321.9391,322.0358,,,,,322.0658
7140,1.627600,321.2347,321.2383,321.2490,321.2669,321.2918,321.3237,321.3624,321.4078,321.4597,321.5177,321.5816,321.6509,321.7255,321.8051,321.8900,321.9809,322.0799,,,,,322.1091
7200,1.625000,321.3016,321.3051,321.3156,321.3330,321.3573,321.3884,321.4260,321.4700,321.5202,321.5763,321.6380,321.7053,321.7779,321.8558,321.9390,322.0278,322.1232,,,,,322.1482
7260,1.623800,321.3667,321.3701,321.3803,321.3972,321.4207,321.4508,321.4873,321.5299,321.5785,321.6328,321.6927,321.7579,321.8284,321.9040,321.9851,322.0721,322.1664,,,,,322.1902
7320,1.622600,321.4298,321.4331,321.4430,321.4593,321.4822,321.5113,321.5466,321.5879,321.6350,321.6877,321.7456,321.8084,321.8755,321.9460,322.0189,322.0924,322.1646,,,,,322.1805
7380,1.621400,321.4909,321.4941,321.5037,321.5196,321.5416,321.5698,321.6038,321.6434,321.6883,321.7380,321.7921,321.8500,321.9113,321.9758,322.0436,322.1160,322.1953,,,,,322.2136
7440,1.620200,321.5499,321.5530,321.5621,321.5773,321.5984,321.6252,321.6574,321.6949,321.7373,321.7842,321.8354,321.8904,321.9488,322.0101,322.0737,322.1387,322.2039,,,,,322.2170
7500,1.619000,321.6062,321.6091,321.6178,321.6322,321.6521,321.6775,321.7080,321.7435,321.7834,321.8276,321.8756,321.9271,321.9819,322.0403,322.1030,322.1717,322.2496,,,,,322.2659
7560,1.617800,321.6594,321.6622,321.6704,321.6840,321.7029,321.7269,321.7557,321.7893,321.8273,321.8697,321.9162,321.9668,322.0216,322.0804,322.1434,322.2105,322.2819,,,,,322.2951
