time_s,radius_cm,oven_temperature_C,oven_temperature_K,oven_moisture_kg_kg,surface_temperature_C,surface_temperature_K,surface_moisture_kg_kg,surface_dry_bulk_density_kg_m3,water_mass_flux_kg_m2_s,latent_heat_J_kg,latent_heat_flux_W_m2,convective_heat_flux_W_m2,conductive_heat_flux_W_m2,surface_energy_residual_W_m2
1560,1.889933333,40.061,313.211,0.03137,11.96303572,285.1130357,0.8375534978,454.6152348,0.0002932026401,2472567.236,724.9632413,702.4491069,-22.5141344,-1.405589956e-08
1620,1.8857,40.238,313.388,0.03179,12.13625064,285.2862506,0.8284365674,456.4332753,0.0002908928016,2472158.448,719.133097,702.5437341,-16.58936287,-5.659410363e-08
1680,1.881466667,40.621,313.771,0.03219,12.32817626,285.4781763,0.8198740142,458.1573531,0.0002887065784,2471705.504,713.5976389,707.3205936,-6.277045265,6.006757758e-09
1740,1.877233333,41.166,314.316,0.03262,12.56202627,285.7120263,0.8121329062,459.7300555,0.0002866924093,2471153.618,708.4609845,715.0993431,6.638358638,-3.302704954e-08
1800,1.873,41.513,314.663,0.03307,12.79037299,285.940373,0.8050163242,461.1877788,0.0002848097685,2470614.72,703.6552063,718.0656751,14.41046887,-1.657178927e-08
1860,1.870366667,41.918,315.068,0.03345,13.02514378,286.1751438,0.7982565054,462.5831092,0.000283029257,2470060.661,699.0994335,722.3214055,23.22197204,-4.190462732e-08
1920,1.867733333,41.952,315.102,0.03403,13.21134762,286.3613476,0.7916419346,463.9586505,0.0002812004886,2469621.22,694.4586936,718.5163095,24.05761579,4.169999102e-08
1980,1.8651,42.263,315.413,0.03447,13.41240654,286.5624065,0.7852482703,465.297941,0.0002794684667,2469146.721,690.0486479,721.2648364,31.21618849,-2.929505172e-08
2040,1.862466667,42.589,315.739,0.03476,13.62946037,286.7794604,0.7792619645,466.5606265,0.0002778842424,2468634.474,685.9946203,723.9884907,37.99387045,-7.832704796e-08
2100,1.859833333,42.745,315.895,0.03513,13.8279123,286.9779123,0.7735252287,467.7786688,0.0002763244297,2468166.127,682.0145974,722.9271924,40.91259503,-4.005721621e-08
2160,1.8572,42.985,316.135,0.03558,14.02980115,287.1798012,0.7680432652,468.9500026,0.0002747909201,2467689.669,678.0987148,723.8799712,45.78125627,9.784957911e-08
2220,1.854566667,43.393,316.543,0.03609,14.26369378,287.4136938,0.7630299686,470.0275729,0.0002733454633,2467137.683,674.3808929,728.2326555,53.85176269,-6.35628794e-08
2280,1.851933333,43.534,316.684,0.03646,14.47375382,287.6237538,0.758259556,471.0586427,0.0002720079353,2466641.941,670.9461816,726.5061545,55.55997291,-1.457408416e-08
2340,1.8493,43.97,317.12,0.03653,14.71435008,287.8643501,0.7537560731,472.037166,0.0002708458903,2466074.134,667.9260444,731.3912479,63.46520345,4.950834409e-08
2400,1.846666667,44.102,317.252,0.03694,14.93096302,288.080963,0.7495113687,472.9640733,0.0002696165256,2465562.927,664.7565102,729.2759246,64.51941432,1.148143838e-07
2460,1.844033333,44.503,317.653,0.03731,15.17396012,288.3239601,0.7455577302,473.831476,0.0002684720539,2464989.454,661.7807816,733.2259969,71.44521532,2.454612513e-09
2520,1.8414,44.663,317.813,0.03766,15.39835688,288.5483569,0.7418229659,474.6544759,0.0002673872828,2464459.878,658.9652303,731.6160779,72.65084762,3.994489362e-08
2580,1.838766667,44.701,317.851,0.03812,15.59060261,288.7406026,0.7380839893,475.4819469,0.0002662561923,2464006.178,656.0569027,727.7599347,71.70303203,9.031168702e-09
2640,1.836133333,45.138,318.288,0.0384,15.82997003,288.97997,0.7346140102,476.2530777,0.0002652592521,2463441.271,653.450589,732.7007492,79.25016032,-1.08301947e-07
2700,1.8335,45.323,318.473,0.03858,16.05833496,289.208335,0.7313797056,476.9746179,0.0002643582999,2462902.329,651.0886726,731.6166259,80.5279534,-5.790775504e-08
2760,1.830866667,45.324,318.474,0.03903,16.24805952,289.3980595,0.7281279278,477.7027789,0.0002633471961,2462454.58,648.480509,726.898512,78.41800315,-1.41675855e-07
2820,1.828233333,45.462,318.612,0.0394,16.43937113,289.5893711,0.7249063397,478.4268871,0.0002623717313,2462003.084,645.9600117,725.5657217,79.60570994,1.741329925e-08
2880,1.8256,45.818,318.968,0.03954,16.66771531,289.8177153,0.7219339588,479.0973847,0.0002615465288,2461464.192,643.7874151,728.7571174,84.96970235,-1.061955572e-07
2940,1.822966667,45.739,318.889,0.04013,16.84870167,289.9987017,0.719046409,479.7509669,0.0002605686429,2461037.064,641.2690879,722.2574582,80.98837029,-5.835011052e-08
3000,1.820333333,45.93,319.08,0.04011,17.03925722,290.1892572,0.7161026805,480.4195289,0.0002598080681,2460587.353,639.2804465,722.2685695,82.98812301,2.13506155e-08
3060,1.8177,45.999,319.149,0.04076,17.22421935,290.3742194,0.7133359923,481.0499768,0.0002588341324,2460150.842,636.7710088,719.3695162,82.59850752,-1.408855042e-07
3120,1.815066667,46.512,319.662,0.0407,17.47099714,290.6209971,0.7108562721,481.6167658,0.0002582067971,2459568.447,635.0772908,726.0250714,90.94778053,1.107250682e-07
3180,1.812433333,46.602,319.752,0.04128,17.6908692,290.8408692,0.7086469687,482.1231315,0.0002574024423,2459049.549,632.9653595,722.7782701,89.81291066,-2.995705017e-08
3240,1.8098,46.761,319.911,0.04157,17.89996093,291.0499609,0.7064464139,482.6287955,0.0002567108022,2458556.092,631.1379067,721.5259768,90.38807017,-1.842897746e-08
3300,1.807166667,46.933,320.083,0.04187,18.10995364,291.2599536,0.7043262844,483.1172136,0.0002560352274,2458060.509,629.3500815,720.5761589,91.22607753,-5.75237209e-08
3360,1.804533333,46.912,320.062,0.04205,18.28782848,291.4378285,0.7021353722,483.6232164,0.0002553860887,2457640.725,627.6472521,715.6042879,87.95703577,6.465427305e-08
3420,1.8019,47.089,320.239,0.04229,18.47896421,291.6289642,0.6999731308,484.1238763,0.0002547200854,2457189.644,625.895556,715.2508947,89.3553387,1.573141617e-08
3480,1.799266667,47.008,320.158,0.04247,18.63704418,291.7870442,0.6977583272,484.638029,0.0002540621147,2456816.576,624.1840146,709.2738956,85.08988112,-1.001121746e-07
3540,1.796633333,47.111,320.261,0.04277,18.80334454,291.9533445,0.6955411207,485.1540849,0.0002533556606,2456424.107,622.3489523,707.6913865,85.34243421,3.256093351e-08
3600,1.794,47.485,320.635,0.04272,19.0192905,292.1692905,0.6935573347,485.6169574,0.000252846117,2455914.474,620.9684386,711.6427374,90.67429878,4.023684141e-08
3660,1.790966667,47.498,320.648,0.04312,19.20542313,292.3554231,0.6917446843,486.0408484,0.0002522064735,2455475.201,619.2867413,707.3144216,88.02768032,5.59145974e-08
3720,1.787933333,47.646,320.796,0.04333,19.39171404,292.541714,0.6899544299,486.4603945,0.0002516457402,2455035.555,617.7992395,706.3571491,88.55790968,-5.334447906e-08
3780,1.7849,47.84,320.99,0.04369,19.59062056,292.7406206,0.6883212917,486.8438965,0.0002510678479,2454566.135,616.2626372,706.2344861,89.971849,-9.090854292e-08
3840,1.781866667,47.873,321.023,0.04373,19.76709601,292.917096,0.6866659678,487.2333662,0.0002506078847,2454149.653,615.0292533,702.6475998,87.61834644,6.770619621e-09
3900,1.778833333,47.926,321.076,0.04389,19.93351218,293.0835122,0.6849646159,487.6344629,0.0002500880608,2453756.911,613.6553076,699.8121956,86.15688787,8.654922112e-08
3960,1.7758,48.016,321.166,0.0442,20.1024361,293.2524361,0.6833183988,488.0233333,0.000249523753,2453358.251,612.1711583,697.8390974,85.66793909,2.136403054e-08
4020,1.772766667,47.977,321.127,0.04422,20.24884246,293.3988425,0.6815921164,488.4319345,0.0002490503166,2453012.732,610.9235976,693.2039385,82.28034083,7.364656085e-08
4080,1.769733333,47.926,321.076,0.04435,20.37926304,293.529263,0.6797615677,488.8661325,0.0002485049565,2452704.939,609.5093342,688.6684239,79.15908964,2.348861017e-08
4140,1.7667,48.199,321.349,0.04468,20.55573911,293.7057391,0.6781225216,489.2557107,0.0002479322969,2452288.456,608.0015094,691.0815224,83.08001296,1.082639756e-09
4200,1.763666667,48.166,321.316,0.04483,20.70691856,293.8569186,0.6765404525,489.6324688,0.0002474447587,2451931.672,606.717641,686.477036,79.75939498,2.031856638e-08
4260,1.760633333,48.331,321.481,0.04491,20.87130914,294.0213091,0.6749716703,490.0067654,0.0002469875849,2451543.71,605.5008602,686.4922716,80.99141134,2.083504569e-08
4320,1.7576,48.615,321.765,0.04514,21.0676794,294.2176794,0.673635132,490.3262044,0.0002465341061,2451080.277,604.2748849,688.6830149,84.40813002,7.070525498e-09
4380,1.754566667,48.38,321.53,0.0453,21.19375707,294.3437571,0.6721776649,490.675128,0.0002460746228,2450782.733,603.0754367,679.6560732,76.58063651,5.729032182e-08
4440,1.751533333,48.357,321.507,0.04543,21.31141311,294.4614131,0.6705284748,491.0706852,0.0002455740291,2450505.065,601.780402,676.1396723,74.35927019,1.042355962e-07
4500,1.7485,48.526,321.676,0.04561,21.46175985,294.6117598,0.668988347,491.4407897,0.0002450828377,2450150.247,600.4897753,676.6060039,76.1162286,1.205160061e-08
4560,1.745466667,48.59,321.74,0.04589,21.61120032,294.7612003,0.6675661436,491.7831632,0.0002445838883,2449797.567,599.1810146,674.4699919,75.28897738,-5.239246548e-08
4620,1.742433333,48.825,321.975,0.04585,21.78386106,294.9338611,0.6662330017,492.1046272,0.0002442346766,2449390.088,598.225996,676.0284734,77.80247743,-2.249339559e-08
4680,1.7394,48.827,321.977,0.04629,21.9352508,295.0852508,0.664994155,492.403815,0.0002437218291,2449032.808,596.8827554,672.29373,75.41097454,6.539266906e-09
4740,1.736366667,48.988,322.138,0.04641,22.09670287,295.2467029,0.6637749789,492.6986873,0.0002433399318,2448651.781,595.8547574,672.2824283,76.42767094,-1.552632511e-08
4800,1.733333333,48.979,322.129,0.04633,22.23699807,295.3869981,0.6624986694,493.0078413,0.0002430207885,2448320.685,594.9928232,668.5500484,73.55722516,-1.712533049e-08
4860,1.7303,48.9,322.05,0.04639,22.3518074,295.5018074,0.6610961577,493.3481126,0.0002426112981,2448049.735,593.924524,663.7048151,69.7802911,-3.294496764e-08
4920,1.727266667,49.144,322.294,0.0466,22.50802604,295.658026,0.6598154931,493.659324,0.0002421756367,2447681.059,592.7687187,665.899349,73.13063034,-1.496641744e-08
4980,1.724233333,48.87,322.02,0.04687,22.60196802,295.751968,0.6584553043,493.9903869,0.0002416938089,2447459.355,591.5357736,656.7007995,65.16502583,1.112653081e-09
5040,1.7212,48.84,321.99,0.04689,22.693571,295.843571,0.6569025363,494.3689869,0.0002412570236,2447243.172,590.4146039,653.660725,63.24612102,9.661482636e-08
5100,1.718166667,48.913,322.063,0.04707,22.80713804,295.957138,0.6554164664,494.7319896,0.0002407747661,2446975.154,589.1698705,652.646549,63.47667856,-5.664253422e-08
5160,1.715133333,49.261,322.411,0.04705,22.97525045,296.1252505,0.6541581971,495.0398572,0.0002404342042,2446578.409,588.2411327,657.1437387,68.90260594,8.594713563e-08
5220,1.7121,49.169,322.319,0.0472,23.10078184,296.2507818,0.6529480779,495.3363859,0.000240039251,2446282.155,587.2037361,651.7054539,64.50171793,-5.601509656e-08
5280,1.709066667,49.056,322.206,0.04713,23.19275135,296.3427514,0.6515343571,495.6833557,0.0002396745439,2446065.107,586.2595389,646.5812161,60.32167721,9.444079296e-09
5340,1.706033333,49.257,322.407,0.04744,23.32511634,296.4751163,0.6502345766,496.0028856,0.0002391902795,2445752.725,585.0002781,648.2970915,63.29681321,1.851929028e-07
5400,1.703,49.116,322.266,0.04728,23.42045564,296.5704556,0.6488658115,496.3399188,0.0002388728423,2445527.725,584.1701585,642.3886091,58.21845057,6.376296824e-08
5460,1.7004,49.415,322.565,0.0476,23.56698466,296.7169847,0.6476181697,496.6476155,0.0002383980746,2445181.916,582.9266609,646.2003836,63.27372272,3.351260602e-09
5520,1.6978,49.321,322.471,0.04777,23.68011474,296.8301147,0.6464084969,496.9463935,0.0002379929936,2444914.929,581.8726232,641.0221314,59.14950811,1.471985343e-07
5580,1.6952,49.317,322.467,0.04751,23.78041012,296.9304101,0.6450225863,497.2892406,0.0002377092642,2444678.232,581.1226639,638.4147469,57.29208296,9.652933386e-08
5640,1.6926,49.304,322.454,0.04782,23.87941988,297.0294199,0.6436584453,497.627267,0.0002372043657,2444444.569,579.8329235,635.614503,55.78157952,-5.627123301e-08
5700,1.69,49.492,322.642,0.04765,24.00733529,297.1573353,0.642349008,497.9522664,0.0002369053751,2444142.689,579.0305404,637.1166176,58.08607717,1.663738658e-08
5760,1.6874,49.384,322.534,0.04802,24.10478131,297.2547813,0.6410781748,498.2681802,0.000236401614,2443912.716,577.7449106,631.9804673,54.23555674,-3.795014436e-08
5820,1.6848,49.272,322.422,0.04779,24.17678773,297.3267877,0.6396067941,498.6345595,0.0002360802451,2443742.781,576.9193947,627.3803068,50.46091201,5.678202797e-09
5880,1.6822,49.31,322.46,0.04827,24.26634815,297.4163482,0.6381977302,498.9860385,0.0002354925609,2443531.418,575.4334713,626.0912962,50.65782488,6.872824088e-09
5940,1.6796,49.749,322.899,0.04795,24.42933629,297.5793363,0.6370002495,499.2852156,0.0002352832646,2443146.766,574.8315472,632.9915927,58.16004565,-1.300597887e-07
6000,1.677,49.743,322.893,0.04841,24.56281836,297.7128184,0.6359953779,499.5366094,0.0002348163259,2442831.749,573.616776,629.5045411,55.88776509,-2.570129709e-08
6060,1.6744,49.66,322.81,0.0484,24.65811061,297.8081106,0.6348370461,499.8267785,0.0002344935516,2442606.859,572.7755576,625.0472347,52.27167707,1.970772701e-08
6120,1.6718,49.463,322.613,0.04836,24.71627799,297.866278,0.6334590923,500.1725003,0.0002341203807,2442469.584,571.8319089,618.6680503,46.83614136,2.236174623e-08
6180,1.6692,49.83,322.98,0.04851,24.85077328,298.0007733,0.6322436718,500.4779278,0.0002337166548,2442152.175,570.7716367,624.4806679,53.70903109,6.753737125e-08
6240,1.6666,49.753,322.903,0.04858,24.95482477,298.1048248,0.6311147005,500.7620389,0.0002333690115,2441906.614,569.8653325,619.9543807,50.08904821,1.942612471e-08
6300,1.664,49.739,322.889,0.04871,25.04450952,298.1945095,0.6299029053,501.067431,0.0002329734688,2441694.958,568.8501439,617.362262,48.51211806,2.98168743e-08
6360,1.6614,49.622,322.772,0.04842,25.11039596,298.260396,0.6285324282,501.4133611,0.000232700898,2441539.466,568.148426,612.7901011,44.64167494,1.397070264e-07
6420,1.6588,49.55,322.7,0.04864,25.17175677,298.3217568,0.6271161808,501.7714567,0.0002322102687,2441394.654,566.9169087,609.4560807,42.53917194,6.513698736e-08
6480,1.6562,49.477,322.627,0.04845,25.22785669,298.3778567,0.625617527,502.1510681,0.0002318602321,2441262.258,566.0316338,606.2285827,40.1969488,9.026985026e-08
6540,1.6536,49.891,323.041,0.04875,25.36602447,298.5160245,0.6244074746,502.4580873,0.0002313950029,2440936.182,564.820435,613.1243882,48.30395323,1.20041932e-08
6600,1.651,49.683,322.833,0.04858,25.44272317,298.5927232,0.6231823197,502.7694048,0.000231113973,2440755.173,564.0926253,606.0069207,41.91429561,-1.536820946e-07
6660,1.6484,49.569,322.719,0.04882,25.49531537,298.6453154,0.6218062416,503.1196334,0.0002306245023,2440631.056,562.8693225,601.8421158,38.97279348,-1.745178224e-07
6720,1.6458,49.633,322.783,0.04886,25.57026699,298.720267,0.6204425324,503.4673008,0.0002302184918,2440454.17,561.8376784,601.5683252,39.73064685,4.054868441e-09
6780,1.6432,49.781,322.931,0.04885,25.67105095,298.821051,0.6191863034,503.7880852,0.0002298629073,2440216.32,560.9152178,602.7487262,41.83350831,9.785037491e-08
6840,1.6406,49.592,322.742,0.04892,25.72689209,298.8768921,0.6178710397,504.1244781,0.0002294577168,2440084.535,559.8962261,596.6276978,36.73147181,-7.157802884e-08
6900,1.638,49.941,323.091,0.04908,25.84806358,298.9980636,0.6166963254,504.4253868,0.0002290560676,2439798.57,558.8506662,602.3234105,43.47274424,2.090268936e-08
6960,1.6354,49.902,323.052,0.04913,25.94455483,299.0945548,0.6156138315,504.7030602,0.0002287248986,2439570.851,557.9905955,598.9361293,40.94553356,2.072454208e-07
7020,1.6328,49.892,323.042,0.04902,26.02386294,299.1738629,0.6144273948,505.0078239,0.0002284281265,2439383.683,557.2238446,596.7034266,39.479582,1.880403033e-08
7080,1.6302,49.759,322.909,0.04911,26.07766074,299.2276607,0.6131562972,505.3348322,0.0002280257928,2439256.721,556.2134475,592.0334816,35.82003413,-8.056986189e-09
7140,1.6276,49.865,323.015,0.0493,26.15757421,299.3075742,0.6119272566,505.6515111,0.000227594658,2439068.125,555.1188757,592.6856448,37.56676926,-1.203771944e-07
7200,1.625,49.852,323.002,0.04894,26.2297782,299.3797782,0.6106574949,505.9791899,0.0002273738904,2438897.723,554.5416638,590.555545,36.01388123,5.893059551e-08
7260,1.6238,49.893,323.043,0.04897,26.30642537,299.4564254,0.6093289585,506.3225899,0.0002269779193,2438716.836,553.5348733,589.6643658,36.1294926,-8.90361207e-08
7320,1.6226,49.619,322.769,0.04898,26.33219154,299.4821915,0.6078275549,506.7113556,0.0002265395217,2438656.028,552.4519702,582.1702114,29.71824132,-8.547328889e-08
7380,1.6214,49.792,322.942,0.04929,26.40568218,299.5556822,0.606372872,507.0887169,0.000225992351,2438482.59,551.0784134,584.6579455,33.57953199,7.93199888e-08
7440,1.6202,49.612,322.762,0.0492,26.44687091,299.5968709,0.6048692369,507.4794959,0.0002255925954,2438385.385,550.0816874,579.1282274,29.04653998,-4.597052339e-08
7500,1.619,49.845,322.995,0.04941,26.53641022,299.6864102,0.603452909,507.848255,0.0002250957796,2438174.072,548.8226936,582.7147446,33.89205107,-3.005141025e-08
7560,1.6178,49.77,322.92,0.04938,26.60378563,299.7537856,0.6020691717,508.2091584,0.0002247053591,2438015.066,547.8350508,579.1553593,31.32030855,-4.939693099e-09
7620,1.6166,49.683,322.833,0.04924,26.6499498,299.7999498,0.600554815,508.6048448,0.0002243211088,2437906.118,546.8738036,575.8262551,28.95245157,-6.678226327e-08
7680,1.6154,49.669,322.819,0.04954,26.70264977,299.8526498,0.599067127,508.9942928,0.0002237649371,2437781.747,545.4900792,574.1587559,28.66867666,2.318529368e-08
7740,1.6142,49.916,323.066,0.0495,26.80241867,299.9524187,0.5977104067,509.3500882,0.0002233848152,2437546.292,544.510828,577.8395332,33.32870524,3.40612587e-08
7800,1.613,49.714,322.864,0.04928,26.84959104,299.999591,0.5962713533,509.7281362,0.0002230535064,2437434.965,543.6784157,571.6102239,27.93180832,-7.495532373e-08
7860,1.6118,50.095,323.245,0.04935,26.96607488,300.1160749,0.5949666592,510.0714768,0.0002226427961,2437160.063,542.6161311,578.223128,35.60699683,6.626430604e-08
7920,1.6106,49.929,323.079,0.04934,27.03364346,300.1836435,0.5936987341,510.40568,0.0002222750319,2437000.601,541.6843864,572.3839134,30.69952702,1.791613613e-08
7980,1.6094,49.817,322.967,0.04929,27.07399865,300.2239987,0.5922615734,510.7851343,0.0002218734464,2436905.363,540.6845916,568.5750336,27.89044212,-3.470245247e-08
8040,1.6082,49.943,323.093,0.0493,27.14681331,300.2968133,0.5908661292,511.1542302,0.0002214590543,2436733.521,539.636701,569.9046673,30.26796631,-5.633035016e-08
8100,1.607,49.664,322.814,0.04971,27.16951875,300.3195187,0.5894493044,511.5296444,0.0002208741235,2436679.936,538.1995451,562.3620314,24.16248623,-1.270063876e-08
8160,1.6058,50.135,323.285,0.04948,27.28587285,300.4358729,0.588137682,511.8777802,0.0002205815189,2436405.34,537.4259905,571.2281787,33.80218811,6.494974514e-08
8220,1.6046,49.902,323.052,0.04947,27.34104056,300.4910406,0.5868567334,512.2183301,0.0002202074681,2436275.144,536.4859812,564.0239859,27.53800465,9.275538559e-08
8280,1.6034,50.056,323.206,0.04966,27.41977015,300.5697702,0.5855779712,512.5588474,0.0002197515981,2436089.342,535.3345261,565.9057461,30.5712199,9.700943338e-08
8340,1.6022,49.71,322.86,0.04959,27.43162548,300.5816255,0.5841524865,512.939083,0.0002193583933,2436061.364,534.3705068,556.9593631,22.58885627,-2.850970304e-08
8400,1.601,49.915,323.065,0.0498,27.49709692,300.6470969,0.582753421,513.3129375,0.0002188575089,2435906.851,533.1165053,560.447577,27.33107177,-5.299784789e-08
8460,1.5998,49.92,323.07,0.04973,27.56324273,300.7132427,0.5814385104,513.6649073,0.0002184960022,2435750.747,532.2018006,558.9189318,26.71713129,-5.623701327e-08
8520,1.5986,50.147,323.297,0.0496,27.66134421,300.8113442,0.5802028467,513.9961986,0.0002181822769,2435519.228,531.3871306,562.1413948,30.75426422,-2.569072421e-08
8580,1.5974,49.967,323.117,0.04956,27.71014452,300.8601445,0.5789298845,514.3380321,0.0002178200517,2435404.059,530.4798381,556.421387,25.94154888,2.66547886e-08
8640,1.5962,49.921,323.071,0.04988,27.75282324,300.9028232,0.5776139802,514.6919769,0.0002172963564,2435303.337,529.182542,554.2044189,25.02187693,-2.201522875e-08
8700,1.595,49.821,322.971,0.04976,27.78413945,300.9341395,0.576216349,515.0685513,0.0002169288872,2435229.431,528.2716105,550.9215137,22.6499032,6.051436685e-09
8760,1.5938,49.856,323.006,0.04989,27.83189074,300.9818907,0.5748371706,515.4408091,0.0002164633555,2435116.738,527.11354,550.6027314,23.48919134,6.475124792e-08
8820,1.5926,49.953,323.103,0.04949,27.89712382,301.0471238,0.5734685052,515.8108744,0.0002162190487,2434962.788,526.4853377,551.3969044,24.91156672,-3.457478215e-08
8880,1.5914,49.915,323.065,0.04986,27.95203422,301.1020342,0.5721908201,516.1569216,0.0002156837345,2434833.199,525.1539173,549.0741446,23.92022732,-2.910621788e-08
8940,1.5902,49.708,322.858,0.04977,27.96681313,301.1168131,0.570780064,516.5396635,0.0002152978905,2434798.321,524.2069424,543.5296718,19.32272952,-8.903271009e-08
9000,1.589,50.163,323.313,0.04981,28.0770047,301.2270047,0.5695504389,516.8738254,0.0002149121831,2434538.269,523.2119342,552.1498824,28.93794814,1.940861694e-08
9060,1.587766667,50.198,323.348,0.05004,28.1734685,301.3234685,0.5685342376,517.1503828,0.0002145115948,2434310.614,522.187852,550.6132875,28.42543555,-6.537925401e-08
9120,1.586533333,49.82,322.97,0.05009,28.17912787,301.3291279,0.5672836049,517.4912325,0.0002141145248,2434297.258,521.2184008,541.0218031,19.80340244,-7.804783309e-08
9180,1.5853,50.027,323.177,0.04976,28.23721336,301.3872134,0.5659400051,517.8580264,0.0002138463669,2434160.176,520.5363103,544.744666,24.20835553,1.354607093e-07
9240,1.584066667,49.804,322.954,0.04998,28.25926268,301.4092627,0.5646276126,518.216909,0.000213359276,2434108.14,519.3395505,538.618433,19.27888251,-6.112577466e-08
9300,1.582833333,50.086,323.236,0.05016,28.34097769,301.4909777,0.5634271861,518.5457014,0.0002129219944,2433915.293,518.2340983,543.6255576,25.39145922,6.977325029e-08
9360,1.5816,49.891,323.041,0.0499,28.37549568,301.5254957,0.5621745957,518.88932,0.0002126510533,2433833.83,517.5573275,537.887608,20.33028037,1.312821496e-07
