time_s,oven_temperature_C,oven_temperature_K,oven_moisture_kg_kg
303,30.856950,304.006950,0.02193100
304,30.864600,304.014600,0.02193800
305,30.872250,304.022250,0.02194500
306,30.879900,304.029900,0.02195200
307,30.887550,304.037550,0.02195900
308,30.895200,304.045200,0.02196600
309,30.902850,304.052850,0.02197300
310,30.910500,304.060500,0.02198000
311,30.918150,304.068150,0.02198700
312,30.925800,304.075800,0.02199400
313,30.933450,304.083450,0.02200100
314,30.941100,304.091100,0.02200800
315,30.948750,304.098750,0.02201500
316,30.956400,304.106400,0.02202200
317,30.964050,304.114050,0.02202900
318,30.971700,304.121700,0.02203600
319,30.979350,304.129350,0.02204300
320,30.987000,304.137000,0.02205000
321,30.994650,304.144650,0.02205700
322,31.002300,304.152300,0.02206400
323,31.009950,304.159950,0.02207100
324,31.017600,304.167600,0.02207800
325,31.025250,304.175250,0.02208500
326,31.032900,304.182900,0.02209200
327,31.040550,304.190550,0.02209900
328,31.048200,304.198200,0.02210600
329,31.055850,304.205850,0.02211300
330,31.063500,304.213500,0.02212000
331,31.071150,304.221150,0.02212700
332,31.078800,304.228800,0.02213400
333,31.086450,304.236450,0.02214100
334,31.094100,304.244100,0.02214800
335,31.101750,304.251750,0.02215500
336,31.109400,304.259400,0.02216200
337,31.117050,304.267050,0.02216900
338,31.124700,304.274700,0.02217600
339,31.132350,304.282350,0.02218300
340,31.140000,304.290000,0.02219000
341,31.147650,304.297650,0.02219700
342,31.155300,304.305300,0.02220400
343,31.162950,304.312950,0.02221100
344,31.170600,304.320600,0.02221800
345,31.178250,304.328250,0.02222500
346,31.185900,304.335900,0.02223200
347,31.193550,304.343550,0.02223900
348,31.201200,304.351200,0.02224600
349,31.208850,304.358850,0.02225300
350,31.216500,304.366500,0.02226000
351,31.224150,304.374150,0.02226700
352,31.231800,304.381800,0.02227400
353,31.239450,304.389450,0.02228100
354,31.247100,304.397100,0.02228800
355,31.254750,304.404750,0.02229500
356,31.262400,304.412400,0.02230200
357,31.270050,304.420050,0.02230900
358,31.277700,304.427700,0.02231600
359,31.285350,304.435350,0.02232300
360,31.293000,304.443000,0.02233000
361,31.301783,304.451783,0.02233750
362,31.310567,304.460567,0.02234500
363,31.319350,304.469350,0.02235250
364,31.328133,304.478133,0.02236000
365,31.336917,304.486917,0.02236750
366,31.345700,304.495700,0.02237500
367,31.354483,304.504483,0.02238250
368,31.363267,304.513267,0.02239000
369,31.372050,304.522050,0.02239750
370,31.380833,304.530833,0.02240500
371,31.389617,304.539617,0.02241250
372,31.398400,304.548400,0.02242000
373,31.407183,304.557183,0.02242750
374,31.415967,304.565967,0.02243500
375,31.424750,304.574750,0.02244250
376,31.433533,304.583533,0.02245000
377,31.442317,304.592317,0.02245750
378,31.451100,304.601100,0.02246500
379,31.459883,304.609883,0.02247250
380,31.468667,304.618667,0.02248000
381,31.477450,304.627450,0.02248750
382,31.486233,304.636233,0.02249500
383,31.495017,304.645017,0.02250250
384,31.503800,304.653800,0.02251000
385,31.512583,304.662583,0.02251750
386,31.521367,304.671367,0.02252500
387,31.530150,304.680150,0.02253250
388,31.538933,304.688933,0.02254000
389,31.547717,304.697717,0.02254750
390,31.556500,304.706500,0.02255500
391,31.565283,304.715283,0.02256250
392,31.574067,304.724067,0.02257000
393,31.582850,304.732850,0.02257750
394,31.591633,304.741633,0.02258500
395,31.600417,304.750417,0.02259250
396,31.609200,304.759200,0.02260000
397,31.617983,304.767983,0.02260750
398,31.626767,304.776767,0.02261500
399,31.635550,304.785550,0.02262250
400,31.644333,304.794333,0.02263000
401,31.653117,304.803117,0.02263750
402,31.661900,304.811900,0.02264500
403,31.670683,304.820683,0.02265250
404,31.679467,304.829467,0.02266000
405,31.688250,304.838250,0.02266750
406,31.697033,304.847033,0.02267500
407,31.705817,304.855817,0.02268250
408,31.714600,304.864600,0.02269000
409,31.723383,304.873383,0.02269750
410,31.732167,304.882167,0.02270500
411,31.740950,304.890950,0.02271250
412,31.749733,304.899733,0.02272000
413,31.758517,304.908517,0.02272750
414,31.767300,304.917300,0.02273500
415,31.776083,304.926083,0.02274250
416,31.784867,304.934867,0.02275000
417,31.793650,304.943650,0.02275750
418,31.802433,304.952433,0.02276500
419,31.811217,304.961217,0.02277250
420,31.820000,304.970000,0.02278000
421,31.825017,304.975017,0.02278783
422,31.830033,304.980033,0.02279567
423,31.835050,304.985050,0.02280350
424,31.840067,304.990067,0.02281133
425,31.845083,304.995083,0.02281917
426,31.850100,305.000100,0.02282700
427,31.855117,305.005117,0.02283483
428,31.860133,305.010133,0.02284267
429,31.865150,305.015150,0.02285050
430,31.870167,305.020167,0.02285833
431,31.875183,305.025183,0.02286617
432,31.880200,305.030200,0.02287400
433,31.885217,305.035217,0.02288183
434,31.890233,305.040233,0.02288967
435,31.895250,305.045250,0.02289750
436,31.900267,305.050267,0.02290533
437,31.905283,305.055283,0.02291317
438,31.910300,305.060300,0.02292100
439,31.915317,305.065317,0.02292883
440,31.920333,305.070333,0.02293667
441,31.925350,305.075350,0.02294450
442,31.930367,305.080367,0.02295233
443,31.935383,305.085383,0.02296017
444,31.940400,305.090400,0.02296800
445,31.945417,305.095417,0.02297583
446,31.950433,305.100433,0.02298367
447,31.955450,305.105450,0.02299150
448,31.960467,305.110467,0.02299933
449,31.965483,305.115483,0.02300717
450,31.970500,305.120500,0.02301500
451,31.975517,305.125517,0.02302283
452,31.980533,305.130533,0.02303067
453,31.985550,305.135550,0.02303850
454,31.990567,305.140567,0.02304633
455,31.995583,305.145583,0.02305417
456,32.000600,305.150600,0.02306200
457,32.005617,305.155617,0.02306983
458,32.010633,305.160633,0.02307767
459,32.015650,305.165650,0.02308550
460,32.020667,305.170667,0.02309333
461,32.025683,305.175683,0.02310117
462,32.030700,305.180700,0.02310900
463,32.035717,305.185717,0.02311683
464,32.040733,305.190733,0.02312467
465,32.045750,305.195750,0.02313250
466,32.050767,305.200767,0.02314033
467,32.055783,305.205783,0.02314817
468,32.060800,305.210800,0.02315600
469,32.065817,305.215817,0.02316383
470,32.070833,305.220833,0.02317167
471,32.075850,305.225850,0.02317950
472,32.080867,305.230867,0.02318733
473,32.085883,305.235883,0.02319517
474,32.090900,305.240900,0.02320300
475,32.095917,305.245917,0.02321083
476,32.100933,305.250933,0.02321867
477,32.105950,305.255950,0.02322650
478,32.110967,305.260967,0.02323433
479,32.115983,305.265983,0.02324217
480,32.121000,305.271000,0.02325000
481,32.131150,305.281150,0.02325867
482,32.141300,305.291300,0.02326733
483,32.151450,305.301450,0.02327600
484,32.161600,305.311600,0.02328467
485,32.171750,305.321750,0.02329333
486,32.181900,305.331900,0.02330200
487,32.192050,305.342050,0.02331067
488,32.202200,305.352200,0.02331933
489,32.212350,305.362350,0.02332800
490,32.222500,305.372500,0.02333667
491,32.232650,305.382650,0.02334533
492,32.242800,305.392800,0.02335400
493,32.252950,305.402950,0.02336267
494,32.263100,305.413100,0.02337133
495,32.273250,305.423250,0.02338000
496,32.283400,305.433400,0.02338867
497,32.293550,305.443550,0.02339733
498,32.303700,305.453700,0.02340600
499,32.313850,305.463850,0.02341467
500,32.324000,305.474000,0.02342333
501,32.334150,305.484150,0.02343200
502,32.344300,305.494300,0.02344067
503,32.354450,305.504450,0.02344933
504,32.364600,305.514600,0.02345800
505,32.374750,305.524750,0.02346667
506,32.384900,305.534900,0.02347533
507,32.395050,305.545050,0.02348400
508,32.405200,305.555200,0.02349267
509,32.415350,305.565350,0.02350133
510,32.425500,305.575500,0.02351000
511,32.435650,305.585650,0.02351867
512,32.445800,305.595800,0.02352733
513,32.455950,305.605950,0.02353600
514,32.466100,305.616100,0.02354467
515,32.476250,305.626250,0.02355333
516,32.486400,305.636400,0.02356200
517,32.496550,305.646550,0.02357067
518,32.506700,305.656700,0.02357933
519,32.516850,305.666850,0.02358800
520,32.527000,305.677000,0.02359667
521,32.537150,305.687150,0.02360533
522,32.547300,305.697300,0.02361400
523,32.557450,305.707450,0.02362267
524,32.567600,305.717600,0.02363133
525,32.577750,305.727750,0.02364000
526,32.587900,305.737900,0.02364867
527,32.598050,305.748050,0.02365733
528,32.608200,305.758200,0.02366600
529,32.618350,305.768350,0.02367467
530,32.628500,305.778500,0.02368333
531,32.638650,305.788650,0.02369200
532,32.648800,305.798800,0.02370067
533,32.658950,305.808950,0.02370933
534,32.669100,305.819100,0.02371800
535,32.679250,305.829250,0.02372667
536,32.689400,305.839400,0.02373533
537,32.699550,305.849550,0.02374400
538,32.709700,305.859700,0.02375267
539,32.719850,305.869850,0.02376133
540,32.730000,305.880000,0.02377000
541,32.737867,305.887867,0.02377850
542,32.745733,305.895733,0.02378700
543,32.753600,305.903600,0.02379550
544,32.761467,305.911467,0.02380400
545,32.769333,305.919333,0.02381250
546,32.777200,305.927200,0.02382100
547,32.785067,305.935067,0.02382950
548,32.792933,305.942933,0.02383800
549,32.800800,305.950800,0.02384650
550,32.808667,305.958667,0.02385500
551,32.816533,305.966533,0.02386350
552,32.824400,305.974400,0.02387200
553,32.832267,305.982267,0.02388050
554,32.840133,305.990133,0.02388900
555,32.848000,305.998000,0.02389750
556,32.855867,306.005867,0.02390600
557,32.863733,306.013733,0.02391450
558,32.871600,306.021600,0.02392300
559,32.879467,306.029467,0.02393150
560,32.887333,306.037333,0.02394000
561,32.895200,306.045200,0.02394850
562,32.903067,306.053067,0.02395700
563,32.910933,306.060933,0.02396550
564,32.918800,306.068800,0.02397400
565,32.926667,306.076667,0.02398250
566,32.934533,306.084533,0.02399100
567,32.942400,306.092400,0.02399950
568,32.950267,306.100267,0.02400800
569,32.958133,306.108133,0.02401650
570,32.966000,306.116000,0.02402500
571,32.973867,306.123867,0.02403350
572,32.981733,306.131733,0.02404200
573,32.989600,306.139600,0.02405050
574,32.997467,306.147467,0.02405900
575,33.005333,306.155333,0.02406750
576,33.013200,306.163200,0.02407600
577,33.021067,306.171067,0.02408450
578,33.028933,306.178933,0.02409300
579,33.036800,306.186800,0.02410150
580,33.044667,306.194667,0.02411000
581,33.052533,306.202533,0.02411850
582,33.060400,306.210400,0.02412700
583,33.068267,306.218267,0.02413550
584,33.076133,306.226133,0.02414400
585,33.084000,306.234000,0.02415250
586,33.091867,306.241867,0.02416100
587,33.099733,306.249733,0.02416950
588,33.107600,306.257600,0.02417800
589,33.115467,306.265467,0.02418650
590,33.123333,306.273333,0.02419500
591,33.131200,306.281200,0.02420350
592,33.139067,306.289067,0.02421200
593,33.146933,306.296933,0.02422050
594,33.154800,306.304800,0.02422900
595,33.162667,306.312667,0.02423750
596,33.170533,306.320533,0.02424600
597,33.178400,306.328400,0.02425450
598,33.186267,306.336267,0.02426300
599,33.194133,306.344133,0.02427150
600,33.202000,306.352000,0.02428000
601,33.213283,306.363283,0.02428617
602,33.224567,306.374567,0.02429233
603,33.235850,306.385850,0.02429850
604,33.247133,306.397133,0.02430467
605,33.258417,306.408417,0.02431083
606,33.269700,306.419700,0.02431700
607,33.280983,306.430983,0.02432317
608,33.292267,306.442267,0.02432933
609,33.303550,306.453550,0.02433550
610,33.314833,306.464833,0.02434167
611,33.326117,306.476117,0.02434783
612,33.337400,306.487400,0.02435400
613,33.348683,306.498683,0.02436017
614,33.359967,306.509967,0.02436633
615,33.371250,306.521250,0.02437250
616,33.382533,306.532533,0.02437867
617,33.393817,306.543817,0.02438483
618,33.405100,306.555100,0.02439100
619,33.416383,306.566383,0.02439717
620,33.427667,306.577667,0.02440333
621,33.438950,306.588950,0.02440950
622,33.450233,306.600233,0.02441567
623,33.461517,306.611517,0.02442183
624,33.472800,306.622800,0.02442800
625,33.484083,306.634083,0.02443417
626,33.495367,306.645367,0.02444033
627,33.506650,306.656650,0.02444650
628,33.517933,306.667933,0.02445267
629,33.529217,306.679217,0.02445883
630,33.540500,306.690500,0.02446500
631,33.551783,306.701783,0.02447117
632,33.563067,306.713067,0.02447733
633,33.574350,306.724350,0.02448350
634,33.585633,306.735633,0.02448967
635,33.596917,306.746917,0.02449583
636,33.608200,306.758200,0.02450200
637,33.619483,306.769483,0.02450817
638,33.630767,306.780767,0.02451433
639,33.642050,306.792050,0.02452050
640,33.653333,306.803333,0.02452667
641,33.664617,306.814617,0.02453283
642,33.675900,306.825900,0.02453900
643,33.687183,306.837183,0.02454517
644,33.698467,306.848467,0.02455133
645,33.709750,306.859750,0.02455750
646,33.721033,306.871033,0.02456367
647,33.732317,306.882317,0.02456983
648,33.743600,306.893600,0.02457600
649,33.754883,306.904883,0.02458217
650,33.766167,306.916167,0.02458833
651,33.777450,306.927450,0.02459450
652,33.788733,306.938733,0.02460067
653,33.800017,306.950017,0.02460683
654,33.811300,306.961300,0.02461300
655,33.822583,306.972583,0.02461917
656,33.833867,306.983867,0.02462533
657,33.845150,306.995150,0.02463150
658,33.856433,307.006433,0.02463767
659,33.867717,307.017717,0.02464383
660,33.879000,307.029000,0.02465000
661,33.885483,307.035483,0.02465683
662,33.891967,307.041967,0.02466367
663,33.898450,307.048450,0.02467050
664,33.904933,307.054933,0.02467733
665,33.911417,307.061417,0.02468417
666,33.917900,307.067900,0.02469100
667,33.924383,307.074383,0.02469783
668,33.930867,307.080867,0.02470467
669,33.937350,307.087350,0.02471150
670,33.943833,307.093833,0.02471833
671,33.950317,307.100317,0.02472517
672,33.956800,307.106800,0.02473200
673,33.963283,307.113283,0.02473883
674,33.969767,307.119767,0.02474567
675,33.976250,307.126250,0.02475250
676,33.982733,307.132733,0.02475933
677,33.989217,307.139217,0.02476617
678,33.995700,307.145700,0.02477300
679,34.002183,307.152183,0.02477983
680,34.008667,307.158667,0.02478667
681,34.015150,307.165150,0.02479350
682,34.021633,307.171633,0.02480033
683,34.028117,307.178117,0.02480717
684,34.034600,307.184600,0.02481400
685,34.041083,307.191083,0.02482083
686,34.047567,307.197567,0.02482767
687,34.054050,307.204050,0.02483450
688,34.060533,307.210533,0.02484133
689,34.067017,307.217017,0.02484817
690,34.073500,307.223500,0.02485500
691,34.079983,307.229983,0.02486183
692,34.086467,307.236467,0.02486867
693,34.092950,307.242950,0.02487550
694,34.099433,307.249433,0.02488233
695,34.105917,307.255917,0.02488917
696,34.112400,307.262400,0.02489600
697,34.118883,307.268883,0.02490283
698,34.125367,307.275367,0.02490967
699,34.131850,307.281850,0.02491650
700,34.138333,307.288333,0.02492333
701,34.144817,307.294817,0.02493017
702,34.151300,307.301300,0.02493700
703,34.157783,307.307783,0.02494383
704,34.164267,307.314267,0.02495067
705,34.170750,307.320750,0.02495750
706,34.177233,307.327233,0.02496433
707,34.183717,307.333717,0.02497117
708,34.190200,307.340200,0.02497800
709,34.196683,307.346683,0.02498483
710,34.203167,307.353167,0.02499167
711,34.209650,307.359650,0.02499850
712,34.216133,307.366133,0.02500533
713,34.222617,307.372617,0.02501217
714,34.229100,307.379100,0.02501900
715,34.235583,307.385583,0.02502583
716,34.242067,307.392067,0.02503267
717,34.248550,307.398550,0.02503950
718,34.255033,307.405033,0.02504633
719,34.261517,307.411517,0.02505317
720,34.268000,307.418000,0.02506000
721,34.276967,307.426967,0.02506767
722,34.285933,307.435933,0.02507533
723,34.294900,307.444900,0.02508300
724,34.303867,307.453867,0.02509067
725,34.312833,307.462833,0.02509833
726,34.321800,307.471800,0.02510600
727,34.330767,307.480767,0.02511367
728,34.339733,307.489733,0.02512133
729,34.348700,307.498700,0.02512900
730,34.357667,307.507667,0.02513667
731,34.366633,307.516633,0.02514433
732,34.375600,307.525600,0.02515200
733,34.384567,307.534567,0.02515967
734,34.393533,307.543533,0.02516733
735,34.402500,307.552500,0.02517500
736,34.411467,307.561467,0.02518267
737,34.420433,307.570433,0.02519033
738,34.429400,307.579400,0.02519800
739,34.438367,307.588367,0.02520567
740,34.447333,307.597333,0.02521333
741,34.456300,307.606300,0.02522100
742,34.465267,307.615267,0.02522867
743,34.474233,307.624233,0.02523633
744,34.483200,307.633200,0.02524400
745,34.492167,307.642167,0.02525167
746,34.501133,307.651133,0.02525933
747,34.510100,307.660100,0.02526700
748,34.519067,307.669067,0.02527467
749,34.528033,307.678033,0.02528233
750,34.537000,307.687000,0.02529000
751,34.545967,307.695967,0.02529767
752,34.554933,307.704933,0.02530533
753,34.563900,307.713900,0.02531300
754,34.572867,307.722867,0.02532067
755,34.581833,307.731833,0.02532833
756,34.590800,307.740800,0.02533600
757,34.599767,307.749767,0.02534367
758,34.608733,307.758733,0.02535133
759,34.617700,307.767700,0.02535900
760,34.626667,307.776667,0.02536667
761,34.635633,307.785633,0.02537433
762,34.644600,307.794600,0.02538200
763,34.653567,307.803567,0.02538967
764,34.662533,307.812533,0.02539733
765,34.671500,307.821500,0.02540500
766,34.680467,307.830467,0.02541267
767,34.689433,307.839433,0.02542033
768,34.698400,307.848400,0.02542800
769,34.707367,307.857367,0.02543567
770,34.716333,307.866333,0.02544333
771,34.725300,307.875300,0.02545100
772,34.734267,307.884267,0.02545867
