time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface_temperature_K
2280,2.000000,305.7412,305.7542,305.7932,305.8582,305.9494,306.0667,306.2105,306.3808,306.5778,306.8018,307.0528,307.3312,307.6370,307.9707,308.3325,308.7228,309.1425,309.5930,310.0771,310.6011,311.1799,311.1799
2340,2.000000,305.9868,306.0000,306.0392,306.1047,306.1965,306.3147,306.4594,306.6308,306.8290,307.0542,307.3066,307.5863,307.8935,308.2284,308.5913,308.9826,309.4032,309.8551,310.3423,310.8727,311.4645,311.4645
2400,2.000000,306.2342,306.2474,306.2869,306.3528,306.4452,306.5641,306.7097,306.8820,307.0812,307.3075,307.5610,307.8419,308.1505,308.4869,308.8516,309.2450,309.6680,310.1221,310.6103,311.1388,311.7221,311.7221
2460,2.000000,306.4830,306.4963,306.5361,306.6024,306.6952,306.8148,306.9611,307.1343,307.3345,307.5618,307.8165,308.0987,308.4085,308.7461,309.1119,309.5061,309.9298,310.3848,310.8750,311.4082,312.0019,312.0019
2520,2.000000,306.7332,306.7466,306.7865,306.8532,306.9465,307.0666,307.2136,307.3876,307.5887,307.8170,308.0727,308.3559,308.6669,309.0058,309.3730,309.7689,310.1944,310.6512,311.1423,311.6740,312.2612,312.2612
2580,2.000000,306.9846,306.9981,307.0382,307.1051,307.1989,307.3195,307.4672,307.6419,307.8438,308.0730,308.3297,308.6140,308.9259,309.2657,309.6334,310.0291,310.4533,310.9068,311.3917,311.9131,312.4840,312.4840
2640,2.000000,307.2372,307.2507,307.2909,307.3582,307.4523,307.5735,307.7217,307.8970,308.0996,308.3295,308.5867,308.8713,309.1833,309.5225,309.8889,310.2826,310.7042,311.1556,311.6403,312.1662,312.7505,312.7505
2700,2.000000,307.4907,307.5043,307.5447,307.6121,307.7066,307.8281,307.9767,308.1524,308.3553,308.5854,308.8427,309.1272,309.4388,309.7777,310.1439,310.5379,310.9604,311.4132,311.8995,312.4255,313.0059,313.0059
2760,2.000000,307.7450,307.7586,307.7991,307.8667,307.9613,308.0830,308.2318,308.4077,308.6108,308.8409,309.0982,309.3827,309.6943,310.0331,310.3990,310.7922,311.2129,311.6622,312.1418,312.6566,313.2186,313.2186
2820,2.000000,307.9998,308.0133,308.0539,308.1216,308.2163,308.3381,308.4870,308.6629,308.8660,309.0961,309.3532,309.6372,309.9480,310.2853,310.6488,311.0384,311.4541,311.8968,312.3686,312.8747,313.4286,313.4286
2880,2.000000,308.2547,308.2683,308.3088,308.3765,308.4713,308.5930,308.7418,308.9176,309.1204,309.3499,309.6061,309.8888,310.1977,310.5326,310.8930,311.2791,311.6914,312.1313,312.6023,313.1114,313.6742,313.6742
2940,2.000000,308.5096,308.5231,308.5637,308.6313,308.7259,308.8474,308.9958,309.1711,309.3731,309.6017,309.8566,310.1378,310.4449,310.7778,311.1364,311.5205,311.9305,312.3671,312.8321,313.3293,313.8695,313.8695
3000,2.000000,308.7640,308.7775,308.8179,308.8854,308.9796,309.1008,309.2486,309.4232,309.6243,309.8517,310.1053,310.3848,310.6899,311.0201,311.3751,311.7547,312.1588,312.5883,313.0455,313.5358,314.0725,314.0725
3060,2.000000,309.0176,309.0310,309.0713,309.1384,309.2323,309.3529,309.5000,309.6737,309.8736,310.0995,310.3513,310.6285,310.9307,311.2576,311.6087,311.9838,312.3830,312.8069,313.2577,313.7400,314.2655,314.2655
3120,2.000000,309.2700,309.2834,309.3234,309.3902,309.4835,309.6034,309.7496,309.9220,310.1204,310.3446,310.5941,310.8687,311.1679,311.4913,311.8386,312.2098,312.6057,313.0282,313.4814,313.9732,314.5203,314.5203
3180,2.000000,309.5209,309.5342,309.5740,309.6403,309.7329,309.8519,309.9970,310.1680,310.3648,310.5870,310.8344,311.1066,311.4036,311.7251,312.0712,312.4423,312.8393,313.2638,313.7185,314.2089,314.7470,314.7470
3240,2.000000,309.7700,309.7832,309.8226,309.8884,309.9804,310.0984,310.2423,310.4120,310.6073,310.8280,311.0738,311.3446,311.6401,311.9604,312.3052,312.6749,313.0700,313.4917,313.9426,314.4282,314.9607,314.9607
3300,2.000000,310.0171,310.0302,310.0694,310.1347,310.2259,310.3431,310.4861,310.6547,310.8487,311.0681,311.3125,311.5818,311.8758,312.1943,312.5371,312.9046,313.2970,313.7157,314.1634,314.6453,315.1739,315.1739
3360,2.000000,310.2625,310.2755,310.3144,310.3793,310.4699,310.5864,310.7284,310.8960,311.0889,311.3069,311.5499,311.8176,312.1097,312.4262,312.7666,313.1311,313.5197,313.9332,314.3732,314.8435,315.3540,315.3540
3420,2.000000,310.5062,310.5192,310.5578,310.6223,310.7124,310.8281,310.9693,311.1358,311.3275,311.5441,311.7854,312.0510,312.3407,312.6541,312.9907,313.3503,313.7331,314.1399,314.5729,315.0372,315.5444,315.5444
3480,2.000000,310.7485,310.7614,310.7998,310.8638,310.9533,311.0683,311.2085,311.3738,311.5640,311.7788,312.0180,312.2811,312.5677,312.8774,313.2099,313.5647,313.9417,314.3414,314.7647,315.2150,315.7008,315.7008
3540,2.000000,310.9891,311.0019,311.0400,311.1036,311.1924,311.3065,311.4455,311.6094,311.7979,312.0106,312.2472,312.5072,312.7902,313.0954,313.4223,313.7704,314.1395,314.5299,314.9433,315.3839,315.8619,315.8619
3600,2.000000,311.2279,311.2405,311.2783,311.3414,311.4294,311.5424,311.6800,311.8422,312.0286,312.2387,312.4722,312.7286,313.0072,313.3075,313.6290,313.9716,314.3357,314.7226,315.1357,315.5813,316.0728,316.0728
3660,2.000000,311.4644,311.4769,311.5143,311.5767,311.6637,311.7754,311.9115,312.0717,312.2557,312.4630,312.6934,312.9463,313.2213,313.5181,313.8366,314.1767,314.5390,314.9244,315.3350,315.7748,316.2532,316.2532
3720,2.000000,311.6983,311.7106,311.7476,311.8092,311.8952,312.0055,312.1399,312.2981,312.4798,312.6847,312.9123,313.1624,313.4344,313.7281,314.0432,314.3796,314.7376,315.1181,315.5233,315.9577,316.4318,316.4318
3780,2.000000,311.9293,311.9415,311.9780,312.0389,312.1239,312.2328,312.3656,312.5219,312.7015,312.9040,313.1290,313.3762,313.6452,313.9356,314.2473,314.5801,314.9346,315.3120,315.7146,316.1475,316.6216,316.6216
3840,2.000000,312.1575,312.1696,312.2057,312.2658,312.3498,312.4575,312.5887,312.7432,312.9207,313.1209,313.3434,313.5879,313.8541,314.1416,314.4502,314.7800,315.1312,315.5048,315.9023,316.3277,316.7899,316.7899
3900,2.000000,312.3831,312.3950,312.4307,312.4901,312.5731,312.6796,312.8093,312.9621,313.1376,313.3356,313.5557,313.7976,314.0609,314.3451,314.6501,314.9755,315.3215,315.6887,316.0786,316.4949,316.9464,316.9464
3960,2.000000,312.6061,312.6179,312.6531,312.7119,312.7939,312.8992,313.0275,313.1786,313.3521,313.5479,313.7654,314.0043,314.2642,314.5446,314.8451,315.1655,315.5058,315.8667,316.2497,316.6588,317.1030,317.1030
4020,2.000000,312.8265,312.8382,312.8730,312.9311,313.0123,313.1163,313.2431,313.3924,313.5638,313.7571,313.9718,314.2076,314.4638,314.7400,315.0358,315.3509,315.6851,316.0386,316.4125,316.8096,317.2373,317.2373
4080,2.000000,313.0444,313.0560,313.0904,313.1478,313.2280,313.3308,313.4559,313.6033,313.7725,313.9631,314.1747,314.4069,314.6590,314.9304,315.2205,315.5287,315.8547,316.1983,316.5603,316.9432,317.3537,317.3537
4140,2.000000,313.2597,313.2711,313.3051,313.3617,313.4408,313.5422,313.6657,313.8109,313.9776,314.1652,314.3733,314.6013,314.8485,315.1142,315.3979,315.6990,316.0176,316.3545,316.7118,317.0946,317.5130,317.5130
4200,2.000000,313.4720,313.4833,313.5168,313.5726,313.6505,313.7504,313.8719,314.0148,314.1786,314.3629,314.5673,314.7910,315.0335,315.2945,315.5733,315.8699,316.1843,316.5170,316.8692,317.2440,317.6481,317.6481
4260,2.000000,313.6812,313.6922,313.7252,313.7801,313.8568,313.9550,314.0744,314.2149,314.3758,314.5569,314.7577,314.9775,315.2159,315.4723,315.7464,316.0378,316.3466,316.6736,317.0205,317.3915,317.7954,317.7954
4320,2.000000,313.8868,313.8977,313.9301,313.9841,314.0595,314.1560,314.2734,314.4114,314.5696,314.7476,314.9448,315.1609,315.3953,315.6477,315.9177,316.2054,316.5114,316.8371,317.1852,317.5607,317.9740,317.9740
4380,2.000000,314.0890,314.0997,314.1316,314.1846,314.2587,314.3535,314.4690,314.6046,314.7602,314.9353,315.1295,315.3424,315.5737,315.8232,316.0906,316.3759,316.6791,317.0004,317.3402,317.6997,318.0832,318.0832
4440,2.000000,314.2877,314.2982,314.3296,314.3818,314.4546,314.5479,314.6615,314.7951,314.9483,315.1208,315.3123,315.5222,315.7502,315.9956,316.2579,316.5366,316.8311,317.1413,317.4676,317.8122,318.1811,318.1811
4500,2.000000,314.4832,314.4936,314.5244,314.5758,314.6475,314.7394,314.8512,314.9827,315.1335,315.3033,315.4914,315.6975,315.9209,316.1609,316.4169,316.6885,316.9754,317.2782,317.5983,317.9396,318.3100,318.3100
4560,2.000000,314.6757,314.6859,314.7162,314.7668,314.8373,314.9277,315.0376,315.1669,315.3150,315.4816,315.6661,315.8680,316.0868,316.3218,316.5728,316.8393,317.1215,317.4199,317.7361,318.0730,318.4376,318.4376
4620,2.000000,314.8650,314.8750,314.9048,314.9545,315.0238,315.1126,315.2205,315.3474,315.4927,315.6561,315.8371,316.0352,316.2498,316.4807,316.7273,316.9898,317.2683,317.5640,317.8792,318.2180,318.5894,318.5894
4680,2.000000,315.0509,315.0607,315.0900,315.1388,315.2068,315.2940,315.3999,315.5244,315.6671,315.8275,316.0053,316.2001,316.4114,316.6390,316.8827,317.1426,317.4190,317.7125,318.0246,318.3579,318.7186,318.7186
4740,2.000000,315.2335,315.2431,315.2718,315.3197,315.3865,315.4721,315.5762,315.6985,315.8388,315.9966,316.1717,316.3636,316.5719,316.7965,317.0371,317.2936,317.5664,317.8563,318.1649,318.4961,318.8576,318.8576
4800,2.000000,315.4127,315.4222,315.4504,315.4975,315.5632,315.6473,315.7497,315.8701,316.0081,316.1636,316.3361,316.5253,316.7308,316.9525,317.1902,317.4437,317.7133,317.9995,318.3034,318.6273,318.9772,318.9772
4860,2.000000,315.5890,315.5983,315.6261,315.6724,315.7370,315.8198,315.9206,316.0392,316.1753,316.3285,316.4985,316.6851,316.8878,317.1063,317.3402,317.5892,317.8532,318.1320,318.4262,318.7374,319.0702,319.0702
4920,2.000000,315.7625,315.7716,315.7990,315.8446,315.9083,315.9898,316.0892,316.2060,316.3400,316.4909,316.6583,316.8418,317.0409,317.2553,317.4843,317.7279,317.9860,318.2593,318.5498,318.8613,319.2020,319.2020
4980,2.000000,315.9333,315.9424,315.9693,316.0142,316.0769,316.1573,316.2550,316.3700,316.5018,316.6502,316.8147,316.9950,317.1906,317.4012,317.6264,317.8659,318.1194,318.3866,318.6672,318.9616,319.2719,319.2719
5040,2.000000,316.1016,316.1105,316.1370,316.1812,316.2429,316.3219,316.4181,316.5311,316.6607,316.8065,316.9681,317.1450,317.3367,317.5425,317.7617,317.9936,318.2375,318.4929,318.7599,319.0400,319.3376,319.3376
5100,2.000000,316.2671,316.2759,316.3019,316.3454,316.4060,316.4837,316.5781,316.6891,316.8162,316.9590,317.1171,317.2897,317.4763,317.6762,317.8885,318.1128,318.3485,318.5957,318.8552,319.1294,319.4239,319.4239
5160,2.000000,316.4298,316.4383,316.4639,316.5066,316.5660,316.6422,316.7347,316.8432,316.9675,317.1069,317.2610,317.4291,317.6107,317.8051,318.0120,318.2311,318.4629,318.7084,318.9702,319.2530,319.5655,319.5655
5220,2.000000,316.5892,316.5976,316.6226,316.6644,316.7225,316.7969,316.8873,316.9934,317.1147,317.2507,317.4012,317.5656,317.7434,317.9346,318.1388,318.3563,318.5874,318.8324,319.0924,319.3690,319.6662,319.6662
5280,2.000000,316.7451,316.7533,316.7778,316.8186,316.8754,316.9481,317.0365,317.1402,317.2589,317.3922,317.5397,317.7012,317.8761,318.0642,318.2652,318.4786,318.7042,318.9417,319.1913,319.4540,319.7328,319.7328
5340,2.000000,316.8975,316.9055,316.9295,316.9694,317.0250,317.0962,317.1827,317.2843,317.4006,317.5314,317.6761,317.8343,318.0056,318.1895,318.3855,318.5932,318.8127,319.0442,319.2894,319.5513,319.8366,319.8366
5400,2.000000,317.0467,317.0545,317.0780,317.1170,317.1715,317.2413,317.3260,317.4256,317.5395,317.6675,317.8091,317.9639,318.1316,318.3115,318.5036,318.7073,318.9227,319.1496,319.3883,319.6395,319.9062,319.9062
5460,2.000000,317.1928,317.2005,317.2234,317.2617,317.3150,317.3833,317.4664,317.5638,317.6754,317.8006,317.9393,318.0908,318.2548,318.4307,318.6183,318.8172,319.0276,319.2504,319.4874,319.7425,320.0233,320.0233
5520,2.000000,317.3358,317.3434,317.3659,317.4033,317.4556,317.5224,317.6037,317.6991,317.8083,317.9309,318.0666,318.2150,318.3757,318.5485,318.7333,318.9300,319.1387,319.3598,319.5939,319.8424,320.1085,320.1085
5580,2.000000,317.4759,317.4833,317.5053,317.5420,317.5931,317.6586,317.7382,317.8316,317.9386,318.0588,318.1920,318.3377,318.4956,318.6655,318.8469,319.0396,319.2434,319.4584,319.6851,319.9250,320.1820,320.1820
5640,2.000000,317.6131,317.6203,317.6419,317.6778,317.7279,317.7921,317.8701,317.9617,318.0666,318.1845,318.3151,318.4580,318.6127,318.7789,318.9561,319.1441,319.3425,319.5514,319.7712,320.0033,320.2516,320.2516
5700,2.000000,317.7475,317.7546,317.7757,317.8109,317.8601,317.9230,317.9994,318.0892,318.1920,318.3075,318.4353,318.5751,318.7263,318.8886,319.0616,319.2452,319.4393,319.6445,319.8624,320.0959,320.3510,320.3510
5760,2.000000,317.8792,317.8862,317.9069,317.9414,317.9895,318.0512,318.1260,318.2139,318.3146,318.4276,318.5527,318.6895,318.8376,318.9968,319.1668,319.3475,319.5388,319.7409,319.9540,320.1791,320.4187,320.4187
5820,2.000000,318.0083,318.0151,318.0354,318.0692,318.1163,318.1766,318.2500,318.3361,318.4346,318.5454,318.6679,318.8020,318.9471,319.1029,319.2690,319.4448,319.6300,319.8240,320.0268,320.2387,320.4621,320.4621
5880,2.000000,318.1347,318.1413,318.1612,318.1943,318.2405,318.2996,318.3714,318.4557,318.5521,318.6605,318.7803,318.9111,319.0525,319.2039,319.3647,319.5344,319.7125,319.8990,320.0941,320.2995,320.5188,320.5188
5940,2.000000,318.2585,318.2650,318.2844,318.3168,318.3620,318.4198,318.4900,318.5724,318.6666,318.7722,318.8889,319.0162,319.1535,319.3006,319.4570,319.6227,319.7983,319.9850,320.1857,320.4052,320.6519,320.6519
6000,2.000000,318.3795,318.3859,318.4049,318.4366,318.4807,318.5371,318.6056,318.6859,318.7778,318.8808,318.9947,319.1192,319.2541,319.3993,319.5550,319.7216,319.8998,320.0905,320.2951,320.5155,320.7556,320.7556
6060,2.000000,318.4977,318.5040,318.5225,318.5534,318.5965,318.6516,318.7185,318.7971,318.8871,318.9883,319.1004,319.2234,319.3571,319.5014,319.6564,319.8222,319.9987,320.1863,320.3851,320.5960,320.8217,320.8217
6120,2.000000,318.6132,318.6193,318.6375,318.6677,318.7099,318.7639,318.8297,318.9069,318.9955,319.0952,319.2059,319.3274,319.4593,319.6016,319.7538,319.9157,320.0865,320.2658,320.4529,320.6475,320.8505,320.8505
6180,2.000000,318.7264,318.7324,318.7503,318.7800,318.8215,318.8746,318.9393,319.0153,319.1025,319.2006,319.3094,319.4285,319.5575,319.6961,319.8437,320.0002,320.1655,320.3404,320.5268,320.7285,320.9530,320.9530
6240,2.000000,318.8378,318.8436,318.8612,318.8904,318.9312,318.9834,319.0470,319.1216,319.2071,319.3033,319.4098,319.5264,319.6527,319.7887,319.9342,320.0894,320.2545,320.4299,320.6162,320.8145,321.0274,321.0274
6300,2.000000,318.9472,318.9529,318.9702,318.9988,319.0389,319.0901,319.1525,319.2257,319.3096,319.4040,319.5087,319.6233,319.7477,319.8817,320.0250,320.1776,320.3392,320.5101,320.6905,320.8817,321.0864,321.0864
6360,2.000000,319.0545,319.0602,319.0771,319.1053,319.1446,319.1949,319.2561,319.3280,319.4105,319.5032,319.6060,319.7186,319.8407,319.9720,320.1121,320.2607,320.4175,320.5820,320.7542,320.9341,321.1235,321.1235
6420,2.000000,319.1600,319.1655,319.1821,319.2098,319.2484,319.2978,319.3579,319.4285,319.5094,319.6003,319.7010,319.8111,319.9302,320.0578,320.1935,320.3366,320.4867,320.6432,320.8059,320.9752,321.1530,321.1530
6480,2.000000,319.2635,319.2689,319.2852,319.3124,319.3502,319.3987,319.4575,319.5267,319.6058,319.6945,319.7926,319.8996,320.0149,320.1382,320.2686,320.4057,320.5489,320.6975,320.8515,321.0111,321.1780,321.1780
6540,2.000000,319.3649,319.3703,319.3862,319.4128,319.4498,319.4971,319.5546,319.6220,319.6990,319.7852,319.8803,319.9837,320.0950,320.2137,320.3393,320.4716,320.6110,320.7583,320.9160,321.0881,321.2822,321.2822
6600,2.000000,319.4641,319.4693,319.4849,319.5107,319.5468,319.5929,319.6487,319.7142,319.7889,319.8725,319.9648,320.0652,320.1737,320.2900,320.4141,320.5461,320.6862,320.8345,320.9911,321.1559,321.3295,321.3295
6660,2.000000,319.5606,319.5657,319.5808,319.6060,319.6410,319.6858,319.7401,319.8038,319.8766,319.9581,320.0482,320.1466,320.2530,320.3670,320.4884,320.6168,320.7517,320.8925,321.0390,321.1909,321.3495,321.3495
6720,2.000000,319.6545,319.6594,319.6742,319.6986,319.7328,319.7764,319.8294,319.8915,319.9624,320.0420,320.1299,320.2257,320.3290,320.4395,320.5565,320.6797,320.8088,320.9435,321.0843,321.2325,321.3911,321.3911
6780,2.000000,319.7459,319.7507,319.7651,319.7890,319.8222,319.8647,319.9163,319.9768,320.0459,320.1232,320.2085,320.3014,320.4015,320.5084,320.6219,320.7417,320.8679,321.0010,321.1422,321.2936,321.4594,321.4594
6840,2.000000,319.8350,319.8397,319.8537,319.8769,319.9093,319.9506,320.0008,320.0596,320.1267,320.2019,320.2848,320.3751,320.4727,320.5771,320.6883,320.8059,320.9299,321.0600,321.1957,321.3368,321.4835,321.4835
6900,2.000000,319.9217,319.9263,319.9398,319.9624,319.9939,320.0341,320.0829,320.1401,320.2054,320.2786,320.3594,320.4474,320.5424,320.6441,320.7521,320.8663,320.9871,321.1151,321.2522,321.4020,321.5706,321.5706
