time_s,oven_temperature_c,surface_temperature_c,heat_flux_into_herb_w_m2,oven_moisture_kg_kg,surface_moisture_kg_kg,moisture_ratio_flux_out_m_s,moisture_mass_flux_out_kg_m2_s
42,28.3696,28.04771976,8.047005958,0.019903,2.348806694,1.863122955e-06,0.001527760823
43,28.3784,28.0493913,8.225217471,0.0199095,2.34653398,1.861299584e-06,0.001526265659
44,28.3872,28.05108051,8.402987305,0.019916,2.344289984,1.859499188e-06,0.001524789334
45,28.396,28.05278714,8.580321459,0.0199225,2.342073731,1.857720985e-06,0.001523331207
46,28.4048,28.05451097,8.757225728,0.019929,2.339884295,1.855964236e-06,0.001521890674
47,28.4136,28.05625177,8.933705713,0.0199355,2.337720805,1.854228244e-06,0.00152046716
48,28.4224,28.05800933,9.109766834,0.019942,2.335582433,1.852512347e-06,0.001519060124
49,28.4312,28.05978343,9.285414335,0.0199485,2.333468395,1.850815916e-06,0.001517669051
50,28.44,28.06157387,9.460653299,0.019955,2.331377947,1.849138358e-06,0.001516293453
51,28.4488,28.06338045,9.63548865,0.0199615,2.329310382,1.847479106e-06,0.001514932867
52,28.4576,28.06520299,9.809925164,0.019968,2.327265027,1.845837622e-06,0.00151358685
53,28.4664,28.0670413,9.983967478,0.0199745,2.325241243,1.844213394e-06,0.001512254983
54,28.4752,28.0688952,10.15762009,0.019981,2.323238417,1.842605934e-06,0.001510936866
55,28.484,28.0707645,10.33088738,0.0199875,2.32125597,1.841014776e-06,0.001509632116
56,28.4928,28.07264906,10.50377359,0.019994,2.319293344,1.839439476e-06,0.00150834037
57,28.5016,28.07454869,10.67628285,0.0200005,2.31735001,1.837879608e-06,0.001507061279
58,28.5104,28.07646323,10.8484192,0.020007,2.315425459,1.836334767e-06,0.001505794509
59,28.5192,28.07839254,11.02018654,0.0200135,2.313519205,1.834804564e-06,0.001504539743
60,28.528,28.08033645,11.19158869,0.02002,2.311630784,1.833288627e-06,0.001503296674
61,28.53906667,28.08234418,11.41806226,0.0200285,2.309759767,1.831785013e-06,0.001502063711
62,28.55013333,28.08440457,11.64321912,0.020037,2.307905721,1.830294977e-06,0.001500841881
63,28.5612,28.08650414,11.86739644,0.0200455,2.306068233,1.828818187e-06,0.001499630913
64,28.57226667,28.08863778,12.09072206,0.020054,2.304246906,1.827354324e-06,0.001498430546
65,28.58333333,28.09080248,12.31327126,0.0200625,2.302441359,1.825903087e-06,0.001497240531
66,28.5944,28.09299617,12.53509585,0.020071,2.300651228,1.824464182e-06,0.001496060629
67,28.60546667,28.09521728,12.75623467,0.0200795,2.298876161,1.823037329e-06,0.00149489061
68,28.61653333,28.09746459,12.97671847,0.020088,2.297115821,1.821622257e-06,0.00149373025
69,28.6276,28.0997371,13.1965725,0.0200965,2.295369882,1.820218705e-06,0.001492579338
70,28.63866667,28.10203394,13.41581814,0.020105,2.29363803,1.818826424e-06,0.001491437668
71,28.64973333,28.10435438,13.63447383,0.0201135,2.291919963,1.81744517e-06,0.00149030504
72,28.6608,28.10669777,13.85255575,0.020122,2.290215389,1.816074711e-06,0.001489181263
73,28.67186667,28.10906353,14.07007834,0.0201305,2.288524026,1.814714821e-06,0.001488066153
74,28.68293333,28.11145115,14.28705458,0.020139,2.286845603,1.813365282e-06,0.001486959531
75,28.694,28.11386015,14.50349627,0.0201475,2.285179856,1.812025884e-06,0.001485861225
76,28.70506667,28.1162901,14.71941422,0.020156,2.283526531,1.810696424e-06,0.001484771068
77,28.71613333,28.1187406,14.93481841,0.0201645,2.281885382,1.809376706e-06,0.001483688899
78,28.7272,28.12121128,15.14971808,0.020173,2.280256172,1.808066538e-06,0.001482614561
79,28.73826667,28.12370179,15.36412189,0.0201815,2.278638671,1.806765737e-06,0.001481547904
80,28.74933333,28.12621182,15.5780379,0.02019,2.277032655,1.805474124e-06,0.001480488782
81,28.7604,28.12874105,15.79147373,0.0201985,2.275437909,1.804191527e-06,0.001479437052
82,28.77146667,28.1312892,16.00443655,0.020207,2.273854223,1.802917778e-06,0.001478392578
83,28.78253333,28.13385601,16.21693317,0.0202155,2.272281394,1.801652715e-06,0.001477355227
84,28.7936,28.1364412,16.42897003,0.020224,2.270719227,1.800396181e-06,0.001476324869
85,28.80466667,28.13904454,16.64055328,0.0202325,2.269167529,1.799148023e-06,0.001475301379
86,28.81573333,28.14166578,16.85168879,0.020241,2.267626115,1.797908092e-06,0.001474284635
87,28.8268,28.14430471,17.06238216,0.0202495,2.266094806,1.796676244e-06,0.00147327452
88,28.83786667,28.14696112,17.27263877,0.020258,2.264573426,1.795452341e-06,0.001472270919
89,28.84893333,28.14963478,17.48246376,0.0202665,2.263061806,1.794236245e-06,0.001471273721
90,28.86,28.15232552,17.6918621,0.020275,2.261559781,1.793027825e-06,0.001470282816
91,28.87106667,28.15503312,17.90083855,0.0202835,2.26006719,1.791826952e-06,0.001469298101
92,28.88213333,28.15775742,18.10939772,0.020292,2.258583877,1.790633502e-06,0.001468319471
93,28.8932,28.16049824,18.31754404,0.0203005,2.257109691,1.789447353e-06,0.001467346829
94,28.90426667,28.16325539,18.5252818,0.020309,2.255644483,1.788268386e-06,0.001466380077
95,28.91533333,28.16602873,18.73261516,0.0203175,2.25418811,1.787096488e-06,0.00146541912
96,28.9264,28.16881807,18.93954813,0.020326,2.252740432,1.785931545e-06,0.001464463867
97,28.93746667,28.17162328,19.14608461,0.0203345,2.251301312,1.784773449e-06,0.001463514228
98,28.94853333,28.1744442,19.35222838,0.020343,2.249870617,1.783622094e-06,0.001462570117
99,28.9596,28.17728068,19.55798311,0.0203515,2.248448218,1.782477375e-06,0.001461631447
100,28.97066667,28.18013257,19.76335238,0.02036,2.247033989,1.781339191e-06,0.001460698137
101,28.98173333,28.18299975,19.96833964,0.0203685,2.245627807,1.780207445e-06,0.001459770105
102,28.9928,28.18588207,20.17294827,0.020377,2.244229551,1.779082041e-06,0.001458847273
103,29.00386667,28.1887794,20.37718157,0.0203855,2.242839105,1.777962884e-06,0.001457929565
104,29.01493333,28.19169162,20.58104274,0.020394,2.241456354,1.776849883e-06,0.001457016904
105,29.026,28.1946186,20.78453491,0.0204025,2.240081186,1.775742949e-06,0.001456109218
106,29.03706667,28.19756022,20.98766112,0.020411,2.238713494,1.774641995e-06,0.001455206436
107,29.04813333,28.20051636,21.19042434,0.0204195,2.23735317,1.773546936e-06,0.001454308487
108,29.0592,28.2034869,21.39282749,0.020428,2.236000111,1.772457689e-06,0.001453415305
109,29.07026667,28.20647173,21.59487341,0.0204365,2.234654215,1.771374172e-06,0.001452526821
110,29.08133333,28.20947074,21.79656487,0.020445,2.233315384,1.770296307e-06,0.001451642972
111,29.0924,28.21248382,21.99790459,0.0204535,2.23198352,1.769224016e-06,0.001450763693
112,29.10346667,28.21551086,22.19889522,0.020462,2.230658529,1.768157223e-06,0.001449888923
113,29.11453333,28.21855176,22.39953936,0.0204705,2.229340318,1.767095854e-06,0.001449018601
114,29.1256,28.22160642,22.59983956,0.020479,2.228028797,1.766039838e-06,0.001448152667
115,29.13666667,28.22467473,22.79979832,0.0204875,2.226723878,1.764989102e-06,0.001447291064
116,29.14773333,28.22775661,22.99941808,0.020496,2.225425473,1.763943578e-06,0.001446433734
117,29.1588,28.23085195,23.19870123,0.0205045,2.224133498,1.762903199e-06,0.001445580623
118,29.16986667,28.23396066,23.39765013,0.020513,2.222847871,1.761867896e-06,0.001444731675
119,29.18093333,28.23708265,23.59626707,0.0205215,2.221568509,1.760837607e-06,0.001443886838
120,29.192,28.24021783,23.79455432,0.02053,2.220295334,1.759812267e-06,0.001443046059
121,29.2002,28.24330369,23.92240778,0.02053783333,2.219028262,1.758792343e-06,0.001442209721
122,29.2084,28.24635406,24.05114862,0.02054566667,2.217767217,1.757777241e-06,0.001441377337
123,29.2166,28.24938572,24.18035702,0.0205535,2.216512128,1.756766902e-06,0.00144054886
124,29.2248,28.25240489,24.30987775,0.02056133333,2.215262921,1.75576127e-06,0.001439724241
125,29.233,28.25541512,24.43962194,0.02056916667,2.214019525,1.754760287e-06,0.001438903435
126,29.2412,28.25841879,24.56953023,0.020577,2.21278187,1.753763896e-06,0.001438086395
127,29.2494,28.26141762,24.69955954,0.02058483333,2.211549888,1.752772044e-06,0.001437273076
128,29.2576,28.26441292,24.82967692,0.02059266667,2.210323511,1.751784676e-06,0.001436463434
129,29.2658,28.26740575,24.95985621,0.0206005,2.209102674,1.750801739e-06,0.001435657426
130,29.274,28.27039696,25.09007608,0.02060833333,2.20788731,1.749823182e-06,0.001434855009
131,29.2822,28.27338725,25.22031877,0.02061616667,2.206677358,1.748848953e-06,0.001434056142
132,29.2904,28.27637723,25.35056926,0.020624,2.205472754,1.747879004e-06,0.001433260783
133,29.2986,28.27936741,25.48081465,0.02063183333,2.204273438,1.746913284e-06,0.001432468893
134,29.3068,28.28235825,25.61104376,0.02063966667,2.20307935,1.745951746e-06,0.001431680432
135,29.315,28.28535013,25.74124683,0.0206475,2.201890429,1.744994344e-06,0.001430895362
136,29.3232,28.28834339,25.87141522,0.02065533333,2.20070662,1.744041029e-06,0.001430113644
137,29.3314,28.29133835,26.00154127,0.02066316667,2.199527865,1.743091759e-06,0.001429335242
138,29.3396,28.29433527,26.13161815,0.020671,2.198354108,1.742146486e-06,0.001428560119
139,29.3478,28.29733441,26.26163972,0.02067883333,2.197185295,1.741205169e-06,0.001427788239
140,29.356,28.30033598,26.39160044,0.02068666667,2.196021372,1.740267764e-06,0.001427019566
141,29.3642,28.30334019,26.52149531,0.0206945,2.194862285,1.739334228e-06,0.001426254067
142,29.3724,28.30634721,26.65131977,0.02070233333,2.193707985,1.738404521e-06,0.001425491707
143,29.3806,28.30935721,26.78106968,0.02071016667,2.192558418,1.737478601e-06,0.001424732453
144,29.3888,28.31237035,26.91074126,0.020718,2.191413537,1.736556429e-06,0.001423976272
145,29.397,28.31538676,27.04033102,0.02072583333,2.19027329,1.735637965e-06,0.001423223132
146,29.4052,28.31840657,27.1698358,0.02073366667,2.189137631,1.734723171e-06,0.001422473
147,29.4134,28.32142989,27.29925264,0.0207415,2.18800651,1.733812008e-06,0.001421725847
148,29.4216,28.32445685,27.42857887,0.02074933333,2.186879883,1.73290444e-06,0.001420981641
149,29.4298,28.32748752,27.55781197,0.02075716667,2.185757703,1.732000429e-06,0.001420240352
150,29.438,28.33052201,27.68694966,0.020765,2.184639925,1.73109994e-06,0.001419501951
151,29.4462,28.33356041,27.81598979,0.02077283333,2.183526504,1.730202936e-06,0.001418766408
152,29.4544,28.33660278,27.94493039,0.02078066667,2.182417397,1.729309384e-06,0.001418033695
153,29.4626,28.33964921,28.07376963,0.0207885,2.181312561,1.728419248e-06,0.001417303784
154,29.4708,28.34269977,28.2025058,0.02079633333,2.180211953,1.727532496e-06,0.001416576647
155,29.479,28.34575451,28.33113732,0.02080416667,2.179115533,1.726649093e-06,0.001415852256
156,29.4872,28.34881349,28.45966272,0.020812,2.178023259,1.725769007e-06,0.001415130586
157,29.4954,28.35187678,28.58808062,0.02081983333,2.176935092,1.724892207e-06,0.001414411609
158,29.5036,28.35494441,28.71638976,0.02082766667,2.175850991,1.724018659e-06,0.001413695301
159,29.5118,28.35801644,28.84458895,0.0208355,2.174770917,1.723148334e-06,0.001412981634
160,29.52,28.36109292,28.97267707,0.02084333333,2.173694834,1.7222812e-06,0.001412270584
161,29.5282,28.36417388,29.10065311,0.02085116667,2.172622701,1.721417228e-06,0.001411562127
162,29.5364,28.36725936,29.22851609,0.020859,2.171554484,1.720556387e-06,0.001410856237
163,29.5446,28.3703494,29.35626512,0.02086683333,2.170490144,1.719698648e-06,0.001410152892
164,29.5528,28.37344403,29.48389936,0.02087466667,2.169429646,1.718843984e-06,0.001409452067
165,29.561,28.37654328,29.61141804,0.0208825,2.168372955,1.717992364e-06,0.001408753738
166,29.5692,28.37964718,29.73882043,0.02089033333,2.167320035,1.717143762e-06,0.001408057885
167,29.5774,28.38275577,29.86610586,0.02089816667,2.166270853,1.716298149e-06,0.001407364482
168,29.5856,28.38586905,29.9932737,0.020906,2.165225374,1.715455499e-06,0.001406673509
169,29.5938,28.38898707,30.12032336,0.02091383333,2.164183565,1.714615785e-06,0.001405984944
170,29.602,28.39210983,30.2472543,0.02092166667,2.163145393,1.713778981e-06,0.001405298765
171,29.6102,28.39523736,30.37406601,0.0209295,2.162110826,1.712945061e-06,0.00140461495
172,29.6184,28.39836968,30.50075802,0.02093733333,2.161079832,1.712113999e-06,0.001403933479
173,29.6266,28.4015068,30.6273299,0.02094516667,2.160052379,1.71128577e-06,0.001403254331
174,29.6348,28.40464875,30.75378125,0.020953,2.159028437,1.710460349e-06,0.001402577487
175,29.643,28.40779553,30.8801117,0.02096083333,2.158007974,1.709637713e-06,0.001401902924
176,29.6512,28.41094716,31.00632089,0.02096866667,2.156990962,1.708817836e-06,0.001401230625
177,29.6594,28.41410366,31.13240851,0.0209765,2.155977369,1.708000695e-06,0.00140056057
178,29.6676,28.41726503,31.25837428,0.02098433333,2.154967167,1.707186267e-06,0.001399892739
179,29.6758,28.42043128,31.38421792,0.02099216667,2.153960327,1.706374528e-06,0.001399227113
180,29.684,28.42360243,31.50993919,0.021,2.152956821,1.705565456e-06,0.001398563674
181,29.68988333,28.42672805,31.57888217,0.0210085,2.151956626,1.704758501e-06,0.00139790197
182,29.69576667,28.42981937,31.64868238,0.021017,2.150959713,1.703954171e-06,0.00139724242
183,29.70165,28.43289006,31.71899862,0.0210255,2.149966055,1.703152444e-06,0.001396585004
184,29.70753333,28.43594519,31.78970357,0.021034,2.148975622,1.702353298e-06,0.001395929704
185,29.71341667,28.43898772,31.86072361,0.0210425,2.147988389,1.701556711e-06,0.001395276503
186,29.7193,28.44201964,31.932009,0.021051,2.147004328,1.700762662e-06,0.001394625383
187,29.72518333,28.44504241,32.00352319,0.0210595,2.146023414,1.699971131e-06,0.001393976328
188,29.73106667,28.44805715,32.07523787,0.021068,2.145045622,1.699182097e-06,0.00139332932
189,29.73695,28.45106479,32.14713026,0.0210765,2.144070925,1.69839554e-06,0.001392684343
190,29.74283333,28.45406607,32.21918151,0.021085,2.143099299,1.697611439e-06,0.00139204138
191,29.74871667,28.45706164,32.2913757,0.0210935,2.14213072,1.696829776e-06,0.001391400416
192,29.7546,28.46005203,32.36369916,0.021102,2.141165163,1.69605053e-06,0.001390761435
193,29.76048333,28.46303773,32.43613998,0.0211105,2.140202604,1.695273683e-06,0.00139012442
194,29.76636667,28.46601916,32.50868766,0.021119,2.13924302,1.694499216e-06,0.001389489357
195,29.77225,28.46899669,32.58133287,0.0211275,2.138286388,1.69372711e-06,0.00138885623
196,29.77813333,28.47197064,32.65406723,0.021136,2.137332684,1.692957347e-06,0.001388225025
197,29.78401667,28.47494134,32.7268832,0.0211445,2.136381886,1.692189909e-06,0.001387595725
198,29.7899,28.47790904,32.7997739,0.021153,2.135433971,1.691424777e-06,0.001386968317
199,29.79578333,28.48087401,32.87273307,0.0211615,2.134488918,1.690661934e-06,0.001386342786
200,29.80166667,28.48383647,32.94575496,0.02117,2.133546704,1.689901363e-06,0.001385719118
201,29.80755,28.48679663,33.01883425,0.0211785,2.132607308,1.689143046e-06,0.001385097298
202,29.81343333,28.48975469,33.09196604,0.021187,2.131670708,1.688386967e-06,0.001384477313
203,29.81931667,28.49271084,33.16514578,0.0211955,2.130736885,1.687633108e-06,0.001383859148
204,29.8252,28.49566523,33.23836922,0.021204,2.129805816,1.686881453e-06,0.001383242791
205,29.83108333,28.49861804,33.31163241,0.0212125,2.128877481,1.686131985e-06,0.001382628228
206,29.83696667,28.5015694,33.38493163,0.021221,2.127951861,1.685384689e-06,0.001382015445
207,29.84285,28.50451946,33.45826341,0.0212295,2.127028935,1.684639548e-06,0.001381404429
208,29.84873333,28.50746835,33.53162447,0.021238,2.126108683,1.683896547e-06,0.001380795168
209,29.85461667,28.5104162,33.60501173,0.0212465,2.125191087,1.683155669e-06,0.001380187649
210,29.8605,28.51336311,33.67842228,0.021255,2.124276125,1.6824169e-06,0.001379581858
211,29.86638333,28.5163092,33.75185337,0.0212635,2.123363781,1.681680225e-06,0.001378977784
212,29.87226667,28.51925457,33.82530238,0.021272,2.122454034,1.680945627e-06,0.001378375414
213,29.87815,28.52219933,33.89876685,0.0212805,2.121546866,1.680213093e-06,0.001377774736
214,29.88403333,28.52514356,33.97224442,0.021289,2.120642259,1.679482607e-06,0.001377175738
215,29.88991667,28.52808735,34.04573287,0.0212975,2.119740195,1.678754156e-06,0.001376578408
216,29.8958,28.5310308,34.11923006,0.021306,2.118840655,1.678027724e-06,0.001375982734
217,29.90168333,28.53397398,34.19273396,0.0213145,2.117943622,1.677303297e-06,0.001375388704
218,29.90756667,28.53691696,34.26624264,0.021323,2.117049078,1.676580863e-06,0.001374796307
219,29.91345,28.53985983,34.33975425,0.0213315,2.116157007,1.675860405e-06,0.001374205532
220,29.91933333,28.54280265,34.41326702,0.02134,2.11526739,1.675141912e-06,0.001373616368
221,29.92521667,28.5457455,34.48677926,0.0213485,2.114380211,1.674425369e-06,0.001373028802
222,29.9311,28.54868843,34.56028935,0.021357,2.113495453,1.673710763e-06,0.001372442825
223,29.93698333,28.5516315,34.63379573,0.0213655,2.1126131,1.67299808e-06,0.001371858426
224,29.94286667,28.55457479,34.70729691,0.021374,2.111733135,1.672287308e-06,0.001371275593
225,29.94875,28.55751834,34.78079146,0.0213825,2.110855542,1.671578434e-06,0.001370694316
226,29.95463333,28.56046221,34.854278,0.021391,2.109980306,1.670871444e-06,0.001370114584
227,29.96051667,28.56340646,34.92775522,0.0213995,2.109107409,1.670166327e-06,0.001369536388
228,29.9664,28.56635113,35.00122184,0.021408,2.108236837,1.669463069e-06,0.001368959717
229,29.97228333,28.56929627,35.07467663,0.0214165,2.107368574,1.668761659e-06,0.00136838456
230,29.97816667,28.57224193,35.14811842,0.021425,2.106502604,1.668062083e-06,0.001367810908
231,29.98405,28.57518816,35.22154607,0.0214335,2.105638913,1.667364331e-06,0.001367238751
232,29.98993333,28.57813499,35.29495849,0.021442,2.104777486,1.666668389e-06,0.001366668079
233,29.99581667,28.58108248,35.36835461,0.0214505,2.103918307,1.665974246e-06,0.001366098882
234,30.0017,28.58403066,35.44173342,0.021459,2.103061363,1.66528189e-06,0.00136553115
235,30.00758333,28.58697958,35.51509394,0.0214675,2.102206638,1.66459131e-06,0.001364964875
236,30.01346667,28.58992926,35.5884352,0.021476,2.101354118,1.663902495e-06,0.001364400046
237,30.01935,28.59287975,35.6617563,0.0214845,2.10050379,1.663215432e-06,0.001363836654
238,30.02523333,28.59583108,35.73505635,0.021493,2.099655638,1.66253011e-06,0.001363274691
239,30.03111667,28.59878329,35.80833448,0.0215015,2.098809649,1.66184652e-06,0.001362714146
240,30.037,28.60173641,35.88158986,0.02151,2.09796581,1.661164648e-06,0.001362155011
241,30.05028333,28.60485158,36.13579383,0.02151666667,2.097124089,1.660485938e-06,0.001361598469
242,30.06356667,28.60809294,36.38684307,0.02152333333,2.096284478,1.659808916e-06,0.001361043311
243,30.07685,28.61141696,36.63582606,0.02153,2.095446967,1.659133574e-06,0.00136048953
244,30.09013333,28.6148074,36.88314824,0.02153666667,2.094611545,1.658459903e-06,0.00135993712
245,30.10341667,28.61825492,37.12904363,0.02154333333,2.0937782,1.657787893e-06,0.001359386072
246,30.1167,28.6217532,37.37366999,0.02155,2.092946919,1.657117535e-06,0.001358836379
247,30.12998333,28.62529761,37.61714303,0.02155666667,2.09211769,1.656448818e-06,0.001358288031
248,30.14326667,28.62888458,37.85955221,0.02156333333,2.091290501,1.655781734e-06,0.001357741022
249,30.15655,28.63251122,38.10096942,0.02157,2.090465339,1.655116271e-06,0.001357195343
250,30.16983333,28.63617517,38.34145401,0.02157666667,2.089642193,1.654452421e-06,0.001356650985
251,30.18311667,28.63987442,38.58105605,0.02158333333,2.088821051,1.653790174e-06,0.001356107942
252,30.1964,28.64360726,38.8198185,0.02159,2.088001899,1.653129519e-06,0.001355566206
253,30.20968333,28.64737218,39.05777874,0.02159666667,2.087184727,1.652470449e-06,0.001355025768
254,30.22296667,28.65116788,39.29496968,0.02160333333,2.086369523,1.651812952e-06,0.001354486621
255,30.23625,28.65499318,39.53142055,0.02161,2.085556275,1.65115702e-06,0.001353948756
256,30.24953333,28.65884703,39.76715757,0.02161666667,2.084744971,1.650502644e-06,0.001353412168
257,30.26281667,28.66272849,40.0022044,0.02162333333,2.083935601,1.649849814e-06,0.001352876847
258,30.2761,28.6666367,40.23658252,0.02163,2.083128151,1.649198521e-06,0.001352342787
259,30.28938333,28.67057087,40.47031158,0.02163666667,2.082322613,1.648548757e-06,0.00135180998
260,30.30266667,28.67453028,40.7034096,0.02164333333,2.081518973,1.647900512e-06,0.00135127842
261,30.31595,28.67851427,40.93589321,0.02165,2.080717221,1.647253777e-06,0.001350748097
262,30.32923333,28.68252222,41.16777779,0.02165666667,2.079917347,1.646608544e-06,0.001350219006
263,30.34251667,28.68655356,41.39907766,0.02166333333,2.079119339,1.645964804e-06,0.00134969114
264,30.3558,28.69060775,41.62980613,0.02167,2.078323186,1.645322549e-06,0.00134916449
265,30.36908333,28.69468431,41.85997569,0.02167666667,2.077528878,1.644681769e-06,0.001348639051
266,30.38236667,28.69878275,42.08959802,0.02168333333,2.076736405,1.644042457e-06,0.001348114815
267,30.39565,28.70290264,42.31868412,0.02169,2.075945756,1.643404604e-06,0.001347591776
268,30.40893333,28.70704356,42.54724434,0.02169666667,2.07515692,1.642768202e-06,0.001347069926
269,30.42221667,28.71120513,42.77528846,0.02170333333,2.074369887,1.642133243e-06,0.001346549259
270,30.4355,28.71538697,43.00282574,0.02171,2.073584647,1.641499718e-06,0.001346029768
271,30.44878333,28.71958874,43.22986495,0.02171666667,2.07280119,1.640867619e-06,0.001345511447
272,30.46206667,28.72381009,43.45641443,0.02172333333,2.072019506,1.640236938e-06,0.001344994289
273,30.47535,28.72805072,43.6824821,0.02173,2.071239586,1.639607668e-06,0.001344478288
274,30.48863333,28.73231031,43.90807551,0.02173666667,2.070461418,1.638979801e-06,0.001343963437
275,30.50191667,28.73658859,44.13320188,0.02174333333,2.069684994,1.638353329e-06,0.001343449729
276,30.5152,28.74088528,44.35786808,0.02175,2.068910304,1.637728243e-06,0.001342937159
277,30.52848333,28.7452001,44.58208071,0.02175666667,2.068137338,1.637104537e-06,0.001342425721
278,30.54176667,28.74953282,44.80584608,0.02176333333,2.067366087,1.636482203e-06,0.001341915407
279,30.55505,28.75388319,45.02917024,0.02177,2.066596542,1.635861234e-06,0.001341406212
280,30.56833333,28.75825097,45.252059,0.02177666667,2.065828693,1.635241621e-06,0.001340898129
281,30.58161667,28.76263595,45.47451794,0.02178333333,2.065062531,1.634623358e-06,0.001340391153
282,30.5949,28.7670379,45.69655244,0.02179,2.064298046,1.634006437e-06,0.001339885278
283,30.60818333,28.77145663,45.91816767,0.02179666667,2.063535231,1.633390851e-06,0.001339380498
284,30.62146667,28.77589192,46.13936862,0.02180333333,2.062774075,1.632776594e-06,0.001338876807
285,30.63475,28.7803436,46.3601601,0.02181,2.062014571,1.632163656e-06,0.001338374198
286,30.64803333,28.78481146,46.58054675,0.02181666667,2.061256708,1.631552033e-06,0.001337872667
287,30.66131667,28.78929534,46.80053305,0.02182333333,2.060500479,1.630941716e-06,0.001337372207
288,30.6746,28.79379507,47.02012336,0.02183,2.059745874,1.6303327e-06,0.001336872814
289,30.68788333,28.79831046,47.23932186,0.02183666667,2.058992886,1.629724976e-06,0.00133637448
290,30.70116667,28.80284136,47.45813262,0.02184333333,2.058241506,1.629118538e-06,0.001335877201
291,30.71445,28.80738762,47.67655958,0.02185,2.057491724,1.628513379e-06,0.001335380971
292,30.72773333,28.81194907,47.89460657,0.02185666667,2.056743534,1.627909494e-06,0.001334885785
