time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface
660,1.95343333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999976,2.54996741,2.54794239,2.49502525,1.96448191,,1.10590361
720,1.94920000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999930,2.54992903,2.54653735,2.47552596,1.87561754,,1.07384456
780,1.94496667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999819,2.54985806,2.54451329,2.45254693,1.78570828,,1.04516609
840,1.94073333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999582,2.54973728,2.54172372,2.42615080,1.69530563,,1.01931562
900,1.93650000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999990,2.54999100,2.54954478,2.53803397,2.39645188,1.60491860,,0.99578725
960,1.93226667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999976,2.54998217,2.54924929,2.53330595,2.36358435,1.51493797,,0.97450480
1020,1.92803333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999947,2.54996661,2.54881586,2.52740572,2.32768257,1.42561914,,0.95501808
1080,1.92380000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999887,2.54994074,2.54820685,2.52021026,2.28880966,1.33716744,,0.93743652
1140,1.91956667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999778,2.54989983,2.54737453,2.51160203,2.24729943,1.24985804,,0.92138342
1200,1.91533333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999993,2.54999578,2.54983638,2.54625667,2.50148084,2.20339552,1.16378293,,0.90660341
1260,1.91110000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999986,2.54999244,2.54974341,2.54480706,2.48976196,2.15712032,1.07891288,,0.89278370
1320,1.90686667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999972,2.54998683,2.54960812,2.54296811,2.47637956,2.10892589,0.99513769,,0.88013090
1380,1.90263333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999947,2.54997809,2.54941913,2.54066368,2.46127429,2.05893293,0.91264172,,0.86857775
1440,1.89840000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999904,2.54996436,2.54916154,2.53782181,2.44441107,2.00734852,,,0.85767267
1500,1.89416667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999831,2.54994415,2.54881262,2.53439213,2.42577762,1.95450267,,,0.84726190
1560,1.88993333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999994,2.54999711,2.54991411,2.54835810,2.53031268,2.40538197,1.90052299,,,0.83755350
1620,1.88570000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999988,2.54999522,2.54987181,2.54776831,2.52550905,2.38323443,1.84565463,,,0.82843657
1680,1.88146667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999979,2.54999226,2.54981194,2.54701791,2.51989267,2.35937020,1.79009008,,,0.81987401
1740,1.87723333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999963,2.54998786,2.54973058,2.54608639,2.51343730,2.33382315,1.73387422,,,0.81213291
1800,1.87300000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999937,2.54998122,2.54962017,2.54492409,2.50608586,2.30663073,1.67723729,,,0.80501632
1860,1.87036667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999901,2.54997269,2.54949216,2.54370656,2.49911030,2.28354096,1.63500378,,,0.79825651
1920,1.86773333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999845,2.54996097,2.54932753,2.54226810,2.49144916,2.25960490,1.59322080,,,0.79164193
1980,1.86510000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999993,2.54999762,2.54994489,2.54912375,2.54061621,2.48315759,2.23503315,1.55195571,,,0.78524827
2040,1.86246667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999988,2.54999644,2.54992363,2.54887378,2.53869762,2.47415986,2.20986717,1.51119276,,,0.77926196
2100,1.85983333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999981,2.54999476,2.54989593,2.54856410,2.53652032,2.46453613,2.18401382,1.47092483,,,0.77352523
2160,1.85720000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999971,2.54999239,2.54985946,2.54819317,2.53405607,2.45418943,2.15769008,1.43118158,,,0.76804327
2220,1.85456667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999955,2.54998911,2.54981275,2.54775069,2.53127328,2.44324405,2.13093847,1.39197644,,,0.76302997
2280,1.85193333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999932,2.54998466,2.54975401,2.54721960,2.52819353,2.43155905,2.10372003,1.35332781,,,0.75825956
2340,1.84930000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999899,2.54997873,2.54968024,2.54660006,2.52472888,2.41931255,2.07611203,1.31521927,,,0.75375607
2400,1.84666667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999994,2.54999851,2.54997079,2.54958764,2.54587657,2.52093833,2.40632212,2.04820450,1.27768012,,,0.74951137
2460,1.84403333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999991,2.54999784,2.54996030,2.54947456,2.54503152,2.51675297,2.39278958,2.02004582,1.24073973,,,0.74555773
2520,1.84140000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999987,2.54999690,2.54994677,2.54933776,2.54406693,2.51218704,2.37857385,1.99159140,1.20435180,,,0.74182297
2580,1.83876667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999980,2.54999563,2.54992951,2.54916932,2.54295897,2.50722899,2.36381289,1.96295062,1.16860444,,,0.73808399
2640,1.83613333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999970,2.54999392,2.54990734,2.54896844,2.54169614,2.50183745,2.34845838,1.93419442,1.13337970,,,0.73461401
2700,1.83350000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999957,2.54999161,2.54987924,2.54873109,2.54028127,2.49606847,2.33255043,1.90533412,1.09871877,,,0.73137971
2760,1.83086667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999937,2.54998851,2.54984433,2.54844808,2.53867746,2.48981086,2.31613754,1.87639983,1.06464019,,,0.72812793
2820,1.82823333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999910,2.54998446,2.54980138,2.54811514,2.53688912,2.48317595,2.29917473,1.84740993,1.03105669,,,0.72490634
2880,1.82560000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999994,2.54999872,2.54997923,2.54974799,2.54772975,2.53491749,2.47605890,2.28181821,1.81843734,0.99794016,,,0.72193396
2940,1.82296667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999991,2.54999820,2.54997253,2.54968273,2.54728263,2.53270645,2.46853611,2.26390231,1.78949929,0.96534278,,,0.71904641
3000,1.82033333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999987,2.54999751,2.54996382,2.54960422,2.54676327,2.53029008,2.46055609,2.24563840,1.76064137,0.93316982,,,0.71610268
3060,1.81770000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999981,2.54999658,2.54995281,2.54951051,2.54617275,2.52764670,2.45214450,2.22694794,1.73187517,0.90140119,,,0.71333599
3120,1.81506667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999973,2.54999535,2.54993905,2.54939700,2.54550336,2.52474061,2.44330770,2.20788381,1.70318817,0.87005817,,,0.71085627
3180,1.81243333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999961,2.54999371,2.54992200,2.54926266,2.54473485,2.52160419,2.43400963,2.18850026,1.67457647,0.83928408,,,0.70864697
3240,1.80980000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999945,2.54999158,2.54990079,2.54910528,2.54387412,2.51818924,2.42431458,2.16870478,1.64609944,0.80892643,,,0.70644641
3300,1.80716667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999924,2.54998883,2.54987451,2.54892176,2.54291489,2.51450127,2.41414140,2.14866558,1.61777601,0.77893132,,,0.70432628
3360,1.80453333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999994,2.54999895,2.54998534,2.54984260,2.54870449,2.54182859,2.51056238,2.40360993,2.12831272,1.58963111,0.74918743,,,0.70213537
3420,1.80190000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999991,2.54999855,2.54998090,2.54980414,2.54845417,2.54062680,2.50629152,2.39259516,2.10770987,1.56168951,0.71963394,,,0.69997313
3480,1.79926667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999988,2.54999803,2.54997520,2.54975806,2.54816746,2.53930506,2.50175812,2.38126247,2.08693551,1.53395887,,,,0.69775833
3540,1.79663333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999983,2.54999734,2.54996809,2.54970195,2.54783815,2.53783295,2.49692994,2.36945459,2.06588486,1.50645855,,,,0.69554112
3600,1.79400000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999976,2.54999644,2.54995928,2.54963553,2.54745938,2.53622043,2.49178191,2.35735439,2.04470340,1.47916659,,,,0.69355733
3660,1.79096667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999966,2.54999526,2.54994819,2.54955525,2.54701786,2.53440037,2.48611507,2.34407792,2.02180206,1.44939194,,,,0.69174468
3720,1.78793333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999953,2.54999375,2.54993449,2.54946099,2.54652033,2.53238435,2.48004360,2.33044809,1.99862573,1.41981161,,,,0.68995443
3780,1.78490000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999935,2.54999177,2.54991747,2.54934820,2.54594865,2.53019662,2.47367303,2.31634778,1.97527730,1.39043091,,,,0.68832129
3840,1.78186667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999994,2.54999911,2.54998925,2.54989685,2.54921714,2.54530979,2.52782397,2.46690960,2.30188361,1.95177536,1.36126444,,,,0.68666597
3900,1.77883333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999992,2.54999880,2.54998608,2.54987202,2.54906569,2.54459903,2.52523178,2.45982311,2.28703069,1.92814616,1.33231958,,,,0.68496462
3960,1.77580000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999988,2.54999838,2.54998212,2.54984231,2.54889010,2.54379549,2.52245323,2.45236136,2.27179200,1.90435600,1.30360383,,,,0.68331840
4020,1.77276667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999984,2.54999784,2.54997720,2.54980609,2.54868601,2.54290607,2.51944495,2.44455927,2.25625630,1.88047206,1.27513279,,,,0.68159212
4080,1.76973333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999977,2.54999715,2.54997101,2.54976315,2.54845350,2.54192819,2.51621732,2.43640267,2.24030999,1.85653174,1.24691695,,,,0.67976157
4140,1.76670000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999969,2.54999625,2.54996339,2.54971260,2.54818993,2.54083808,2.51278382,2.42789628,2.22410881,1.83254780,1.21889566,,,,0.67812252
4200,1.76366667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999958,2.54999512,2.54995409,2.54965342,2.54788745,2.53964326,2.50908117,2.41905502,2.20757732,1.80851908,1.19108569,,,,0.67654045
4260,1.76063333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999943,2.54999366,2.54994283,2.54958330,2.54754529,2.53834342,2.50516831,2.40985428,2.19075326,1.78442903,1.16350241,,,,0.67497167
4320,1.75760000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999994,2.54999923,2.54999182,2.54992927,2.54950143,2.54716222,2.53691066,2.50100016,2.40033694,2.17370060,1.76031523,1.13610679,,,,0.67363513
4380,1.75456667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999992,2.54999898,2.54998953,2.54991270,2.54940692,2.54673341,2.53535454,2.49657944,2.39045463,2.15630287,1.73619290,1.10895738,,,,0.67217766
4440,1.75153333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999989,2.54999865,2.54998668,2.54989289,2.54929835,2.54624828,2.53367700,2.49193449,2.38027508,2.13871540,1.71210164,1.08204687,,,,0.67052847
4500,1.74850000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999985,2.54999822,2.54998318,2.54986940,2.54917265,2.54571117,2.53184514,2.48699087,2.36974401,2.12090778,1.68804461,1.05532878,,,,0.66898835
4560,1.74546667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999979,2.54999768,2.54997890,2.54984170,2.54902805,2.54511880,2.52987477,2.48182659,2.35893364,2.10285592,1.66401844,1.02878334,,,,0.66756614
4620,1.74243333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999972,2.54999700,2.54997358,2.54980921,2.54886402,2.54445842,2.52776895,2.47638443,2.34777958,2.08464292,1.64002849,1.00242081,,,,0.66623300
4680,1.73940000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999962,2.54999612,2.54996712,2.54977045,2.54867875,2.54372998,2.52548606,2.47068290,2.33635487,2.06620792,1.61606025,0.97626590,,,,0.66499416
4740,1.73636667,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999949,2.54999502,2.54995934,2.54972535,2.54846826,2.54293419,2.52305222,2.46473888,2.32460142,2.04759194,1.59214671,0.95032280,,,,0.66377498
4800,1.73333333,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999994,2.54999933,2.54999366,2.54995003,2.54967313,2.54822953,2.54206331,2.52046956,2.45849215,2.31258697,2.02884443,1.56829555,0.92457484,,,,0.66249867
4860,1.73030000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999992,2.54999912,2.54999197,2.54993892,2.54961296,2.54796277,2.54110334,2.51768557,2.45202401,2.30026910,2.00991298,1.54452839,0.89898535,,,,0.66109616
4920,1.72726667,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999989,2.54999886,2.54998989,2.54992570,2.54954362,2.54766581,2.54006383,2.51474465,2.44525225,2.28770248,1.99085747,1.52085071,0.87350058,,,,0.65981549
4980,1.72423333,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999985,2.54999851,2.54998736,2.54990984,2.54946308,2.54733347,2.53894149,2.51163678,2.43824436,2.27486256,1.97170593,1.49726194,0.84817973,,,,0.65845530
5040,1.72120000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999980,2.54999808,2.54998427,2.54989119,2.54937134,2.54696186,2.53771305,2.50832005,2.43097294,2.26178094,1.95242752,1.47379223,0.82290548,,,,0.65690254
5100,1.71816667,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999974,2.54999754,2.54998048,2.54986937,2.54926730,2.54655228,2.53639058,2.50484028,2.42343640,2.24847076,1.93306376,1.45043217,0.79763817,,,,0.65541647
5160,1.71513333,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999965,2.54999686,2.54997591,2.54984397,2.54914981,2.54610242,2.53497433,2.50117441,2.41567863,2.23491768,1.91363734,1.42716148,0.77248000,,,,0.65415820
5220,1.71210000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54999955,2.54999602,2.54997044,2.54981453,2.54901625,2.54560508,2.53344599,2.49730087,2.40762061,2.22116248,1.89411125,1.40397077,0.74749904,,,,0.65294808
5280,1.70906667,2.55000000,2.55000000,2.55000000,2.54999999,2.54999994,2.54999941,2.54999499,2.54996392,2.54978013,2.54886506,2.54505672,2.53180310,2.49325779,2.39936296,2.20715481,1.87450176,1.38089191,0.72247334,,,,0.65153436
5340,1.70603333,2.55000000,2.55000000,2.55000000,2.54999999,2.54999992,2.54999923,2.54999373,2.54995619,2.54974029,2.54869602,2.54445946,2.53005550,2.48900428,2.39080890,2.19299707,1.85486066,1.35792642,0.69744186,,,,0.65023458
5400,1.70300000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999989,2.54999901,2.54999219,2.54994707,2.54969464,2.54850770,2.54381086,2.52819162,2.48455292,2.38205153,2.17858028,1.83518442,1.33506566,0.67238848,,,,0.64886581
5460,1.70040000,2.55000000,2.55000000,2.55000000,2.54999999,2.54999986,2.54999874,2.54999033,2.54993649,2.54964374,2.54830418,2.54312425,2.52627112,2.48014166,2.37353887,2.16502430,1.81705640,1.31467166,0.65075049,,,,0.64761817
5520,1.69780000,2.55000000,2.55000000,2.55000000,2.54999998,2.54999981,2.54999840,2.54998809,2.54992404,2.54958605,2.54807674,2.54237909,2.52424546,2.47553065,2.36482361,2.15126038,1.79894942,1.29439337,,,,,0.64640850
5580,1.69520000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999976,2.54999797,2.54998540,2.54990955,2.54952089,2.54782535,2.54157778,2.52211269,2.47074575,2.35595571,2.13743464,1.78086402,1.27425344,,,,,0.64502259
5640,1.69260000,2.55000000,2.55000000,2.55000000,2.54999997,2.54999968,2.54999746,2.54998219,2.54989279,2.54944668,2.54754935,2.54071817,2.51985203,2.46580740,2.34683778,2.12343410,1.76277102,1.25425003,,,,,0.64365845
5700,1.69000000,2.55000000,2.55000000,2.55000000,2.54999995,2.54999959,2.54999682,2.54997839,2.54987347,2.54936308,2.54724724,2.53979634,2.51746613,2.46067679,2.33757843,2.10937947,1.74472442,1.23436885,,,,,0.64234901
5760,1.68740000,2.55000000,2.55000000,2.54999999,2.54999994,2.54999948,2.54999605,2.54997390,2.54985129,2.54926956,2.54691747,2.53879881,2.51496757,2.45536706,2.32813551,2.09516704,1.72669407,1.21460352,,,,,0.64107817
5820,1.68480000,2.55000000,2.55000000,2.54999999,2.54999992,2.54999933,2.54999510,2.54996861,2.54982593,2.54916528,2.54655558,2.53773559,2.51235520,2.44990753,2.31850221,2.08090911,1.70868598,1.19497408,,,,,0.63960679
5880,1.68220000,2.55000000,2.55000000,2.54999999,2.54999989,2.54999915,2.54999396,2.54996243,2.54979702,2.54904939,2.54615962,2.53660486,2.50959393,2.44426342,2.30874761,2.06652112,1.69074264,1.17547338,,,,,0.63819773
5940,1.67960000,2.55000000,2.55000000,2.54999998,2.54999986,2.54999893,2.54999259,2.54995522,2.54976379,2.54892100,2.54573064,2.53540492,2.50671250,2.43844082,2.29877597,2.05209788,1.67282625,1.15606289,,,,,0.63700025
6000,1.67700000,2.55000000,2.55000000,2.54999998,2.54999982,2.54999866,2.54999096,2.54994679,2.54972609,2.54877799,2.54526702,2.53411919,2.50371371,2.43247314,2.28867737,2.03753719,1.65491395,1.13673488,,,,,0.63599538
6060,1.67440000,2.55000000,2.55000000,2.54999997,2.54999977,2.54999832,2.54998902,2.54993697,2.54968355,2.54861936,2.54476704,2.53275494,2.50058433,2.42632209,2.27841430,2.02294370,1.63705373,1.11753445,,,,,0.63483705
6120,1.67180000,2.55000000,2.54999999,2.54999996,2.54999971,2.54999791,2.54998671,2.54992564,2.54963570,2.54844496,2.54422593,2.53131433,2.49730355,2.41999223,2.26798610,2.00823537,1.61924864,1.09847808,,,,,0.63345909
6180,1.66920000,2.55000000,2.54999999,2.54999995,2.54999963,2.54999741,2.54998400,2.54991262,2.54958203,2.54825374,2.54363964,2.52979598,2.49390289,2.41352566,2.25746072,1.99352486,1.60148071,1.07953407,,,,,0.63224367
6240,1.66660000,2.55000000,2.54999999,2.54999994,2.54999953,2.54999681,2.54998081,2.54989771,2.54952205,2.54804465,2.54301134,2.52818700,2.49038248,2.40688197,2.24673223,1.97869640,1.58376350,1.06067396,,,,,0.63111470
6300,1.66400000,2.55000000,2.54999999,2.54999992,2.54999940,2.54999609,2.54997708,2.54988069,2.54945520,2.54781659,2.54233936,2.52648522,2.48670804,2.40006776,2.23591238,1.96386552,1.56611249,1.04193654,,,,,0.62990291
