time_s,oven_temperature_C,oven_moisture_kg_kg,surface_temperature_C,surface_moisture_kg_kg,water_mass_flux_kg_m2_s,latent_heat_J_kg,latent_heat_flux_W_m2,convective_heat_flux_W_m2,conductive_heat_flux_W_m2,surface_energy_residual_W_m2
2220,43.393,0.03609,13.20425137,1.265682036,0.0002705518116,2469637.967,668.1650258,754.7187156,86.55368982,-1.637090463e-10
2280,43.534,0.03646,13.43329691,1.258470549,0.0002688836282,2469097.419,663.8998724,752.5175773,88.61770493,1.122543836e-09
2340,43.97,0.03653,13.6885527,1.251611788,0.0002673590666,2468495.016,659.9745234,757.0361826,97.0616592,-3.410605132e-13
2400,44.102,0.03694,13.92898908,1.245095091,0.000265834959,2467927.586,656.0614286,754.3252731,98.26384446,3.742570698e-10
2460,44.503,0.03731,14.19110888,1.238913712,0.0002643934341,2467308.983,652.3402951,757.797278,105.4569828,1.241460268e-10
2520,44.663,0.03766,14.44220099,1.233035185,0.0002630229478,2466716.406,648.8030205,755.5199753,106.7169548,5.619540389e-10
2580,44.701,0.03812,14.66866096,1.227303279,0.0002616605191,2466181.96,645.3024518,750.8084761,105.5060243,-1.620833245e-09
2640,45.138,0.0384,14.93189901,1.221855183,0.0002604001445,2465560.718,642.0323673,755.1525248,113.1201575,6.597247193e-10
2700,45.323,0.03858,15.19032535,1.216695797,0.0002592252991,2464950.832,638.9776167,753.3168663,114.3392496,1.406306183e-09
2760,45.324,0.03903,15.41866121,1.21165135,0.0002580163349,2464411.96,635.8585415,747.6334697,111.7749282,1.609805622e-10
2820,45.462,0.0394,15.64688346,1.206723605,0.000256850652,2463873.355,632.8474777,745.3779136,112.5304359,-1.359012458e-09
2880,45.818,0.03954,15.90480043,1.202043619,0.0002557900921,2463264.671,630.078697,747.8299893,117.7512923,2.797833076e-09
2940,45.739,0.04013,16.12718114,1.197517149,0.0002546642958,2462739.853,627.1719102,740.2954715,113.1235613,-6.056097845e-10
3000,45.93,0.04011,16.35548682,1.193048572,0.0002536854585,2462201.051,624.6246025,739.3628295,114.738227,2.168007995e-10
3060,45.999,0.04076,16.57901742,1.188752466,0.0002525971479,2461673.519,621.8117098,735.4995644,113.6878546,2.896740625e-10
3120,46.512,0.0407,16.85129062,1.18470839,0.0002517205164,2461030.954,619.4919827,741.5177346,122.0257519,5.687752491e-10
3180,46.602,0.04128,17.10543491,1.180916758,0.0002507586096,2460431.174,616.9743001,737.4141274,120.4398272,-9.310952009e-11
3240,46.761,0.04157,17.35027259,1.177214746,0.0002498802322,2459853.357,614.668728,735.2681853,120.5994573,1.971329766e-10
3300,46.933,0.04187,17.59555607,1.173633937,0.0002490263229,2459274.488,612.4240827,733.4360983,121.0120155,3.431296136e-09
3360,46.912,0.04205,17.81558024,1.170085738,0.0002482059932,2458755.231,610.277784,727.410494,117.13271,-5.105675882e-10
3420,47.089,0.04229,18.0437251,1.166602735,0.0002473868066,2458216.809,608.1304064,726.1318724,118.001466,-4.063281267e-09
3480,47.008,0.04247,18.24590207,1.163145262,0.0002465864395,2457739.671,606.0452748,719.0524483,113.0071735,-5.545643944e-10
3540,47.111,0.04277,18.45154542,1.159717788,0.0002457662694,2457254.353,603.9102352,716.4863646,112.5761294,1.023408913e-09
3600,47.485,0.04272,18.69616275,1.156469797,0.0002450626031,2456677.056,602.0396743,719.7209312,117.6812568,8.856204659e-10
3660,47.498,0.04312,18.91912153,1.153361509,0.0002442906612,2456150.873,600.0147209,714.4719618,114.4572409,2.19768026e-09
3720,47.646,0.04333,19.14052271,1.150301869,0.00024357123,2455628.366,598.1204215,712.6369322,114.5165107,-1.793182491e-09
3780,47.84,0.04369,19.37129618,1.147367654,0.0002428463913,2455083.741,596.2082267,711.7175954,115.5093687,-6.210711945e-10
3840,47.873,0.04373,19.58504915,1.144471972,0.0002422004421,2454579.284,594.5001877,707.1987714,112.6985837,3.001446203e-09
3900,47.926,0.04389,19.7891269,1.141582435,0.0002415294407,2454097.661,592.7368355,703.4218276,110.6849921,1.984290066e-09
3960,48.016,0.0442,19.9934483,1.138745912,0.0002408370994,2453615.462,590.9216309,700.5637926,109.6421617,1.050239007e-09
4020,47.977,0.04422,20.17954514,1.135896183,0.0002402056619,2453176.273,589.2668306,694.9363715,105.669541,-5.313722795e-10
4080,47.926,0.04435,20.35067813,1.13300284,0.0002395404244,2452772.4,587.5381416,689.3830467,101.844905,1.984972187e-09
4140,48.199,0.04468,20.55534999,1.130219789,0.0002388554479,2452289.374,585.7426768,691.0912503,105.3485735,-3.358991307e-09
4200,48.166,0.04483,20.74171973,1.127501904,0.0002382244162,2451849.541,584.0904255,685.6070068,101.5165813,-1.020794116e-09
4260,48.331,0.04491,20.93655035,1.124812086,0.0002376149627,2451389.741,582.4868819,684.8612413,102.3743594,-2.098886398e-09
4320,48.615,0.04514,21.15643978,1.122274771,0.0002370060597,2450870.802,580.8712316,686.4640055,105.5927739,2.948354449e-09
4380,48.38,0.0453,21.32240324,1.119708145,0.0002364061099,2450479.128,579.3082382,676.4399191,97.1316809,5.024958227e-10
4440,48.357,0.04543,21.47719511,1.117037535,0.0002357898811,2450113.82,577.7120461,671.9951222,94.28307606,1.932107807e-09
4500,48.526,0.04561,21.65570518,1.114427297,0.0002351759345,2449692.536,576.1087312,671.7573705,95.64863929,-1.171315489e-09
4560,48.59,0.04589,21.83370646,1.111896593,0.0002345574846,2449272.453,574.4951855,668.9073386,94.41215302,-3.031914275e-09
4620,48.825,0.04585,22.02968813,1.109437873,0.0002340252843,2448809.936,573.0834414,669.8827968,96.79935537,-6.474465408e-10
4680,48.827,0.04629,22.20923956,1.107050447,0.000233403155,2448386.195,571.4610626,665.4440109,93.98294837,-6.26300789e-10
4740,48.988,0.04641,22.39534904,1.104692115,0.0002328578382,2447946.976,570.0236408,664.8162741,94.79263325,2.282263267e-09
4800,48.979,0.04633,22.56546047,1.102329246,0.0002323555298,2447545.513,568.7007345,660.3384883,91.63775385,-1.905732461e-09
4860,48.9,0.04639,22.71359319,1.099905777,0.0002318090827,2447195.92,567.2822415,654.6601702,87.37792863,3.344553079e-09
4920,49.144,0.0466,22.89151002,1.097544531,0.0002312433216,2446776.036,565.8006179,656.3122494,90.51163146,-1.05910658e-09
4980,48.87,0.04687,23.02152641,1.095153774,0.0002306578653,2446469.198,564.2973627,646.2118398,81.91447705,2.739739102e-09
5040,48.84,0.04689,23.14549077,1.092650061,0.0002301025631,2446176.642,562.871515,642.3627307,79.4912157,8.044480637e-10
5100,48.913,0.04707,23.28500717,1.090172817,0.0002295178795,2445847.383,561.3657049,640.6998206,79.33411576,1.794546733e-09
5160,49.261,0.04705,23.46759403,1.087827311,0.0002290061895,2445416.478,560.0155095,644.8351492,84.81963971,3.362288226e-09
5220,49.169,0.0472,23.61930705,1.085533395,0.0002284684455,2445058.435,558.6187,638.7423237,80.12362376,-2.971660251e-09
5280,49.056,0.04713,23.74245081,1.083137312,0.0002279566287,2444767.816,557.3010292,632.8387299,75.53770065,-1.054900167e-09
5340,49.257,0.04744,23.8941419,1.080790306,0.0002273719974,2444409.825,555.7903445,634.0714524,78.28110797,-2.76031642e-09
5400,49.116,0.04728,24.01855142,1.078423162,0.0002268863511,2444116.219,554.5366106,627.4362146,72.89960404,1.84968485e-10
5460,49.415,0.0476,24.17965322,1.076124752,0.0002263102124,2443736.018,553.0424174,630.8836696,77.84125215,2.46154741e-09
5520,49.321,0.04777,24.31670639,1.073872212,0.0002257771718,2443412.573,551.6667803,625.1073403,73.44056001,3.075683708e-09
5580,49.317,0.04751,24.44215151,1.071539659,0.0002253211402,2443116.522,550.4858004,621.8712123,71.38541194,7.868266039e-10
5640,49.304,0.04782,24.56447689,1.069212212,0.0002247408126,2442827.835,549.0031126,618.4880778,69.48496519,8.345750757e-10
5700,49.492,0.04765,24.70898853,1.066920699,0.0002242740079,2442486.787,547.7863011,619.5752867,71.78898562,-1.48224899e-09
5760,49.384,0.04802,24.82986213,1.064654931,0.0002236940499,2442201.525,546.3059498,613.8534468,67.54749701,-1.213038558e-09
5820,49.272,0.04779,24.92922744,1.06228669,0.0002232235647,2441967.023,545.1045837,608.569314,63.46473029,-9.777068044e-12
5880,49.31,0.04827,25.03905263,1.059931772,0.0002225997869,2441707.836,543.523644,606.7736844,63.25004033,-2.604792826e-09
5940,49.749,0.04795,25.20758748,1.057701861,0.0002221795418,2441310.094,542.409158,613.535313,71.12615504,-4.586240721e-09
6000,49.743,0.04841,25.35612092,1.055596113,0.0002216149905,2440959.555,540.9532285,609.6719771,68.71874855,8.926690498e-10
6060,49.66,0.0484,25.47386564,1.053424963,0.0002211394646,2440681.677,539.7310394,604.653359,64.92231966,-4.620574146e-09
6120,49.463,0.04836,25.56046681,1.051137253,0.0002206448923,2440477.298,538.4788507,597.5633297,59.08447906,2.308865987e-09
6180,49.83,0.04851,25.70361713,1.04892069,0.0002201241685,2440139.464,537.1336705,603.1595717,66.02590121,-3.257923709e-09
6240,49.753,0.04858,25.82641828,1.046768396,0.0002196351888,2439849.653,535.8768391,598.1645431,62.28770401,1.031935426e-09
6300,49.739,0.04871,25.93601538,1.044574456,0.0002191238435,2439591.004,534.5725572,595.0746155,60.50205837,-1.865032573e-09
6360,49.622,0.04842,26.02658367,1.042301939,0.0002186876226,2439377.263,533.4616142,589.8854082,56.42379397,-1.504304237e-09
6420,49.55,0.04864,26.1106743,1.039988757,0.0002181302369,2439178.809,532.0586515,585.9831425,53.92449098,1.178932507e-10
6480,49.477,0.04845,26.18969358,1.037625198,0.0002176519804,2438992.323,530.8515093,582.1826605,51.33115121,-3.065110832e-09
6540,49.891,0.04875,26.3312758,1.035400595,0.0002170964824,2438658.189,529.4241147,588.993105,59.56899034,1.602870725e-09
6600,49.683,0.04858,26.42950966,1.033195228,0.0002166486329,2438426.357,528.2817366,581.3372585,53.05552189,2.756451067e-09
6660,49.569,0.04882,26.50496013,1.030900495,0.0002160909059,2438248.294,526.8832828,576.6009967,49.71771391,-2.983824743e-09
6720,49.633,0.04886,26.5961516,1.028602165,0.0002155763943,2438033.082,525.5823811,575.92121,50.33882892,1.135617822e-09
6780,49.781,0.04885,26.70818926,1.026362868,0.0002150858736,2437768.673,524.3296048,576.8202684,52.49066367,2.148681233e-09
6840,49.592,0.04892,26.78595531,1.024099577,0.0002145724707,2437585.145,523.0386671,570.1511174,47.11245022,-2.841261448e-09
6900,49.941,0.04908,26.91216171,1.021901905,0.0002140537031,2437287.298,521.7103719,575.7209573,54.0105854,3.738477972e-09
6960,49.902,0.04913,27.0226887,1.019772602,0.0002135741828,2437026.455,520.4859336,571.9827826,51.496849,-7.493099474e-10
7020,49.892,0.04902,27.11893487,1.017598796,0.0002131200758,2436799.314,519.3308545,569.3266284,49.99577386,-5.593392416e-10
7080,49.759,0.04911,27.19391738,1.015378372,0.0002126117043,2436622.355,518.0544317,564.1270656,46.07263384,1.736339073e-09
7140,49.865,0.0493,27.2869847,1.013169116,0.0002120837871,2436402.716,516.721515,564.4503825,47.72886748,1.825355866e-09
7200,49.852,0.04894,27.37583896,1.010950513,0.0002116748316,2436193.02,515.6807472,561.9040259,46.22327874,1.651983439e-09
7260,49.893,0.04897,27.46676709,1.008737931,0.0002111813878,2435978.43,514.4333053,560.6558229,46.22251753,-5.114770829e-10
7320,49.619,0.04898,27.51701613,1.006456713,0.0002106772424,2435859.842,513.1802343,552.5495967,39.36936246,-8.568576959e-10
7380,49.792,0.04929,27.60027414,1.004189443,0.0002101101557,2435663.353,511.7576064,554.7931464,43.03554002,-3.862510312e-10
7440,49.612,0.0492,27.66027206,1.001910084,0.0002096284229,2435521.758,510.554585,548.7931986,38.2386136,-3.198238119e-09
7500,49.845,0.04941,27.75545081,0.9996707847,0.0002090894941,2435297.136,509.1950462,552.2387297,43.04368349,-1.306659669e-09
7560,49.77,0.04938,27.8358867,0.9974645052,0.0002086106391,2435107.307,507.9892916,548.3528326,40.36354101,-1.535170213e-09
7620,49.683,0.04924,27.89861635,0.9951959074,0.0002081422756,2434959.265,506.8179625,544.6095913,37.7916288,5.518927537e-10
7680,49.669,0.04954,27.96415205,0.9929302079,0.000207577735,2434804.601,505.4112242,542.6211987,37.2099745,-3.302773166e-09
7740,49.916,0.0495,28.06674567,0.9907360353,0.0002071037442,2434562.48,504.2070051,546.2313582,42.02435304,2.61616151e-09
7800,49.714,0.04928,28.13107114,0.9885186065,0.0002066642423,2434410.672,503.1056371,539.5732216,36.46758446,-5.952074389e-10
7860,50.095,0.04935,28.24675503,0.9863662243,0.0002061752431,2434137.658,501.8589235,546.2061242,44.34720069,1.849571163e-09
7920,49.929,0.04934,28.32798442,0.9842533325,0.0002057125359,2433945.957,500.6931949,540.0253894,39.3321945,-1.781643277e-09
7980,49.817,0.04929,28.38530339,0.9820525831,0.0002052392983,2433810.684,499.5135969,535.7924154,36.27881844,-4.075104698e-09
8040,49.943,0.0493,28.46624773,0.9798664141,0.0002047560669,2433619.655,498.2983889,536.9188068,38.62041789,1.056093879e-09
8100,49.664,0.04971,28.50794358,0.9776641622,0.0002041812831,2433521.253,496.879492,528.9014104,32.02191839,-2.165904789e-09
8160,50.135,0.04948,28.62097124,0.9755143972,0.00020375887,2433254.508,495.7971888,537.8507191,42.05353028,-3.363425094e-10
8220,49.902,0.04947,28.6911244,0.9734025663,0.0002032963961,2433088.946,494.6382142,530.27189,35.63367572,-8.826077647e-10
8280,50.056,0.04966,28.77617776,0.9712859082,0.0002027888534,2432888.22,493.3626126,531.9955559,38.63294332,-8.202505342e-11
8340,49.71,0.04959,28.81027291,0.9691004421,0.0002023233793,2432807.756,492.2138864,522.4931772,30.2792908,4.884554983e-10
8400,49.915,0.0498,28.88172049,0.9669097362,0.0002017951428,2432639.14,490.8947627,525.8319877,34.93722497,-9.740119822e-10
8460,49.92,0.04973,28.9564577,0.9647709281,0.0002013399351,2432462.76,489.7518943,524.0885575,34.33666317,1.172736575e-09
8520,50.147,0.0496,29.05666163,0.9626821765,0.0002009089436,2432226.279,488.6560122,527.2584594,38.60244721,-1.860030352e-09
8580,49.967,0.04956,29.12028749,0.9605877065,0.0002004568907,2432076.122,487.5264174,521.1678129,33.6413955,-2.788453912e-09
8640,49.921,0.04988,29.17563923,0.9584599296,0.0001999182971,2431945.491,486.1904012,518.6340193,32.44361807,1.926196092e-09
8700,49.821,0.04976,29.22179582,0.9562889722,0.0001994670171,2431836.562,485.0711851,514.9801045,29.90891936,3.15884563e-09
8760,49.856,0.04989,29.27926494,0.9541187308,0.0001989608863,2431700.935,483.8133731,514.4183766,30.60500349,1.645446446e-09
8820,49.953,0.04949,29.35193563,0.9519621278,0.0001985743742,2431529.432,482.8394353,515.0266092,32.1871739,6.320988177e-10
8880,49.915,0.04986,29.41622223,0.9498487676,0.000198027951,2431377.716,481.4807472,512.4694442,30.98869702,1.877026534e-09
8940,49.708,0.04977,29.44867541,0.9476680331,0.0001975679188,2431301.126,480.3471034,506.4831147,26.13601128,2.387935183e-09
9000,50.163,0.04981,29.55375407,0.9455733508,0.0001970982165,2431053.14,479.1562382,515.2311482,36.07491005,3.855120667e-10
9060,50.198,0.05004,29.65300331,0.9436078104,0.0001966151234,2430818.912,477.9357604,513.6249173,35.68915695,-3.657874004e-10
9120,49.82,0.05009,29.68089703,0.9415322146,0.0001961474205,2430753.083,476.785947,503.4775742,26.69162718,5.823608262e-10
9180,50.027,0.04976,29.74608273,0.9394010523,0.0001957511039,2430599.245,475.7924853,507.0229317,31.23044648,1.383284598e-09
9240,49.804,0.04998,29.78422373,0.9372826867,0.0001952365844,2430509.232,474.5243208,500.4944068,25.97008596,-5.243236956e-10
9300,50.086,0.05016,29.86646342,0.9352119479,0.0001947413458,2430315.146,473.2828423,505.4884146,32.20557231,-2.367698926e-09
9360,49.891,0.0499,29.91573116,0.9331323896,0.0001943409815,2430198.874,472.2872344,499.3817211,27.0944867,2.234628482e-09
9420,50.08,0.04998,29.99056483,0.9310644227,0.0001938683561,2430022.267,471.1044223,502.2358793,31.13145706,-1.846274245e-09
9480,50.113,0.04997,30.06705203,0.9290519271,0.0001934277394,2429841.757,469.9987982,501.1486992,31.14990103,1.569446795e-10
9540,50.134,0.0499,30.13787407,0.9270417299,0.0001930008304,2429674.617,468.9292188,499.9031483,30.9739295,-2.394983767e-09
9600,49.804,0.05021,30.15835272,0.9249691203,0.0001924765758,2429626.288,467.6461483,491.141182,23.49503368,-1.787441306e-09
9660,50.208,0.05014,30.24683136,0.9229318514,0.0001920437101,2429417.478,466.5543459,499.0292159,32.47487002,-8.103597793e-10
9720,49.865,0.04981,30.28051964,0.920869324,0.0001916624955,2429337.974,465.6129785,489.612009,23.99903051,2.73604428e-09
9780,49.769,0.05025,30.30349637,0.9187428246,0.0001910977789,2429283.749,464.2307287,486.6375908,22.40686215,-1.215823886e-09
9840,50.027,0.05019,30.37712453,0.9166772598,0.0001906564869,2429109.986,463.1255762,491.2468868,28.12131057,-6.992877388e-10
9900,49.935,0.04989,30.43207334,0.9146231659,0.0001902705269,2428980.307,462.1633629,487.5731665,25.4098036,-3.354159617e-09
9960,50.165,0.05017,30.51625088,0.9126320859,0.0001897708125,2428781.648,460.9118668,491.2187279,30.30686111,1.052171683e-09
10020,50.154,0.0498,30.58925437,0.9106621333,0.0001894187689,2428609.36,460.024195,489.1186407,29.09444563,-4.083062777e-10
10080,49.909,0.05025,30.61972631,0.9086522538,0.0001888775123,2428537.446,458.6961112,482.2318421,23.53573093,-3.661853043e-10
10140,50.226,0.05008,30.70217825,0.9066656079,0.0001884777888,2428342.859,457.6886925,488.0955439,30.40685139,1.337582489e-09
10200,49.895,0.05008,30.73217242,0.9046594811,0.000188036373,2428272.073,456.6034734,479.0706895,22.46721615,-4.019966582e-10
10260,50.008,0.0498,30.78062784,0.9025949946,0.0001876437257,2428157.718,455.6285608,480.684304,25.05574317,3.877175914e-09
10320,49.878,0.0502,30.81753121,0.9005643265,0.0001871088965,2428070.626,454.3136156,476.5117198,22.19810421,1.493958734e-09
10380,50.218,0.04976,30.90492989,0.8985702314,0.0001867669431,2427864.365,453.4448057,482.8267527,29.38194692,2.957563083e-09
10440,49.832,0.04987,30.92807259,0.8965579602,0.0001862999717,2427809.749,452.3008874,472.5981851,20.29729771,1.251123649e-10
10500,49.772,0.04982,30.94665334,0.8944539749,0.0001858480255,2427765.898,451.1954985,470.6336665,19.43816799,-2.502986263e-09
10560,49.968,0.05014,31.00908085,0.8924291438,0.0001853320834,2427618.569,449.9156071,473.9729788,24.05737176,3.135482984e-10
10620,50.246,0.04985,31.1072988,0.8905015275,0.0001849717525,2427386.775,448.9979856,478.46753,29.46954443,1.501575753e-09
10680,50.196,0.05021,31.18128832,0.8886354385,0.0001844819376,2427212.16,447.7768022,475.3677921,27.59098992,-1.373450687e-09
10740,50.124,0.05008,31.23319166,0.8867213312,0.0001840893737,2427089.668,446.8014168,472.2702085,25.46879173,7.539711078e-10
10800,50.195,0.04977,31.29473043,0.884782423,0.0001837309588,2426944.436,445.9048283,472.5067393,26.60191105,4.035882739e-11
10860,50.197,0.04975,31.35481202,0.8828619853,0.0001833127983,2426802.644,444.8639835,471.0546995,26.19071596,-3.611603461e-09
10920,50.009,0.04978,31.38481894,0.8809022992,0.0001828750001,2426731.827,443.7885832,465.6045265,21.81594339,-1.870546384e-09
10980,49.908,0.05005,31.40784023,0.8789056991,0.0001823762715,2426677.497,442.5683939,462.5039943,19.93560042,-2.864908311e-11
11040,50.136,0.05015,31.47500924,0.8769631058,0.0001819268319,2426518.978,441.4489102,466.5247691,25.07585889,3.931631909e-09
11100,50.081,0.04987,31.52933102,0.8750342252,0.0001815640224,2426390.779,440.5452698,463.7917246,23.24645485,2.378726549e-09
11160,49.937,0.05017,31.55890456,0.8730793167,0.0001810678663,2426320.985,439.3287638,459.4523861,20.12362222,2.943636446e-09
11220,49.797,0.04978,31.57368279,0.8710416253,0.0001807053185,2426286.109,438.4428041,455.5829302,17.14012612,-3.676063898e-10
11280,50.123,0.05015,31.6486417,0.8690964883,0.0001801959101,2426109.206,437.1749563,461.8589576,24.68400124,3.117349934e-09
11340,49.881,0.05021,31.68217875,0.8671709716,0.0001797590293,2426030.058,436.1008084,454.9705314,18.86972295,3.701188689e-09
11400,50.218,0.05014,31.76327863,0.8652695098,0.0001793560458,2425838.662,435.0888303,461.3680342,26.27920386,2.731439963e-09
11460,49.87,0.0501,31.78638283,0.8633486606,0.0001789421954,2425784.137,434.075139,452.0904293,18.01529032,4.134221854e-10
11520,49.811,0.05017,31.80398129,0.8613502455,0.0001784870742,2425742.604,432.9637002,450.1754678,17.21176768,2.562501322e-10
11580,50.166,0.04977,31.88518967,0.8594135062,0.0001781489396,2425550.952,432.1093301,457.0202582,24.91092808,1.226055701e-09
11640,49.827,0.04985,31.90767545,0.8574780192,0.0001777054643,2425497.886,431.024228,447.9831137,16.95888564,-2.831825441e-09
11700,49.84,0.04981,31.93407568,0.855483466,0.0001772753965,2425435.581,429.9700545,447.6481081,17.67805361,-4.861249181e-10
11760,50.05,0.05,32.00156969,0.8535711573,0.0001768128176,2425276.296,428.8199352,451.2107577,22.39082246,-2.149818101e-10
11820,50.187,0.05012,32.08203232,0.8517452127,0.000176384644,2425086.404,427.7480019,452.6241919,24.87618998,8.662937034e-10
11880,49.848,0.05007,32.09898363,0.8498511404,0.0001759788857,2425046.399,426.7569631,443.7254093,16.96844618,-3.421064321e-09
11940,49.905,0.05018,32.13120591,0.8479116897,0.0001755279373,2424970.354,425.6500443,444.3448522,18.6948079,1.39095846e-09
12000,50.139,0.04983,32.20508512,0.8460259179,0.0001751900156,2424795.999,424.8000489,448.347872,23.54782309,-1.298133157e-09
12060,50.236,0.05012,32.28428142,0.8442318704,0.0001747314547,2424609.096,423.6554744,448.7929645,25.13749011,1.665114269e-09
12120,50,0.04985,32.31449798,0.8423766091,0.0001743826436,2424537.785,422.7973085,442.1375506,19.34024203,-7.258904589e-11
12180,49.822,0.04989,32.32233467,0.8404351125,0.0001739466474,2424519.29,421.7370021,437.4916332,15.75463115,-2.848537406e-09
12240,49.757,0.0501,32.33657651,0.8384757009,0.0001734693035,2424485.679,420.5738422,435.5105872,14.93674502,-1.871853783e-09
12300,49.865,0.05024,32.37893739,0.836553853,0.0001730156273,2424385.708,419.456614,437.1515653,17.69495133,-7.061089491e-10
12360,49.816,0.05006,32.41450701,0.8346347728,0.0001726329709,2424301.763,418.5144157,435.0373247,16.52290902,-2.107299224e-09
12420,50.089,0.04978,32.48919137,0.8327559388,0.0001722811733,2424125.508,417.6311869,439.9952157,22.36402883,-1.69455916e-09
12480,49.811,0.05006,32.51440548,0.8308911348,0.0001718092439,2424066.003,416.4769472,432.4148629,15.93791566,3.99882083e-09
12540,50.003,0.04977,32.56815856,0.8290013792,0.0001714572436,2423939.146,415.6019247,435.8710359,20.26911123,2.660499376e-09
